id_uf,uf,ch_bai,bairro,ch_loc
1,NULL,0,NULL,0
2,AC,39331,CENTRO,1
3,AC,39329,CENTRO,2
4,AC,39327,CENTRO,3
5,AC,39321,CENTRO,4
6,AC,51784,CAMPINAS,11059
7,AC,39323,CENTRO,5
8,AC,51785,CONQUISTA,5
9,AC,39337,CENTRO,6
10,AC,58032,COMUNIDADE SANTA LUZIA,6
11,AC,39328,CENTRO,7
12,AC,39334,CENTRO,8
13,AC,39336,CENTRO,9
14,AC,39341,CENTRO,10
15,AC,39332,CENTRO,11
16,AC,39339,CENTRO,12
17,AC,39325,CENTRO,13
18,AC,39322,CENTRO,14
19,AC,39338,CENTRO,15
20,AC,1,ABRAAO ALAB,16
21,AC,2,ADALBERTO ARAGAO,16
22,AC,3,AEROPORTO VELHO,16
23,AC,51880,ALTO ALEGRE,16
24,AC,59898,AREA RURAL DE RIO BRANCO,16
25,AC,5,AREAL,16
26,AC,6,AVIARIO,16
27,AC,55425,AYRTON SENA,16
28,AC,8,BAHIA NOVA,16
29,AC,7,BAHIA VELHA,16
30,AC,9,BAIXA DA COLINA,16
31,AC,55405,BAIXADA DA CADEIA VELHA,16
32,AC,55404,BAIXADA DA HABITASA,16
33,AC,10,BASE,16
34,AC,55413,BELO JARDIM I,16
35,AC,55414,BELO JARDIM II,16
36,AC,55451,BOA ESPERANCA,16
37,AC,55424,BOA UNIAO,16
38,AC,55427,BOA VISTA,16
39,AC,12,BOSQUE,16
40,AC,14,CADEIA VELHA,16
41,AC,15,CALAFATE,16
42,AC,16,CAPOEIRA,16
43,AC,55389,CASA NOVA,16
44,AC,17,CENTRO,16
45,AC,18,CERAMICA,16
46,AC,19,CHACARA IPE,16
47,AC,55395,CHICO MENDES,16
48,AC,60450,CIDADE DO POVO,16
49,AC,13,CIDADE NOVA,16
50,AC,55410,COMARA,16
51,AC,55476,CONJUNTO ADALBERTO SENA,16
52,AC,55422,CONJUNTO BELA VISTA,16
53,AC,55421,CONJUNTO CASTELO BRANCO,16
54,AC,55434,CONJUNTO ESPERANCA,16
55,AC,55390,CONJUNTO GUIOMARD SANTOS,16
56,AC,55438,CONJUNTO HABITAR BRASIL,16
57,AC,55387,CONJUNTO JARDIM SAO FRANCISCO,16
58,AC,55440,CONJUNTO JARDIM UNIVERSITARIO,16
59,AC,55430,CONJUNTO LAELIA ALCANTARA,16
60,AC,55448,CONJUNTO MANOEL JULIAO,16
61,AC,55466,CONJUNTO MARIANA,16
62,AC,55443,CONJUNTO MASCARENHAS DE MORAES,16
63,AC,55391,CONJUNTO OSCAR PASSOS,16
64,AC,55399,CONJUNTO OURICURI,16
65,AC,55463,CONJUNTO PAULO CESAR DE OLIVEIRA,16
66,AC,55471,CONJUNTO RUI LINO,16
67,AC,55470,CONJUNTO TUCUMA,16
68,AC,55442,CONJUNTO UNIVERSITARIO,16
69,AC,20,CONQUISTA,16
70,AC,55478,DEFESA CIVIL,16
71,AC,22,DISTRITO INDUSTRIAL,16
72,AC,55447,DOCA FURTADO,16
73,AC,55386,DOM GIOCONDO,16
74,AC,55394,ELDORADO,16
75,AC,24,ESTACAO EXPERIMENTAL,16
76,AC,25,FLORESTA SUL,16
77,AC,26,GERALDO FLEMING,16
78,AC,55419,GLORIA,16
