id_fat,cod_sto,dat_vnc,dat_fat,num_fat,sts_fat,val_fat,cod_cli
34447,20909756,2018-07-27,2018-07-16,93168,0,564.3,030790000
34448,20909756,2018-07-27,2018-07-16,93169,0,33.55,000010000
34449,20909756,2018-07-27,2018-07-16,93170,0,7.6,000040000
34450,20909756,2018-07-27,2018-07-16,93171,0,104,155410000
34451,20909756,2018-07-27,2018-07-16,93172,0,140.6,000290000
34452,20909756,2018-07-27,2018-07-16,93173,0,260.33,003420000
34453,20909756,2018-07-27,2018-07-16,93174,0,112.45,030110000
34454,20909756,2018-07-27,2018-07-16,93175,0,1065,000340000
34455,20909756,2018-07-27,2018-07-16,93176,0,668.8,000350000
34456,20909756,2018-07-27,2018-07-16,93177,0,129.05,000330000
34457,20909756,2018-07-27,2018-07-16,93178,0,128.1,155430000
34458,20909756,2018-07-27,2018-07-16,93179,0,166.7,030930000
34459,20909756,2018-07-27,2018-07-16,93180,0,684.5,155790000
34460,20909756,2018-07-27,2018-07-16,93181,0,659.2,154500000
34461,20909756,2018-07-27,2018-07-16,93182,2,435.51,004040000
34462,20909756,2018-07-27,2018-07-16,93183,0,334.3,155140000
34463,20909756,2018-07-27,2018-07-16,93185,0,2680.7,155610000
34464,20909756,2018-07-27,2018-07-16,93186,0,377.8,001810000
34465,20909756,2018-07-27,2018-07-16,93187,0,1404.9,155270000
34466,20909756,2018-07-27,2018-07-16,93188,0,74.7,002730000
34467,20909756,2018-07-27,2018-07-16,93189,0,465.55,030580000
34468,20909756,2018-07-27,2018-07-16,93190,0,831.7,030500000
34469,20909756,2018-07-27,2018-07-16,93191,0,56.6,000810000
34470,20909756,2018-07-27,2018-07-16,93192,0,140.2,031080000
34471,20909756,2018-07-27,2018-07-16,93193,0,130.55,155100000
34472,20909756,2018-07-27,2018-07-16,93196,0,592.25,002240000
34473,20909756,2018-07-27,2018-07-16,93197,0,101.42,001010000
34474,20909756,2018-07-27,2018-07-16,93198,0,335.45,155780000
34475,20909756,2018-07-27,2018-07-16,93199,0,132.5,004910000
34476,20909756,2018-07-27,2018-07-16,93200,0,118.85,004030000
34477,20909756,2018-07-27,2018-07-16,93201,0,106.44,002270000
34478,20909756,2018-07-27,2018-07-16,93202,0,401.1,001260000
34479,20909756,2018-07-27,2018-07-16,93203,0,44.55,001280000
34480,20909756,2018-07-27,2018-07-16,93204,0,148.3,002010000
34481,20909756,2018-07-27,2018-07-16,93205,2,43.75,155830000
34852,20909756,2018-08-13,2018-08-01,93206,0,34.35,000020000
34853,20909756,2018-08-13,2018-08-01,93209,0,267.52,004180000
34854,20909756,2018-08-13,2018-08-01,93211,0,321.3,001570000
34855,20909756,2018-08-13,2018-08-01,93212,0,87.2,155570000
34856,20909756,2018-08-13,2018-08-01,93213,0,292.6,155360000
34857,20909756,2018-08-13,2018-08-01,93214,0,68.35,154520000
34858,20909756,2018-08-13,2018-08-01,93216,0,79.1,030330000
34859,20909756,2018-08-13,2018-08-01,93217,0,9.3,155070000
34860,20909756,2018-08-13,2018-08-01,93218,0,5735.7,155740000
34861,20909756,2018-08-13,2018-08-01,93224,0,550.75,030790000
34862,20909756,2018-08-13,2018-08-01,93226,0,246.5,000010000
34863,20909756,2018-08-13,2018-08-01,93227,0,81.85,000040000
34864,20909756,2018-08-13,2018-08-01,93228,0,37.3,004840000
34865,20909756,2018-08-13,2018-08-01,93229,0,178.2,155410000
34866,20909756,2018-08-13,2018-08-01,93230,0,53.3,000290000
34867,20909756,2018-08-13,2018-08-01,93231,0,286.01,003420000
34868,20909756,2018-08-13,2018-08-01,93232,0,62.95,030110000
34869,20909756,2018-08-13,2018-08-01,93233,0,1991.65,000340000
34870,20909756,2018-08-13,2018-08-01,93234,0,847.7,000350000
34871,20909756,2018-08-13,2018-08-01,93235,0,424.2,000330000
34872,20909756,2018-08-13,2018-08-01,93236,0,97,155430000
34873,20909756,2018-08-13,2018-08-01,93237,0,362.7,030930000
34874,20909756,2018-08-13,2018-08-01,93238,0,517.7,155790000
34875,20909756,2018-08-13,2018-08-01,93239,0,86.5,030940000
34876,20909756,2018-08-13,2018-08-01,93240,0,36.9,155760000
34877,20909756,2018-08-13,2018-08-01,93241,0,29,002670000
34878,20909756,2018-08-13,2018-08-01,93242,0,931.8,154500000
34879,20909756,2018-08-13,2018-08-01,93243,0,182.8,155140000
34880,20909756,2018-08-13,2018-08-01,93245,0,600.6,155610000
34881,20909756,2018-08-13,2018-08-01,93246,0,268.86,001810000
34882,20909756,2018-08-13,2018-08-01,93247,0,263.55,155270000
34883,20909756,2018-08-13,2018-08-01,93248,0,245.9,002730000
34884,20909756,2018-08-13,2018-08-01,93249,0,607.4,030580000
34885,20909756,2018-08-13,2018-08-01,93250,0,656.11,030500000
34886,20909756,2018-08-13,2018-08-01,93251,0,18.6,000810000
34887,20909756,2018-08-13,2018-08-01,93252,0,78.5,031080000
34888,20909756,2018-08-13,2018-08-01,93253,0,198.55,155100000
34889,20909756,2018-08-13,2018-08-01,93255,0,320.25,002240000
34890,20909756,2018-08-13,2018-08-01,93256,0,50.9,154540000
34891,20909756,2018-08-13,2018-08-01,93257,0,86.4,001010000
34892,20909756,2018-08-13,2018-08-01,93258,0,2115.67,154610000
34893,20909756,2018-08-15,2018-08-01,93259,0,29.28,001040000
34894,20909756,2018-08-13,2018-08-01,93260,0,52.03,000690000
34895,20909756,2018-08-13,2018-08-01,93261,0,259.55,155780000
34896,20909756,2018-08-13,2018-08-01,93262,0,21.3,004910000
34897,20909756,2018-08-22,2018-08-01,93263,0,26.65,030920000
34898,20909756,2018-08-13,2018-08-01,93264,0,162.45,004030000
34899,20909756,2018-08-13,2018-08-01,93265,0,130.27,002270000
34900,20909756,2018-08-13,2018-08-01,93266,0,366.05,001260000
34901,20909756,2018-08-13,2018-08-01,93267,0,40.95,001280000
34902,20909756,2018-08-13,2018-08-01,93268,0,222.55,002010000
34903,20909756,2018-08-13,2018-08-01,93269,0,929,155830000
34904,20909756,2018-08-13,2018-08-01,93270,0,923.6,031070000
34905,20909756,2018-08-17,2018-08-10,93271,0,525.4,000420000
34906,20909756,2018-08-27,2018-08-16,93272,0,288.7,030790000
34907,20909756,2018-08-27,2018-08-16,93273,0,433.25,155830000
34908,20909756,2018-08-27,2018-08-16,93274,0,77.2,002800000
34909,20909756,2018-08-27,2018-08-16,93275,0,411.4,000010000
34910,20909756,2018-08-27,2018-08-16,93276,0,73.6,000040000
34911,20909756,2018-08-27,2018-08-16,93277,0,212.1,155410000
34912,20909756,2018-08-27,2018-08-16,93278,0,90.9,000290000
34913,20909756,2018-08-27,2018-08-16,93279,0,586.96,003420000
