localidade,uf,cep,tipo,nome,ch_bai,bairro,ch_loc,tip_log,prefixo,cxa_pos,endlimpo,endereco,descricao,logradouro,complemento
ABACATE DA PEDREIRA (MACAPA),AP,68912350,<blank>,<blank>,0,<blank>,278,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABADIA (JANDAIRA),BA,48320000,<blank>,<blank>,0,<blank>,325,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABADIA DE GOIAS,GO,75345000,<blank>,<blank>,0,<blank>,2049,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABADIA DOS DOURADOS,MG,38540000,<blank>,<blank>,0,<blank>,2620,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABADIANIA,GO,72940000,<blank>,<blank>,0,<blank>,2050,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABAETE,MG,35620000,<blank>,<blank>,0,<blank>,2621,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABAETE DOS MENDES (RIO PARANAIBA),MG,38812000,<blank>,<blank>,0,<blank>,2622,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABAETETUBA,PA,68440000,<blank>,<blank>,0,<blank>,4522,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABAIARA,CE,63240000,<blank>,<blank>,0,<blank>,1122,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABAIBA (LEOPOLDINA),MG,36704000,<blank>,<blank>,0,<blank>,2623,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
