id_fat_oper,oper,descri,cod_sto,num_fat
63226,0301001,Juros,20909331,NULL
63227,0301002,Multas,20909331,NULL
63228,0301003,Dif. Pgto à Menor de Fatura,20909331,NULL
63229,0301004,Débitos DIVERSOS,20909331,NULL
63230,0301005,Tx. Administrativa,20909331,NULL
63231,0301006,Tx. de Coleta,20909331,NULL
63232,0301007,TX. de Manuseio,20909331,NULL
63233,0301008,Tx. de Impressão,20909331,NULL
63234,0301009,Tx. Faturamento Mínimo,20909331,NULL
63235,0301012,Tx. PostalNet,20909331,NULL
63236,0401001,Desconto,20909331,NULL
63237,0401002,Dif. Pgto à Maior de Fatura,20909331,NULL
63238,0401003,Créditos DIVERSOS,20909331,NULL
63239,0401004,Pgto. Parcial de Fatura,20909331,NULL
63240,0401005,Pagamento de Fatura,20909331,NULL
63241,0401006,Cancelamento de Fatura,20909331,NULL

