SrvIdx,cidade,mlivre_appid,ar,nr,uf,fax,cep,fone,cnpj,nome,razao,icone,compl,rasnew,PwdSvp,coleta,AgeInd,UsrSvp,bairro,cod_sto,caminho,emp_des,rel_img,eml_rel,rel_tit,cod_mcu,frm_dta,tipo_bd,url_rel,res_rel,nom_ban,liberada,mod_popp,cadastro,endereco,cod_site,telegrama,hr_coleta,inscricao,mlivre_key,nr_registro,faleconosco,mnu_ect_tit,mnu_acf_tit,arq_telegrama,qtde_telegrama,mlivre_redir_uri
2,RIO DE JANEIRO,0,1,329,RJ,<blank>,20061-970,<blank>,68.687.193/0001-34,AGF BUENOS AIRES,SODIMA SERVICO E FRANCHISING LTDA,3,<blank>,1,NULL,agfbuenosaires@gmail.com,0,NULL,<blank>,00236762,/var/www/html/uploads/acfrj/agfbuenosaires/,V,NULL,NULL,NULL,<blank>,1,2,NULL,NULL,NULL,1,0,agfbuenosaires@gmail.com,RUA BUENOS AIRES,buai,agfbuenosaires@gmail.com,11,00236762,<blank>,36,agfbuenosaires@gmail.com,NULL,NULL,0,20,<blank>
2,RIO DE JANEIRO,0,1,61,RJ,<blank>,20091-972,(21) 22233293,73.622.284/0001-21,AGF VISCONDE DE INHAUMA,TAMANDARE SERVICOS POSTAIS E TELEGRAFICOS EIRELI EPP,3,<blank>,1,NULL,agfviscondedeinhauma@gmail.com,0,NULL,<blank>,00424506,/var/www/html/uploads/acfrj/acfviscondedeinhauma/,V,NULL,NULL,NULL,<blank>,1,2,NULL,NULL,NULL,1,0,agfviscondedeinhauma@gmail.com,RUA VISCONDE DE INHAUMA,VIRJ,agfviscondedeinhauma@gmail.com,11,00424506,<blank>,35,agfviscondedeinhauma@gmail.com,NULL,NULL,0,20,<blank>
3,São Paulo,2190911316609196,1,263,SP,11- 3737-8999,01012-001,11-3737-8999,00.000.000.000/0001-00,ACF Teste da VisualSet,VisualSet Informática,1,7º andar,1,NULL,"sergio@visualset.com.br,ssassi@hotmail.com",0,NULL,Santa Ifigênia,71000000,/var/www/html/uploads/acfrj/,V,relatorio.jpg,NULL,Empresa Brasileira de Correios e Telégrafos,71000000,1,2,mx/postalnet,NULL,acfrj,1,1,"sergio@visualset.com.br,ssassi@hotmail.com",Rua Conselheiro Nébias,MVPN,"sergio@visualset.com.br,ssassi@hotmail.com",11,71000000,<blank>,1,"sergio@visualset.com.br,ssassi@hotmail.com",Faturado na ECT,Movimento na ACF,0,20,<blank>
3,RIO DE JANEIRO,2190911316609196,1,10,RJ,<blank>,20011970,(021) 25311138,40.428.682/0001-52,ACF ASSEMBLEIA,SERFRANQ SERVICOS DE FRANQUIA LTDA,3,LOJA 20 B,1,NULL,acfassembleia@globo.com,0,NULL,CENTRO,50900994,/var/www/html/uploads/acfrj/acfassembleia/,V,relatorio.jpg,acfassembleia@globo.com,Empresa Brasileira de Correios e Telégrafos,50900994,1,2,rj.postal.net.br,CLAUDIA,acfrj,1,1,acfassembleia@globo.com,RUA DA ASSEMBLEIA,ASMB,acfassembleia@globo.com,11,50900994,<blank>,5,acfassembleia@globo.com,Faturado na ECT,Movimento na ACF,0,20,<blank>
3,RIO DE JANEIRO,2190911316609196,1,5036,RJ,<blank>,22775971,021 2441-3229 / 2441-1070 / 3416-8778,10.841.747/0001-26,AGF RIO 2,MADION SERVIÇOS POSTAIS LTDA,3,LOJA 4,1,NULL,acfbandeirantes@postal.net.br,0,NULL,CURICICA,50905805,/var/www/html/uploads/acfrj/acfbandeirantes/,V,relatorio.jpg,<blank>,Empresa Brasileira de Correios e Telégrafos,50905805,1,2,rj.postal.net.br,<blank>,acfrj,1,1,acfbandeirantes@postal.net.br,DOS BANDEIRANTES,BAND,acfbandeirantes@postal.net.br,11,50905805,<blank>,10,acfbandeirantes@postal.net.br,Faturado na ECT,Movimento na ACF,0,20,<blank>
3,RIO DE JANEIRO,2190911316609196,1,<blank>,RJ,<blank>,20261063,021 25037343,05.220.263/0001-20,AGF BISPO PAPEQUI,ACF PAPEQUI SERVICOS DE FRANQUIA LTDA,3,<blank>,1,NULL,acfpapequi@postal.net.br,0,NULL,RIO COMPRIDO,50905571,/var/www/html/uploads/acfrj/acfpapequi/,V,relatorio.jpg,NULL,Empresa Brasileira de Correios e Telégrafos,50905571,1,2,rj.postal.net.br,NULL,acfrj,1,1,acfpapequi@postal.net.br,DO BISPO,PAPE,acfpapequi@postal.net.br,11,50905571,<blank>,12,acfpapequi@postal.net.br,Faturado na ECT,Movimento na ACF,0,20,<blank>
3,RIO DE JANEIRO,2190911316609196,1,<blank>,RJ,<blank>,20261063,021 25037343,05.220.263/0001-20,AGF BISPO PAPEQUI,ACF PAPEQUI SERVICOS DE FRANQUIA LTDA,3,<blank>,1,NULL,acfpapequi@postal.net.br,0,NULL,RIO COMPRIDO,50905571,/var/www/html/uploads/acfrj/acfpapequi/,V,relatorio.jpg,NULL,Empresa Brasileira de Correios e Telégrafos,50905571,1,2,rj.postal.net.br,NULL,acfrj,1,1,acfpapequi@postal.net.br,DO BISPO,PAPE,acfpapequi@postal.net.br,11,50905571,<blank>,12,acfpapequi@postal.net.br,Faturado na ECT,Movimento na ACF,0,20,<blank>
3,RIO DE JANEIRO,2190911316609196,1,48,RJ,<blank>,20031971,(021) 22625400,40.423.808/0001-04,AGF PASSEIO,DR COMERCIAL LTDA,3,LJ. A - CENTRO,1,NULL,acfmarrecas@postal.net.br,0,NULL,CENTRO,50900536,/var/www/html/uploads/acfrj/acfmarrecas/,V,relatorio.jpg,<blank>,Empresa Brasileira de Correios e Telégrafos,50900536,1,2,rj.postal.net.br,<blank>,acfrj,1,1,acfmarrecas@postal.net.br,DAS MARRECAS,MARR,acfmarrecas@postal.net.br,17,50900536,<blank>,13,acfmarrecas@postal.net.br,Faturado na ECT,Movimento na ACF,0,0,<blank>
3,NITEROI,2190911316609196,1,<blank>,RJ,<blank>,24310970,021 26082197,35.773.589/0001-45,OCEANICA,O e M SERVICOS ADMINISTRATIVOS LTDA,3,<blank>,1,NULL,acfoceanica@postal.net.br,0,NULL,ITAIPU,50900455,/var/www/html/uploads/acfrj/acfoceanica/,V,relatorio.jpg,NULL,Empresa Brasileira de Correios e Telégrafos,50900455,1,2,rj.postal.net.br,NULL,acfrj,1,1,acfoceanica@postal.net.br,FRANCISCO DA CRUZ NUNES,OCEC,acfoceanica@postal.net.br,11,50900455,<blank>,15,acfoceanica@postal.net.br,Faturado na ECT,Movimento na ACF,0,20,<blank>
3,PETROPOLIS,2190911316609196,1,322,RJ,<blank>,25620972,024 22442700,36.537.140/0001-40,AGF CIDADE IMPERIAL,POSTO SERV.POSTAIS E TELEGR.JATAO LTDA,3,<blank>,1,NULL,agfcidadeimperial.financeiro@uol.com.br,0,NULL,CENTRO,50900307,/var/www/html/uploads/acfrj/acfcidadeimperial/,V,relatorio.jpg,<blank>,Empresa Brasileira de Correios e Telégrafos,50900307,1,2,rj.postal.net.br,<blank>,acfrj,1,1,agfcidadeimperial.financeiro@uol.com.br,DEZESSEIS DE MARCO,CIDI,agfcidadeimperial@gmail.com;agfcidadeimperial.financeiro@uol.com.br,11,50900307,<blank>,16,agfcidadeimperial.financeiro@uol.com.br,Contrato ECT,Movimento na AGF,0,20,<blank>
3,RIO DE JANEIRO,2190911316609196,1,<blank>,RJ,<blank>,20031973,021 22404841,10.911.381/0001-14,AGF PORTO MARAVILHA,POST EXPRESS TREZE DE MAIO SERVIÇOS POSTAIS LTDA,3,"23, LOJA N",1,NULL,agfportomaravilha@postal.net.br,0,NULL,CENTRO,50904175,/var/www/html/uploads/acfrj/acftrezedemaio/,V,relatorio.jpg,NULL,Empresa Brasileira de Correios e Telégrafos,50904175,1,2,rj.postal.net.br,NULL,acfrj,1,1,agfportomaravilha@postal.net.br,TREZE DE MAIO,PORT,agfportomaravilha@postal.net.br,11,50904175,<blank>,19,agfportomaravilha@postal.net.br,Faturado na ECT,Movimento na ACF,0,20,<blank>
3,PETROPOLIS,2190911316609196,1,2170,RJ,<blank>,25660970,024 22332027,07.065.862/0001-41,AGF POLO BINGEN,ACF BINGEN CORREIOS FRANQUEADOS LTDA,3,Loja 1,1,NULL,agfpolobingen@uol.com.br,0,NULL,BINGEN,50900145,/var/www/html/uploads/acfrj/acfpolobingen/,V,relatorio.jpg,<blank>,Empresa Brasileira de Correios e Telégrafos,50900145,1,2,rj.postal.net.br,<blank>,acfrj,1,1,agfpolobingen@uol.com.br,RUA BINGEN,POBI,agfpolobingen@uol.com.br,11,50900145,<blank>,26,agfpolobingen@uol.com.br,Faturado na ECT,Movimento na AGF,0,20,<blank>
3,São Paulo,2190911316609196,1,263,SP,11- 3737-8999,01012-001,11-3737-8999,00.000.000.000/0001-00,ACF Teste da VisualSet,VisualSet Informática,1,7º andar,1,NULL,"sergio@visualset.com.br,ssassi@hotmail.com",0,NULL,Santa Ifigênia,71000000,/var/www/html/uploads/acfrj/,V,relatorio.jpg,NULL,Empresa Brasileira de Correios e Telégrafos,71000000,1,2,mx/postalnet,NULL,acfrj,1,1,"sergio@visualset.com.br,ssassi@hotmail.com",Rua Conselheiro Nébias,MVPN,"sergio@visualset.com.br,ssassi@hotmail.com",11,71000000,<blank>,1,"sergio@visualset.com.br,ssassi@hotmail.com",Faturado na ECT,Movimento na ACF,0,20,<blank>
3,<blank>,2190911316609196,1,<blank>,RJ,<blank>,21031970,<blank>,03.670.704/0001-60,ACF BARREIROS,ACF TEIXEIRA DE CASTRO SERVIÇOS DE FRANQUIA LTDA,3,<blank>,1,NULL,barradmin@agfbarreios.postal.net,0,NULL,<blank>,00424577,/var/www/html/uploads/acfrj/acfbarreios/,V,relatorio.jpg,NULL,Empresa Brasileira de Correios e Telégrafos,00424577,1,2,rj.postal.net.br,NULL,acfrj,1,1,barradmin@agfbarreios.postal.net,<blank>,BARR,barradmin@agfbarreios.postal.net,11,00424577,<blank>,22,barradmin@agfbarreios.postal.net,Faturado na ECT,Movimento na ACF,0,20,<blank>
3,RIO DE JANEIRO,2190911316609196,1,33,RJ,<blank>,23515010,021 33953061,40.276.156/0001-14,AGF ERLI,BRAGAS SERV. POSTAIS TELEG. LTDA,3,<blank>,1,123456,agfelri@postal.net.br,0,<blank>,SANTA CRUZ,50906704,/var/www/html/uploads/acfrj/acfdonajanuaria/,V,relatorio.jpg,erliadmin,Empresa Brasileira de Correios e Telégrafos,50906704,1,2,rj.postal.net.br,<blank>,acfrj,1,1,agfelri@postal.net.br,Rua Dona Januaria,ERLI,agfelri@postal.net.br,11,50906704,<blank>,21,agfelri@postal.net.br,Faturado na ECT,Movimento na ACF,0,20,<blank>
3,NITEROI,2190911316609196,1,<blank>,RJ,<blank>,24020076,021 26130505,39.256.169/0001-42,AGF AMARAL PEIXOTO,PROSERV SERVIÇOS LTDA,3,<blank>,1,NULL,agfamaralpeixoto@postal.net.br,0,NULL,CENTRO,00424540,/var/www/html/uploads/acfrj/acfamaralpeixoto/,V,relatorio.jpg,<blank>,Empresa Brasileira de Correios e Telégrafos,00424540,1,2,rj.postal.net.br,<blank>,acfrj,1,1,agfamaralpeixoto@postal.net.br,ERNANI DO AMARAL PEIXOTO,AMPE,agfamaralpeixoto@postal.net.br,11,00424540,<blank>,20,agfamaralpeixoto@postal.net.br,Faturado na ECT,Movimento na ACF,0,20,<blank>
