por,qtde,banco,cod_sto,dta_cfg,gvr_img,pes_vzs,dta_img,data_fim,data_ate,continuar,dthrfbusca,dthribusca,rastrear_ar,data_inicio,nr_registro,cod_cliente,iniciar_apos
Ninguem,37300,acfparquesaodomingos,72900903,2016-08-19 05:53:24,0,5,NULL,2016-08-19,2016-08-19,0,2016-08-19 05:53:24,2016-08-19 05:11:17,0,2016-08-01,110,005610000,1
Ninguem,339,acfspivs,00424465,2016-03-21 12:35:36,0,0,0000-00-00 00:00:00,2016-07-14,2016-07-14,0,2016-03-11 08:00:30,2016-03-11 08:00:02,0,2014-07-16,3,001150000,1
Ninguem,5603,acfspivs,00424514,2016-03-21 12:35:36,0,5,0000-00-00 00:00:00,2016-12-31,2017-02-28,0,2016-03-11 08:27:14,2016-03-11 08:20:54,0,2016-01-01,5,004810000,1
Ninguem,5,acfsc,68904231,2017-01-31 05:15:16,0,15,0000-00-00 00:00:00,2016-12-31,2017-01-31,0,2017-01-31 05:15:16,2017-01-31 05:15:15,0,2015-12-01,6,000930000,2
Ninguem,25,acfsc,68904231,2017-01-31 05:45:13,0,15,0000-00-00 00:00:00,2016-12-31,2017-01-31,0,2017-01-31 05:45:13,2017-01-31 05:45:10,0,2015-12-01,7,003320000,2
Ninguem,43,acfsc,68904703,2016-09-28 05:20:11,0,5,0000-00-00 00:00:00,2016-12-31,2017-01-13,1,2016-09-28 05:20:11,2016-09-28 05:20:07,0,2015-09-01,8,000100000,1
Ninguem,3,acfsc,68904231,2017-01-31 05:40:07,0,15,0000-00-00 00:00:00,2016-12-31,2017-01-31,0,2017-01-31 05:40:07,2017-01-31 05:40:07,0,2015-12-01,9,003000000,2
Ninguem,2,acfsc,68904703,2016-09-27 05:00:05,0,5,0000-00-00 00:00:00,2016-09-30,2017-10-13,3,2016-09-27 05:00:05,2016-09-27 05:00:05,0,2015-09-01,10,002450000,1
Ninguem,0,acfsc,68904703,2016-10-14 05:15:03,0,5,0000-00-00 00:00:00,2016-09-30,2016-10-14,3,2016-10-14 05:15:03,2016-10-14 05:15:03,0,2015-09-01,11,002390000,1
Ninguem,10,acfsc,68904703,2016-08-18 05:45:02,0,5,0000-00-00 00:00:00,2016-10-01,2016-10-15,3,2016-08-18 05:45:02,2016-08-18 05:45:01,0,2015-10-01,12,012680000,1
Ninguem,16,acfsc,68904231,2017-03-21 05:20:16,0,60,0000-00-00 00:00:00,2016-12-30,2017-04-28,0,2017-03-21 05:20:16,2017-03-21 05:20:14,0,2015-12-01,13,003180000,7
