idAge,cidAge,ufAge,baiAge,endAge,cepAge,nomAge
1,RIO BRANCO,AC,CENTRO,"AVENIDA  EPAMINONDAS JACOME, 2858 - CENTRO - RIO BRANCO / AC",69900970,AC RIO BRANCO
2,RIO BRANCO,AC,BOSQUE,"RUA  ISAURA PARENTE, 167 - BOSQUE - RIO BRANCO / AC",69900972,AGF BOSQUE
3,RIO BRANCO,AC,ESTACAO EXPERIMENTAL,"AVENIDA  NACOES UNIDAS, 2800 - ESTACAO EXPERIMENTAL - RIO BRANCO / AC",69918970,AGF ESTACAO EXPERIMENTAL
4,RIO BRANCO,AC,CENTRO,"AVENIDA  EPAMINONDAS JACOME, 2858 - CENTRO - RIO BRANCO / AC",69900971,CDD RIO BRANCO
5,RIO BRANCO,AC,SEIS DE AGOSTO,"AVENIDA DOUTOR PEREIRA PASSOS, 420 - SEIS DE AGOSTO - RIO BRANCO / AC",69905970,CEE RIO BRANCO
6,ARAPIRACA,AL,CENTRO,"PRACA  LUIZ PEREIRA LIMA, S/N - CENTRO - ARAPIRACA / AL",57300970,AC ARAPIRACA
7,ARAPIRACA,AL,CENTRO,"RUA  MAURICIO PEREIRA, 1082 - CENTRO - ARAPIRACA / AL",57300971,CDD ARAPIRACA
8,MACEIO,AL,CENTRO,"TRAVESSA SAO LUIZ, 57 - CENTRO - MACEIO / AL",57020970,AC CENTRAL DE MACEIO
9,MACEIO,AL,CIDADE UNIVERSITARIA,"AVENIDA  LOURIVAL MELO MOTA, KM 14 - CIDADE UNIVERSITARIA - MACEIO / AL",57072970,AC CIDADE UNIVERSITARIA
10,MACEIO,AL,JARAGUA,"RUA  SA E ALBUQUERQUE, 408 - JARAGUA - MACEIO / AL",57022970,AC JARAGUA-MIRIM
11,MACEIO,AL,PONTA GROSSA,"RUA SANTO ANTONIO, 421 - PONTA GROSSA - MACEIO / AL",57011970,AC PONTA GROSSA
12,MACEIO,AL,TABULEIRO DO MARTINS,"AVENIDA DOUTOR DURVAL DE GOES MONTEIRO, 2217 - TABULEIRO DO MARTINS - MACEIO / AL",57061970,AC TABULEIRO DOS MARTINS
13,MACEIO,AL,CENTRO,"RUA DOUTOR PEDRO MONTEIRO, 292 - CENTRO - MACEIO / AL",57020972,AGF CENTRO
14,MACEIO,AL,FAROL,"AVENIDA  FERNANDES LIMA, 781-B - FAROL - MACEIO / AL",57055970,AGF FAROL
15,MACEIO,AL,JATIUCA,"AVENIDA  JOAO DAVINO, 321 LOJA 01/02 - JATIUCA - MACEIO / AL",57037970,AGF JOAO DAVINO
16,MACEIO,AL,SERRARIA,"AVENIDA  MENINO MARCELO, 300 - SERRARIA - MACEIO / AL",57045970,CDD BARRO DURO
17,MACEIO,AL,PINHEIRO,"RUA  ARSENIO FORTES, 149 - PINHEIRO - MACEIO / AL",57057971,CDD FAROL
18,MACEIO,AL,POCO,"RUA  DIEGUES JUNIOR, 332 - POCO - MACEIO / AL",57025971,CDD MACEIO
19,MACEIO,AL,PRADO,"RUA  AGNELO BARBOSA, 612 - PRADO - MACEIO / AL",57010970,CDD MUNDAU
20,MACEIO,AL,JATIUCA,"AVENIDA DOUTOR ANTONIO GOMES DE BARROS, 1747 - JATIUCA - MACEIO / AL",57036971,CDD PONTA VERDE
21,MACEIO,AL,TABULEIRO DO MARTINS,"RUA SANTA LUZIA, S/N - TABULEIRO DO MARTINS - MACEIO / AL",57060972,CDD TABULEIRO DOS MARTINS
22,MACEIO,AL,TABULEIRO DO MARTINS,"AVENIDA DOUTOR DURVAL DE GOES MONTEIRO, 7037 - TABULEIRO DO MARTINS - MACEIO / AL",57060971,CTCE MACEIO
23,PALMEIRA DOS INDIOS,AL,CENTRO,"RUA DUQUE DE CAXIAS, 181 - CENTRO - PALMEIRA DOS INDIOS / AL",57600970,AC PALMEIRA DOS INDIOS
24,MANAUS,AM,TARUMA,"AVENIDA  SANTOS DUMONT, S/N - TARUMA - MANAUS / AM",69049970,AC AEROPORTO EDUARDO GOMES
25,MANAUS,AM,ALVORADA,"RUA  CRICIUMA, 26A - ALVORADA - MANAUS / AM",69043970,AC ALVORADA
26,MANAUS,AM,COROADO,"AVENIDA  RODRIGO OTAVIO, 35 - COROADO - MANAUS / AM",69080971,AC ANDRE ARAUJO
27,MANAUS,AM,CACHOEIRINHA,"AVENIDA  SILVES, 363 - CACHOEIRINHA - MANAUS / AM",69065970,AC CACHOEIRINHA
28,MANAUS,AM,CENTRO,"RUA MARECHAL DEODORO, 117 - CENTRO - MANAUS / AM",69005970,AC CENTRAL DE MANAUS
29,MANAUS,AM,CIDADE NOVA,"AVENIDA  NOEL NUTELS, 829 - CIDADE NOVA - MANAUS / AM",69090970,AC CIDADE NOVA
30,MANAUS,AM,EDUCANDOS,"AVENIDA  LEOPOLDO PERES, 1076 - EDUCANDOS - MANAUS / AM",69070970,AC EDUCANDOS
31,MANAUS,AM,JAPIIM,"AVENIDA  RODRIGO OTAVIO, 47 - JAPIIM - MANAUS / AM",69077970,AC JAPIIM
32,MANAUS,AM,CENTRO,"RUA DO CONGRESSO, 90 - CENTRO - MANAUS / AM",69010970,AC MONSENHOR COUTINHO
33,MANAUS,AM,PARQUE 10 DE NOVEMBRO,"RUA DO COMERCIO, 58-B - PARQUE 10 DE NOVEMBRO - MANAUS / AM",69055971,AC PARQUE DEZ DE NOVEMBRO
34,MANAUS,AM,CENTRO,"RUA  BARROSO, 226 - CENTRO - MANAUS / AM",69010972,AC SALDANHA MARINHO
35,MANAUS,AM,SAO JOSE OPERARIO,"AVENIDA  AUTAZ MIRIM, 103 - SAO JOSE OPERARIO - MANAUS / AM",69085970,AC SAO JOSE OPERARIO
36,MANAUS,AM,PARQUE 10 DE NOVEMBRO,"AVENIDA  DJALMA BATISTA, 2100 LOJA S01 - PARQUE 10 DE NOVEMBRO - MANAUS / AM",69055972,AGF MANAUS PLAZA
37,MANAUS,AM,ALVORADA,"RUA PROFESSOR ABILIO ALENCAR, 366 - ALVORADA - MANAUS / AM",69042970,ACF CINCO
38,MANAUS,AM,DOM PEDRO,"AVENIDA  PEDRO TEIXEIRA, 1000 LOJA 41 - DOM PEDRO - MANAUS / AM",69040970,AGF LE BON MARCHEE
39,MANAUS,AM,PETROPOLIS,"RUA DONA RAQUEL DE SOUZA, 39 - PETROPOLIS - MANAUS / AM",69063970,ACF SAO FRANCISCO
40,MANAUS,AM,COROADO,"AVENIDA  RODRIGO OTAVIO, 35 - COROADO - MANAUS / AM",69080975,CDD ALEIXO
41,MANAUS,AM,DOM PEDRO,"AVENIDA DOM PEDRO I, 27 - DOM PEDRO - MANAUS / AM",69040971,CDD FLORES
42,MANAUS,AM,CENTRO,"RUA DO CONGRESSO, 90 - CENTRO - MANAUS / AM",69010971,CDD MANAUS
43,MANAUS,AM,COROADO,"AVENIDA  RODRIGO OTAVIO, 35 - COROADO - MANAUS / AM",69080972,CTCE MANAUS
44,MANAUS,AM,CENTRO,"RUA MARECHAL DEODORO, 117 - CENTRO - MANAUS / AM",69099999,"SERVICO DE CARTA, CARTAO, ENVELOPE-ENCOMENDA RESPO"
45,PARINTINS,AM,CENTRO,"RUA  RUY BARBOSA, 1958 - CENTRO - PARINTINS / AM",69151970,AC PARINTINS
46,MACAPA,AP,NOVO HORIZONTE,"AVENIDA  ALEXANDRE FERREIRA DA SILVA, 2165-A - NOVO HORIZONTE - MACAPA / AP",68906972,AC EQUATORIAL
47,MACAPA,AP,CENTRAL,"AVENIDA  CORIOLANO JUCA, 125 - CENTRAL - MACAPA / AP",68906970,AC MACAPA
48,MACAPA,AP,BURITIZAL,"AVENIDA  DIOGENES SILVA, 1894 - BURITIZAL - MACAPA / AP",68900971,ACF BURITIZAL
49,MACAPA,AP,CENTRAL,"AVENIDA  FAB, 1954 - CENTRAL - MACAPA / AP",68906973,ACF FAB
50,MACAPA,AP,CENTRAL,"AVENIDA  CORIOLANO JUCA, 125 - CENTRAL - MACAPA / AP",68906971,CDD MACAPA
51,ALAGOINHAS,BA,CENTRO,"PRACA  GRACILIANO FREITAS, 23 - CENTRO - ALAGOINHAS / BA",48010970,AC ALAGOINHAS
52,BARREIRAS,BA,CENTRO,"RUA  24 DE OUTUBRO, 234 - CENTRO - BARREIRAS / BA",47800970,AC BARREIRAS
53,BARREIRAS,BA,JUSCELINO KUBITSCHEK,"AVENIDA  CLERISTON ANDRADE, 475 - JUSCELINO KUBITSCHEK - BARREIRAS / BA",47800972,AGF VEDAL
54,CAMACARI,BA,CENTRO,"RUA  FRANCISCO DRUMOND, S/N - CENTRO - CAMACARI / BA",42800970,AC CAMACARI
55,CAMACARI,BA,POLO PETROQUIMICO,"AVENIDA  HENRY FORD, 2000 - POLO PETROQUIMICO - CAMACARI / BA",42810970,AC COMPLEXO INDUSTRIAL FORD NORDESTE
56,CANDEIAS,BA,CENTRO,"RUA  DOIS DE FEVEREIRO, 159 - CENTRO - CANDEIAS / BA",43805970,AC CANDEIAS
57,EUNAPOLIS,BA,CENTRO,"AVENIDA  RUI BARBOSA, 479 - CENTRO - EUNAPOLIS / BA",45820970,AC EUNAPOLIS
58,FEIRA DE SANTANA,BA,PONTO CENTRAL,"AVENIDA PRESIDENTE DUTRA, 1376 - PONTO CENTRAL - FEIRA DE SANTANA / BA",44075972,AC CAPUCHINHOS
