log_id,cod_sto,log_dta,log_tbl
357667,00000001,2016-01-04 08:29:59,cad_ser
357668,00000001,2016-01-04 08:30:00,cad_com
357669,00000001,2016-01-04 08:30:25,cad_ser
357670,00000001,2016-01-04 08:30:27,cad_com
357671,00000001,2016-01-04 08:30:27,cad_ser
357672,00000001,2016-01-04 08:30:28,cad_com
357673,20910363,2016-01-04 08:30:44,cad_ser
357674,20910363,2016-01-04 08:30:46,cad_com
357675,00424772,2016-01-04 08:39:42,cad_ser
357676,00424772,2016-01-04 08:39:44,cad_com
357677,72900571,2016-01-04 08:41:23,cad_ser
357678,72900571,2016-01-04 08:41:24,cad_com
357679,68904151,2016-01-04 08:50:20,cad_ser
357680,68904151,2016-01-04 08:50:20,cad_com
357681,72900342,2016-01-04 08:54:04,cad_ser
357682,72900342,2016-01-04 08:54:05,cad_com
357683,68904151,2016-01-04 08:54:08,cad_ser
357684,68904151,2016-01-04 08:54:31,cad_com
357685,68904151,2016-01-04 08:55:23,cad_ser
357686,68904151,2016-01-04 08:55:46,cad_com
357687,68904151,2016-01-04 08:55:46,cad_ser
357688,68904151,2016-01-04 08:56:09,cad_com
357689,68904151,2016-01-04 08:56:12,cad_ser
357690,72901578,2016-01-04 08:59:43,cad_ser
357691,72901578,2016-01-04 08:59:44,cad_com
357692,00424772,2016-01-04 08:59:56,cad_ser
357693,00424772,2016-01-04 08:59:58,cad_com
357694,72901578,2016-01-04 09:01:46,cad_ser
357695,72901578,2016-01-04 09:01:48,cad_com
357696,74901362,2016-01-04 09:11:08,cad_ser
357697,74901362,2016-01-04 09:11:09,cad_com
357698,72901012,2016-01-04 09:15:02,cad_ser
357699,72901012,2016-01-04 09:15:05,cad_com
357700,12900133,2016-01-04 09:19:44,cad_ser
357701,12900133,2016-01-04 09:19:46,cad_com
357702,68904321,2016-01-04 09:20:32,cad_ser
357703,68904321,2016-01-04 09:21:08,cad_com
357704,12900133,2016-01-04 09:24:01,cad_ser
357705,12900133,2016-01-04 09:24:03,cad_com
357706,68904151,2016-01-04 09:24:59,cad_ser
357707,68904151,2016-01-04 09:25:00,cad_com
357708,68904151,2016-01-04 09:25:39,cad_ser
357709,68904151,2016-01-04 09:25:40,cad_com
357710,00424465,2016-01-04 09:26:44,cad_ser
357711,00424465,2016-01-04 09:26:45,cad_com
357712,12900133,2016-01-04 09:28:18,cad_ser
357713,12900133,2016-01-04 09:28:19,cad_com
357714,12900133,2016-01-04 09:30:51,cad_ser
357715,12900133,2016-01-04 09:30:52,cad_com
357716,12900133,2016-01-04 09:32:04,cad_ser
357717,12900133,2016-01-04 09:32:05,cad_com
357718,00424465,2016-01-04 09:42:10,cad_ser
357719,00424465,2016-01-04 09:42:11,cad_com
357720,32900236,2016-01-04 09:42:11,cad_ser
357721,32900236,2016-01-04 09:42:13,cad_com
357722,00424514,2016-01-04 09:42:24,cad_ser
357723,00424514,2016-01-04 09:42:25,cad_com
357724,72902027,2016-01-04 09:47:31,cad_ser
357725,72902027,2016-01-04 09:47:55,cad_com
357726,72902027,2016-01-04 09:51:16,cad_ser
