ip,datal,datao,icone,cod_sto,usuario,ocorrencia,nr_registro
<blank>,2018-08-31 15:25:26,NULL,NULL,71000000,admin1,Simulado por ,33
<blank>,2018-08-31 15:25:26,NULL,NULL,71000000,admin1,Simulado por ,33
<blank>,2018-08-31 15:25:26,NULL,NULL,71000000,admin1,Simulado por ,33
<blank>,2018-08-31 15:25:26,NULL,NULL,71000000,admin1,Simulado por ,33
<blank>,2018-08-31 15:25:26,NULL,NULL,71000000,admin1,Simulado por ,33
<blank>,2018-08-31 15:25:26,NULL,NULL,71000000,admin1,Simulado por ,33
<blank>,2018-08-31 15:25:26,NULL,NULL,71000000,admin1,Simulado por ,33
<blank>,2018-08-31 15:25:26,NULL,NULL,71000000,admin1,Simulado por ,33
<blank>,2018-08-31 15:25:26,NULL,NULL,71000000,admin1,Simulado por ,33
<blank>,2018-08-31 15:25:26,NULL,NULL,71000000,admin1,Simulado por ,33
<blank>,2018-08-31 15:25:26,NULL,NULL,71000000,admin1,Simulado por ,33
<blank>,2018-08-31 15:25:26,NULL,NULL,71000000,admin1,Simulado por ,33
<blank>,2018-08-31 15:25:26,NULL,NULL,71000000,admin1,Simulado por ,33
<blank>,2018-08-31 15:25:26,NULL,NULL,71000000,admin1,Simulado por ,33
<blank>,2018-08-31 15:25:26,NULL,NULL,71000000,admin1,Simulado por ,33
<blank>,2018-09-18 13:16:16,NULL,NULL,71000000,admin1,Simulado por ,184
<blank>,2018-09-18 13:17:34,NULL,NULL,71000000,admin1,Simulado por ,186
<blank>,2018-09-18 14:15:16,NULL,NULL,71000000,admin1,Simulado por ,211
<blank>,2018-09-20 13:44:17,NULL,NULL,71000000,admin1,Simulado por ,216
<blank>,2018-09-21 15:37:38,NULL,NULL,71000000,admin1,Simulado por ,219

