cidade,unidade_cedente,m5,m4,m7,m6,m1,m3,m2,m9,m8,cgc,cep,qtde,valor,linha,moeda,juros,multa,sacado,bairro,aceite,estado,cod_sto,agencia,cod_bar,cedente,num_fat,especie,sacador,carteira,nosso_nr,avalista,endereco,uso_banco,cod_banco,nome_banco,cod_sacado,nr_registro,cgc_cedente,cod_cedente,vl_adicional,nr_documento,vlr_documento,dt_vencimento,dt_processamento
<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,APÓS O VENCIMENTO SOMENTE NO BANCO DO BRASIL,NÃO RECEBER COM DESCONTO - SUJEITO A PROTESTO,"COBRAR 2% DE MULTA E JUROS 0,3% AO DIA.",<blank>,<blank>,14.552.042/0001-40,<blank>,<blank>,<blank>,00190.00009  01423.110004  00001.216175  3  64390000027655,DM,<blank>,<blank>,CHL CXLVIII INCORPORACOES LTDA,<blank>,N,AC,50905376,02658,00193643900000276550000001423110000000121617,SAO LUIZ GONZAGA CORREIOS LTDA.,0,R$,<blank>,17/019,14231100000001216,<blank>,  ,<blank>,001-9,BANCO DO BRASIL,301780000,27173452,73.928.830/0001-57,0265-8/200926-9,<blank>,1216,276.55,2015-05-25 00:00:00,2015-04-30 00:00:00
<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,APÓS O VENCIMENTO SOMENTE NO BANCO DO BRASIL,NÃO RECEBER COM DESCONTO - SUJEITO A PROTESTO,"COBRAR 2% DE MULTA E JUROS 0,3% AO DIA.",<blank>,<blank>,14.552.042/0001-40,<blank>,<blank>,<blank>,00190.00009  01423.110004  00001.216175  3  64390000027655,DM,<blank>,<blank>,CHL CXLVIII INCORPORACOES LTDA,<blank>,N,AC,50905376,02658,00193643900000276550000001423110000000121617,SAO LUIZ GONZAGA CORREIOS LTDA.,0,R$,<blank>,17/019,14231100000001216,<blank>,  ,<blank>,001-9,BANCO DO BRASIL,301780000,27173452,73.928.830/0001-57,0265-8/200926-9,<blank>,1216,276.55,2015-05-25 00:00:00,2015-04-30 00:00:00
<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,APÓS O VENCIMENTO SOMENTE NO BANCO DO BRASIL,NÃO RECEBER COM DESCONTO - SUJEITO A PROTESTO,"COBRAR 2% DE MULTA E JUROS 0,3% AO DIA.",<blank>,<blank>,14.552.042/0001-40,<blank>,<blank>,<blank>,00190.00009  01423.110004  00001.216175  3  64390000027655,DM,<blank>,<blank>,CHL CXLVIII INCORPORACOES LTDA,<blank>,N,AC,50905376,02658,00193643900000276550000001423110000000121617,SAO LUIZ GONZAGA CORREIOS LTDA.,0,R$,<blank>,17/019,14231100000001216,<blank>,  ,<blank>,001-9,BANCO DO BRASIL,301780000,27173452,73.928.830/0001-57,0265-8/200926-9,<blank>,1216,276.55,2015-05-25 00:00:00,2015-04-30 00:00:00
<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,"APÓS VENCIMENTO COBRAR MULTA DE R$ 0,62 E JUROS DE R$ 0,10 AO DIA","TARIFA BANCARIA DE R$ 2,00",INFORMAMOS QUE COM 10 DIAS DE ATRASO O SERVIÇO SERA SUSPENSO,<blank>,<blank>,<blank>,24210-001,<blank>,<blank>,39994.26111  94000.000003  00006.130322  1  56940000010440,<blank>,<blank>,<blank>,ASSOCIAÇAO DE PAIS E AMIGOS DOS DEFICIEN,CENTRO              ,N,RJ,00424540,0251,39991569400000104404261194000000000000613032,PROSERV SERVIÇOS LTDA,0,99 - ,<blank>,CNR,0000000000006045,<blank>,"GENERAL ANDRADE NEVES, RUA              ",<blank>,399-9,HSBC,008900000,27170983,39.256.169/0001-42,4261194,<blank>,6,104.4,2013-05-10 00:00:00,2013-05-08 00:00:00
<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,"APÓS VENCIMENTO COBRAR MULTA DE R$ 0,62 E JUROS DE R$ 0,10 AO DIA","TARIFA BANCARIA DE R$ 2,00",INFORMAMOS QUE COM 10 DIAS DE ATRASO O SERVIÇO SERA SUSPENSO,<blank>,<blank>,<blank>,24030-106,<blank>,<blank>,39994.26111  94000.000003  00005.130323  9  56940000002965,<blank>,<blank>,<blank>,ASSOCIAÇAO DE MANTENEDORES BENEFICIARIOS,CENTRO              ,N,RJ,00424540,0251,39999569400000029654261194000000000000513032,PROSERV SERVIÇOS LTDA,0,99 - ,<blank>,CNR,0000000000005146,<blank>,"MAESTRO FELICIO TOLEDO, RUA             ",<blank>,399-9,HSBC,007610000,27170982,39.256.169/0001-42,4261194,<blank>,5,29.65,2013-05-10 00:00:00,2013-05-08 00:00:00
<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,"APÓS VENCIMENTO COBRAR MULTA DE R$ 0,62 E JUROS DE R$ 0,10 AO DIA","TARIFA BANCARIA DE R$ 2,00",INFORMAMOS QUE COM 10 DIAS DE ATRASO O SERVIÇO SERA SUSPENSO,<blank>,<blank>,<blank>,24020-058,<blank>,<blank>,39994.26111  94000.000003  00004.130324  1  56940000000635,<blank>,<blank>,<blank>,ARTECONCRETA PARTICIPACOES E EMPREEND.  ,CENTRO              ,N,RJ,00424540,0251,39991569400000006354261194000000000000413032,PROSERV SERVIÇOS LTDA,0,99 - ,<blank>,CNR,0000000000004344,<blank>,RUA SÃO PEDRO                           ,<blank>,399-9,HSBC,009130000,27170981,39.256.169/0001-42,4261194,<blank>,4,6.35,2013-05-10 00:00:00,2013-05-08 00:00:00
<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,"APÓS VENCIMENTO COBRAR MULTA DE R$ 0,62 E JUROS DE R$ 0,10 AO DIA","TARIFA BANCARIA DE R$ 2,00",INFORMAMOS QUE COM 10 DIAS DE ATRASO O SERVIÇO SERA SUSPENSO,<blank>,<blank>,<blank>,24030-106,<blank>,<blank>,39994.26111  94000.000003  00005.130323  9  56940000002965,<blank>,<blank>,<blank>,ASSOCIAÇAO DE MANTENEDORES BENEFICIARIOS,CENTRO              ,N,RJ,00424540,0251,39999569400000029654261194000000000000513032,PROSERV SERVIÇOS LTDA,0,99 - ,<blank>,CNR,0000000000005146,<blank>,"MAESTRO FELICIO TOLEDO, RUA             ",<blank>,399-9,HSBC,007610000,27170982,39.256.169/0001-42,4261194,<blank>,5,29.65,2013-05-10 00:00:00,2013-05-08 00:00:00
AREAL,<blank>,<blank>,<blank>,<blank>,<blank>,APOS O VENCIMENTO 3% DE MULTA + JUROS,<blank>,<blank>,<blank>,"COBRAR JUROS DIARIOS DE R$ 1,97",04.918.341/0001-00,25845-000,<blank>,<blank>,00190.00009  03032.516001  00006.850176  6  77290000006550,DM,<blank>,<blank>,NOVAA3,CEDRO,N,RJ,50900145,28851,00196772900000065500000003032516000000685017,ACF BINGEN CORREIOS FRAQUEADOS LTDA,14501,R$,<blank>,17/035,30325160000006850,<blank>,RUA DJALMA LOPES NEVES 00 0,<blank>,001-9,BANCO DO BRASIL,325920000,27016847,07.065.862/0001-41,2885-1/15966-2,<blank>,6850,65.5,2018-12-05 00:00:00,2018-12-01 00:00:00
BELFORD ROXO,<blank>,<blank>,"APÓS VENCIMENTO COBRAR JUROS DIARIOS DE 0,16%",<blank>,<blank>,ESTA COBRANÇA É REFERENTE AOS SERVIÇOS DE POSTAGENS.,PELA  AGÊNCIA DE CORREIOS AGF NORTESHOP,NO PERÍODO DESCRIMINADO EM FATURA .,<blank>,<blank>,00.122.145/0002-46,26110-120,<blank>,<blank>,03399.16264  75200.012344  57196.701015  7  78280000012695,DM,<blank>,<blank>,AFTON CHEMICAL IND. DE ADITIVOS,BOM PASTOR,N,RJ,00424736,1532,03397782800000126959162675200012345719670101,TRANSPARENCY POSTAGENS E SERV LTDA,22093,REAL,<blank>,101,000123457196-7,<blank>,ESTRADA DA BOA ESPERANÇA 650 PARTE,S,033-7,SANTANDER,005090000,27172273,08.698.678/0001-00,1532   1626752,<blank>,123457196,126.95,2019-03-14 00:00:00,2019-02-28 00:00:00
BELFORD ROXO,<blank>,<blank>,"APÓS VENCIMENTO COBRAR JUROS DIARIOS DE 0,16%",<blank>,<blank>,ESTA COBRANÇA É REFERENTE AOS SERVIÇOS DE POSTAGENS.,PELA  AGÊNCIA DE CORREIOS AGF NORTESHOP,NO PERÍODO DESCRIMINADO EM FATURA .,<blank>,<blank>,00.122.145/0002-46,26110-120,<blank>,<blank>,03399.16264  75200.012344  57196.701015  7  78280000012695,DM,<blank>,<blank>,AFTON CHEMICAL IND. DE ADITIVOS,BOM PASTOR,N,RJ,00424736,1532,03397782800000126959162675200012345719670101,TRANSPARENCY POSTAGENS E SERV LTDA,22093,REAL,<blank>,101,000123457196-7,<blank>,ESTRADA DA BOA ESPERANÇA 650 PARTE,S,033-7,SANTANDER,005090000,27172273,08.698.678/0001-00,1532   1626752,<blank>,123457196,126.95,2019-03-14 00:00:00,2019-02-28 00:00:00
