idRastreamento,RasDta,RasIpx
1,2016-12-05 11:52:56,192.231.130.1
2,2016-12-05 11:52:56,201.6.125.80
3,2016-12-05 11:52:57,189.63.238.47
4,2016-12-05 11:52:57,192.231.130.1
5,2016-12-05 11:52:59,177.205.22.75
6,2016-12-05 11:53:00,201.39.87.227
7,2016-12-05 11:53:00,201.22.102.235
8,2016-12-05 11:53:02,186.200.77.178
9,2016-12-05 11:53:02,187.72.108.209
10,2016-12-05 11:53:05,177.40.12.11
11,2016-12-05 11:53:06,189.112.204.129
12,2016-12-05 11:53:06,189.99.226.250
13,2016-12-05 11:53:06,186.205.227.107
14,2016-12-05 11:53:07,187.72.108.209
15,2016-12-05 11:53:07,177.205.193.37
16,2016-12-05 11:53:09,179.234.184.75
17,2016-12-05 11:53:10,177.103.230.90
18,2016-12-05 11:53:13,189.100.68.96
19,2016-12-05 11:53:13,200.174.113.210
20,2016-12-05 11:53:17,177.80.235.48
21,2016-12-05 11:53:18,186.213.109.2
22,2016-12-05 11:53:18,177.154.86.143
23,2016-12-05 11:53:19,187.11.195.173
24,2016-12-05 11:53:19,179.104.43.163
25,2016-12-05 11:53:23,189.79.93.126
26,2016-12-05 11:53:25,187.66.8.24
27,2016-12-05 11:53:27,177.34.172.28
28,2016-12-05 11:53:28,179.99.34.67
29,2016-12-05 11:53:29,201.22.102.235
30,2016-12-05 11:53:29,186.215.223.58
31,2016-12-05 11:53:29,187.38.122.51
32,2016-12-05 11:53:31,152.250.251.241
33,2016-12-05 11:53:31,201.80.6.217
34,2016-12-05 11:53:31,186.200.77.178
35,2016-12-05 11:53:33,187.38.135.83
36,2016-12-05 11:53:33,201.17.180.57
37,2016-12-05 11:53:38,186.206.254.212
38,2016-12-05 11:53:41,201.76.175.14
39,2016-12-05 11:53:41,189.50.138.210
40,2016-12-05 11:53:43,177.103.230.90
41,2016-12-05 11:53:43,189.76.129.42
42,2016-12-05 11:53:47,179.34.174.247
43,2016-12-05 11:53:50,177.18.203.135
44,2016-12-05 11:53:50,186.230.33.44
45,2016-12-05 11:53:54,187.18.158.136
46,2016-12-05 11:53:54,177.40.196.82
47,2016-12-05 11:53:55,179.212.91.36
48,2016-12-05 11:53:59,179.208.175.62
49,2016-12-05 11:54:00,201.47.232.104
50,2016-12-05 11:54:01,189.1.177.17
51,2016-12-05 11:54:01,200.246.6.132
52,2016-12-05 11:54:02,187.11.241.233
53,2016-12-05 11:54:03,177.205.193.37
54,2016-12-05 11:54:03,189.47.181.112
55,2016-12-05 11:54:04,177.8.170.166
56,2016-12-05 11:54:05,207.46.13.80
57,2016-12-05 11:54:05,189.102.140.41
58,2016-12-05 11:54:10,187.72.108.209
59,2016-12-05 11:54:11,186.215.45.229
60,2016-12-05 11:54:14,187.11.239.42
61,2016-12-05 11:54:16,200.178.11.98
62,2016-12-05 11:54:17,179.104.111.23
63,2016-12-05 11:54:19,187.72.108.209
64,2016-12-05 11:54:19,186.213.109.2
65,2016-12-05 11:54:19,191.193.194.251
66,2016-12-05 11:54:19,152.250.35.105
67,2016-12-05 11:54:20,177.96.150.107
68,2016-12-05 11:54:24,187.11.241.233
69,2016-12-05 11:54:25,189.102.140.41
70,2016-12-05 11:54:27,186.203.1.69
71,2016-12-05 11:54:27,177.125.202.71
72,2016-12-05 11:54:27,201.17.180.57
73,2016-12-05 11:54:28,177.205.193.37
74,2016-12-05 11:54:28,187.72.108.209
75,2016-12-05 11:54:28,189.62.239.78
