id_pagfat,obs,oper,cod_sto,dat_pgt,num_fat,cod_cli,dat_comp,val_lanc
1,<blank>,0401005,20909756,2014-12-16,87180,154540000,2015-08-06,-80.7
2,<blank>,0401005,20909756,2014-12-16,87182,001010000,2015-08-06,-53.5
3,<blank>,0401005,20909756,2014-12-16,87183,001050000,2015-08-06,-371.55
4,<blank>,0401005,20909756,2014-12-16,87184,004910000,2015-08-06,-49.8
5,<blank>,0401005,20909756,2014-12-16,87185,030660000,2015-08-06,-57.1
6,<blank>,0401005,20909756,2014-12-16,87187,004030000,2015-08-06,-357.5
7,<blank>,0401005,20909756,2014-12-16,87189,002270000,2015-08-06,-500.3
8,<blank>,0401005,20909756,2014-12-16,87190,001210000,2015-08-06,-41
9,<blank>,0401005,20909756,2014-12-16,87191,030030000,2015-08-06,-930.75
10,<blank>,0401005,20909756,2014-12-16,87192,001260000,2015-08-06,-211.45
11,<blank>,0401005,20909756,2014-12-16,87193,001280000,2015-08-06,-206.04
12,<blank>,0401005,20909756,2014-12-16,87194,002530000,2015-08-06,-556.36
13,<blank>,0401005,20909756,2014-12-16,87195,000871169,2015-08-06,-51
14,<blank>,0401005,20909756,2014-12-16,87196,000870343,2015-08-06,-64.8
15,<blank>,0401005,20909756,2014-12-16,87197,030930000,2015-08-06,-180.4
16,<blank>,0401005,20909756,2014-12-16,87198,030940000,2015-08-06,-159.9
17,<blank>,0401005,20909756,2014-12-16,87199,003000000,2015-08-06,-113
18,<blank>,0401005,20909756,2014-12-16,87200,003420000,2015-08-06,-8.65
19,<blank>,0401005,20909756,2014-12-16,87201,031070000,2015-08-06,-58.8
20,<blank>,0401005,20909756,2014-12-18,87205,030060000,2015-08-06,-267.25
21,<blank>,0401005,20909756,2014-12-18,87206,000040000,2015-08-06,-157.75
22,<blank>,0401005,20909756,2014-12-22,87207,030980000,2015-08-06,-780.9
23,<blank>,0401005,20909756,2014-12-26,87208,030400000,2015-08-06,-976.64
24,<blank>,0401005,20909756,2014-12-30,87209,000020000,2015-08-06,-98.3
25,<blank>,0401005,20909756,2014-12-30,87210,030400000,2015-08-06,-755.91
26,<blank>,0401005,20909756,2014-12-30,87212,003520000,2015-08-06,-102.1
27,<blank>,0401005,20909756,2014-12-30,87213,030090000,2015-08-06,-1775.53
28,<blank>,0401005,20909756,2014-12-30,87214,004800000,2015-08-06,-372.9
29,<blank>,0401005,20909756,2014-12-30,87215,001850000,2015-08-06,-11.1
30,<blank>,0401005,20909756,2014-12-30,87216,000340000,2015-08-06,-746
31,<blank>,0401005,20909756,2014-12-30,87218,003860000,2015-08-06,-927.5
32,<blank>,0401005,20909756,2014-12-30,87220,002800000,2015-08-06,-163.4
33,<blank>,0401005,20909756,2014-12-30,87221,003090000,2015-08-06,-33.2
34,<blank>,0401005,20909756,2014-12-30,87222,030060000,2015-08-06,-11.45
35,<blank>,0401005,20909756,2014-12-30,87223,000010000,2015-08-06,-209.8
36,<blank>,0401005,20909756,2014-12-30,87224,030670000,2015-08-06,-1745.75
37,<blank>,0401005,20909756,2014-12-30,87225,000040000,2015-08-06,-67
38,<blank>,0401005,20909756,2014-12-30,87227,002080000,2015-08-06,-34.7
39,<blank>,0401005,20909756,2014-12-30,87228,004450000,2015-08-06,-249.2
40,<blank>,0401005,20909756,2014-12-30,87229,003420000,2015-08-06,-260.48
41,<blank>,0401005,20909756,2014-12-30,87230,030110000,2015-08-06,-92.45
42,<blank>,0401005,20909756,2014-12-30,87231,030740000,2015-08-06,-74.4
43,<blank>,0401005,20909756,2014-12-30,87232,000350000,2015-08-06,-610.05
44,<blank>,0401005,20909756,2014-12-30,87233,030930000,2015-08-06,-49.8
45,<blank>,0401005,20909756,2014-12-30,87234,030330000,2015-08-06,-192.9
46,<blank>,0401005,20909756,2014-12-30,87235,000290000,2015-08-06,-172.22
47,<blank>,0401005,20909756,2014-12-30,87236,030940000,2015-08-06,-39.2
48,<blank>,0401005,20909756,2014-12-30,87237,000500000,2015-08-06,-99
49,<blank>,0401005,20909756,2014-12-30,87238,030700000,2015-08-06,-16.5
50,<blank>,0401005,20909756,2014-12-30,87241,002530000,2015-08-06,-541.39
51,<blank>,0401005,20909756,2014-12-30,87242,002140000,2015-08-06,-16.25
52,<blank>,0401005,20909756,2014-12-30,87243,000871169,2015-08-06,-162.95
53,<blank>,0401005,20909756,2014-12-30,87244,000870343,2015-08-06,-80.3
54,<blank>,0401005,20909756,2014-12-30,87245,001770000,2015-08-06,-309.6
55,<blank>,0401005,20909756,2014-12-30,87247,000780000,2015-08-06,-2128.2
56,<blank>,0401005,20909756,2014-12-30,87248,001500000,2015-08-06,-328.65
57,<blank>,0401005,20909756,2014-12-30,87249,001140000,2015-08-06,-1475.1
58,<blank>,0401005,20909756,2015-01-02,87250,000420000,2015-08-06,-832.14
59,<blank>,0401005,20909756,2015-01-02,87251,001570000,2015-08-06,-359.6
60,<blank>,0401005,20909756,2015-01-02,87253,002720000,2015-08-06,-346.2
61,<blank>,0401005,20909756,2015-01-02,87254,154500000,2015-08-06,-496.49
62,<blank>,0401005,20909756,2015-01-02,87255,004040000,2015-08-06,-100.03
63,<blank>,0401005,20909756,2015-01-02,87256,004220000,2015-08-06,-118.3
64,<blank>,0401005,20909756,2015-01-02,87258,004600000,2015-08-06,-59.6
65,<blank>,0401005,20909756,2015-01-02,87259,003730000,2015-08-06,-853.51
66,<blank>,0401005,20909756,2015-01-02,87260,001810000,2015-08-06,-240.45
67,<blank>,0401005,20909756,2015-01-02,87261,030520000,2015-08-06,-142.8
68,<blank>,0401005,20909756,2015-01-02,87262,030950000,2015-08-06,-2158.11
69,<blank>,0401005,20909756,2015-01-02,87263,030080000,2015-08-06,-356.05
70,<blank>,0401005,20909756,2015-01-02,87264,030590000,2015-08-06,-56.01
71,<blank>,0401005,20909756,2015-01-02,87265,030410000,2015-08-06,-149.36
72,<blank>,0401005,20909756,2015-01-02,87266,002980000,2015-08-06,-363.1
73,<blank>,0401005,20909756,2015-01-02,87267,030850000,2015-08-06,-635.64
74,<blank>,0401005,20909756,2015-01-02,87268,003000000,2015-08-06,-224.1
75,<blank>,0401005,20909756,2015-01-02,87269,004720000,2015-08-06,-37.34
76,<blank>,0401005,20909756,2015-01-02,87270,002130000,2015-08-06,-91.97
77,<blank>,0401005,20909756,2015-01-02,87271,154490000,2015-08-06,-53
78,<blank>,0401005,20909756,2015-01-02,87272,002730000,2015-08-06,-69
79,<blank>,0401005,20909756,2015-01-02,87274,030580000,2015-08-06,-514.63
80,<blank>,0401005,20909756,2015-01-02,87275,030500000,2015-08-06,-20.75
81,<blank>,0401005,20909756,2015-01-02,87276,031080000,2015-08-06,-196.6
82,<blank>,0401005,20909756,2015-01-02,87277,003960000,2015-08-06,-1097.2
83,<blank>,0401005,20909756,2015-01-02,87278,003160000,2015-08-06,-40.65
84,<blank>,0401005,20909756,2015-01-02,87279,030320000,2015-08-06,-65
85,<blank>,0401005,20909756,2015-01-02,87280,000970000,2015-08-06,-58.2
86,<blank>,0401005,20909756,2015-01-02,87281,030880000,2015-08-06,-578.2
87,<blank>,0401005,20909756,2015-01-02,87282,004580000,2015-08-06,-60
88,<blank>,0401005,20909756,2015-01-02,87283,030310000,2015-08-06,-200.8
89,<blank>,0401005,20909756,2015-01-02,87284,002240000,2015-08-06,-223.05
90,<blank>,0401005,20909756,2015-01-02,87288,001050000,2015-08-06,-882.15
91,<blank>,0401005,20909756,2015-01-02,87289,004910000,2015-08-06,-16.2
92,<blank>,0401005,20909756,2015-01-02,87291,004030000,2015-08-06,-105.3
93,<blank>,0401005,20909756,2015-01-02,87292,031070000,2015-08-06,-59.2
94,<blank>,0401005,20909756,2015-01-02,87293,002270000,2015-08-06,-208.3
95,<blank>,0401005,20909756,2015-01-02,87294,001210000,2015-08-06,-68.85
96,<blank>,0401005,20909756,2015-01-02,87295,030030000,2015-08-06,-550.3
97,<blank>,0401005,20909756,2015-01-02,87296,001260000,2015-08-06,-109.8
98,<blank>,0401005,20909756,2015-01-02,87297,001280000,2015-08-06,-49.18
99,<blank>,0401005,20909756,2015-01-09,87298,002010000,2015-08-06,-145.8
100,<blank>,0401005,20909756,2015-01-13,87299,002010000,2015-08-06,-169.28
