descri,codigo,cod_sto,cod_correio,nr_registro
ENCOMENDA NORMAL CONVENCIONAL,00100,71000000,000041017,9151
ENCOMENDA NORMAL ESPECIAL CONVENC,00101,71000000,<blank>,9152
ENCOMENDA NORMAL PAC GRANDES FORMATO,00102,71000000,000041300,9153
ENCOMENDA NORMAL CONTRATO VAREJO,00103,71000000,000004669,9154
ENCOMENDA NORMAL PAC A VISTA,00104,71000000,000041106,9155
ENCOMENDA NORMAL PAC PG NA ENTREGA,00105,71000000,000041262,9156
ENCOMENDA NORMAL COMBO PAC,00106,71000000,000041459,9157
ENCOMENDA NORMAL INDUSTRIAL ML LM,00107,71000000,000004332,9158
ENCOMENDA NORMAL VAREJO ML LM,00108,71000000,000004367,9159
ENCOMENDA NORMAL PAG NA ENTREGA LM,00109,71000000,000004308,9160
ENCOMENDA NORMAL COMBO PAC,00110,71000000,000004715,9161
ENCOMENDA NORMAL PAC,00111,71000000,000041025,9162
ENCOMENDA NORMAL PAC A VISTA,00112,71000000,000004510,9163
ENCOMENDA NORMAL PAC FATURADO NOVO,00113,71000000,000041068,9164
ENCOMENDA NORMAL PAC SERVICO,00114,71000000,000004510,9165
ENCOMENDA NORMAL PAC PG NA ENTREGA,00115,71000000,000004707,9166
ENCOMENDA NORMAL PAC 04669  VAREJO,00116,71000000,000004669,9167
ENCOMENDA NORMAL PAC 04812  INDUSTR,00117,71000000,000004812,9168
ENCOMENDA NORMAL PAC 04685  PGNE,00118,71000000,000004685,9169
ENCOMENDA NORMAL PAC 04693  GF,00119,71000000,000004693,9170
ENCOMENDA NORMAL GRANDES FORMATOS LM,00120,71000000,000004383,9171
SEDEX A VISTA,00200,71000000,000004014,9172
SEDEX E SEDEX,00201,71000000,000081019,9173
SEDEX A VISTA,00202,71000000,000040010,9174
SEDEX SEDEX A VISTA,00203,71000000,000040843,9175
SEDEX COMBO SEDEX 10,00204,71000000,000040940,9176
SEDEX CONTRATO VAREJO,00205,71000000,000004162,9177
SEDEX SEDEX PAG NA ENTREG,00206,71000000,000040819,9178
SEDEX COMBO,00207,71000000,000040959,9179
SEDEX VAREJO ML LM,00208,71000000,000004154,9180
SEDEX INDUSTRIAL ML LM,00209,71000000,000004278,9181
SEDEX CONTRATO SEDEX MULT,00210,71000000,000040436,9182
SEDEX SEDEX CONTRATO FATU,00211,71000000,000040096,9183
SEDEX A COBRAR CONTRATO,00212,71000000,000040630,9184
