IdInformativo,Img,Data,Titulo,TituloEn,Keywords,Descricao,KeywordsEn,ImgInicial,DescricaoEn
12,NULL,2007-03-01 00:00:00,Nº 01 - Informativo CABEC - março/2007,NULL,NULL,01/03/2007 - Nº 1 - Informativo CABEC - março/07,NULL,cc4dd6ab8c2ccf333c11f56a323db1f0.pdf,NULL
13,NULL,2007-06-01 00:00:00,Nº 02 - Informativo CABEC - junho/2007,NULL,NULL,01/06/2007 - Nº 2 - Informativo CABEC - junho/07,NULL,7552ba0ea0ae95497b5c2f07ba54b7a3.pdf,NULL
14,NULL,2007-07-01 00:00:00,Nº 03 - Informativo CABEC - julho/2007,NULL,NULL,01/07/2007 - Nº 3 - Informativo CABEC - julho/07,NULL,535df9022fd3ea6f5359f568ceaa03f2.pdf,NULL
16,NULL,2007-08-01 00:00:00,Nº 04 - Informativo CABEC - agosto/2007,NULL,NULL,01/08/2007 - Nº 4- Informativo CABEC - agosto/07,NULL,9045e31e20a638acf34955e3e7bae6e3.pdf,NULL
17,NULL,2007-11-01 00:00:00,Nº 05 - Informativo CABEC - novembro/2007,NULL,NULL,01/11/2007 - Nº 5 - Informativo CABEC - novembro/07,NULL,600223859d52f6e4a7cca71090806dce.pdf,NULL
18,NULL,2010-01-22 00:00:00,Nº 06 - Informativo CABEC - janeiro/2010,NULL,NULL,22/01/2010,NULL,13277e2606bfd39fb4e5d6e2036ddb4b.pdf,NULL
19,NULL,2010-06-07 00:00:00,Nº 07 - Informativo CABEC - Junho/2010,NULL,NULL,07/06/2010,NULL,9a6485ce30ac543d7c6fac16d2af3ba7.pdf,NULL
20,NULL,2010-09-03 00:00:00,Nº 08 - Informativo CABEC - Julho/2010,NULL,NULL,03/09/2010,NULL,cdb5f577e3ea3b3a3c35b3231ef7b309.pdf,NULL
21,NULL,2011-04-05 00:00:00,Nº 09 - Informativo CABEC - Janeiro/2011,NULL,NULL,05/04/2011 - Informativo CABEC - Janeiro/2011,NULL,ead8841dc24e521e2019b36d1ca232b3.pdf,NULL
22,NULL,2011-04-25 00:00:00,Nº 10 - Informativo CABEC - Abril/2011,NULL,NULL,25/04/2011 - Informativo CABEC - Abril/2011,NULL,4be29e1767979d815b488e2cc396c1f4.pdf,NULL
23,NULL,2011-06-22 00:00:00,Nº 11 - Informativo CABEC - Junho/2011,NULL,NULL,22/06/2011 - Informativo CABEC - Junho/2011,NULL,a056a7de6b4857b0c86280612c9c1703.pdf,NULL
24,NULL,2011-08-18 00:00:00,Nº 12 - Informativo CABEC - Agosto/2011,NULL,NULL,18/08/2011 - Informativo CABEC - Agosto/2011,NULL,24d9a8f337e7fb142bda6cd8ccf7b40c.pdf,NULL
25,NULL,2011-10-27 00:00:00,Nº 13 - Informativo CABEC - Outubro/2011,NULL,NULL,27/10/2011 - 24/10/2011 - Informativo CABEC - Outubro/2011,NULL,3e365de8c04ed56a5f19213817b798e3.pdf,NULL
26,NULL,2011-12-29 00:00:00,Nº 14 - Informativo CABEC - Dezembro/2011,NULL,NULL,29/12/2011 - Nº 14 - Informativo CABEC - Dezembro/201,NULL,cc9e91b196793e20531e42c5e9282070.pdf,NULL
27,NULL,2012-02-28 00:00:00,Nº 15 - Informativo CABEC - Fevereiro/2012,NULL,NULL,28/02/2012 - Nº 15 - Informativo CABEC - Fevereiro/20,NULL,6def22fbd6345f58a5a7feca98364657.pdf,NULL
28,NULL,2012-05-03 00:00:00,Nº 16 - Informativo CABEC - Abril/2012,NULL,NULL,03/05/2012 - Nº 16 - Informativo CABEC - Abril/2012,NULL,e45bcf73f87ef8e93cc3f16b5bd3d230.pdf,NULL
29,NULL,2012-06-29 00:00:00,Nº 17 - Informativo CABEC - Junho/2012,NULL,NULL,29/06/2012 - Nº 17 - Informativo CABEC - Junho/2012,NULL,12ef192403893fa1a0b49c102c411d37.pdf,NULL
