Idf_Status,Cod,Obs,Tipo,Ementa,Homepage,Cod_Curso,Coordenador,CoCoordenador,Carga_Horaria,Nom_Disciplina,Cod_Disciplina
A,1,NULL,O,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=rcg0117&nomdis=,http://disciplinas.stoa.usp.br/enrol/index.php?id=6757,1,PROFª DRª APARECIDA MARIA FONTES,PROF. DR. VICTOR EVANGELISTA DE FARIA FERRAZ,90H,GENÉTICA HUMANA,RCG-0117
A,2,NULL,O,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=rcg0441&nomdis=,http://www.rge.fmrp.usp.br/geneticamedica/,1,PROF. DR. VICTOR EVANGELISTA DE FARIA FERRAZ,PROFª DRª ESTER SILVEIRA RAMOS,45H,GENÉTICA MÉDICA,RCG-0441
A,3,NULL,O,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=RCG0332&nomdis=,http://www.rge.fmrp.usp.br/cursos/evolucao/,1,PROF. DR. DAVID DE JONG,PROF. DR. AGUINALDO LUIZ SIMÕES,30H,EVOLUÇÃO,RCG-0332
A,4,NULL,O,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=rcg1002&nomdis=,http://disciplinas.stoa.usp.br/course/search.php?search=rcg1002,2,PROF. DR. JOÃO MONTEIRO DE PINA NETO,PROFª DRª VANESSA DA SILVA SILVEIRA,45H,GENÉTICA,RCG-1002
A,5,NULL,O,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=rcg1002&nomdis=,http://disciplinas.stoa.usp.br/course/search.php?search=rcg1002,3,PROF. DR. JOÃO MONTEIRO DE PINA NETO,PROFª DRª VANESSA DA SILVA SILVEIRA,45H,GENÉTICA,RCG-1002
A,6,NULL,O,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=IBM1027&nomdis=,http://disciplinas.stoa.usp.br/course/view.php?id=7694&section=0,6,PROF. DR. WILSON ARAÚJO DA SILVA JUNIOR,PROF. DR. AGUINALDO LUIZ SIMÕES,60H,GENÉTICA MOLECULAR,IBM-1027
A,7,NULL,O,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=IBM1029&nomdis=,http://disciplinas.stoa.usp.br/course/search.php?search=ibm1029,6,PROFª DRª SILVANA GIULIATTI,PROF. DR. WILSON ARAúJO DA SILVA JUNIOR,60H,INTRODUÇÃO À BIOINFORMÁTICA,IBM-1029
A,8,NULL,O,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=RFM0009&nomdis=,http://www.rge.fmrp.usp.br/cursos/genhum,4,PROFª DRª NILCE MARIA MARTINEZ ROSSI,PROFª DRª VANESSA DA SILVA SILVEIRA,45H,GENÉTICA HUMANA,RFM-0009
A,9,NULL,O,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=RFM0009&nomdis=,http://www.rge.fmrp.usp.br/cursos/genhum,5,PROFª DRª NILCE MARIA MARTINEZ ROSSI,PROFª DRª VANESSA DA SILVA SILVEIRA,45H,GENÉTICA HUMANA,RFM-0009
A,11,NULL,P,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=rcg0155&nomdis=,http://disciplinas.stoa.usp.br/course/search.php?search=rcg0155,1,PROF. DR. RAYSILDO BARBOSA LÔBO,NULL,45H,INFORMÁTICA E ANÁLISE DE DADOS,RCG-0155
A,12,NULL,P,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=rcg0157&nomdis=,NULL,1,PROFª DRª EUCLEIA PRIMO BETIOLI CONTEL,NULL,45H,INVESTIGAÇÃO DE PATERNIDADE ATRAVÉS DE MARCADORES PROTEICOS,RCG-0157
A,13,NULL,P,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=rcg0158&nomdis=,http://disciplinas.stoa.usp.br/course/search.php?search=rcg0158,1,PROF. DR. AGUINALDO LUIZ SIMÕES,NULL,45H,POLIMORFISMOS GENÉTICOS - DNA E PROTEÍNAS,RCG-0158
A,14,NULL,P,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=rcg0163&nomdis=,http://disciplinas.stoa.usp.br/course/search.php?search=rcg0163,1,PROFª DRª NILCE MARIA MARTINEZ ROSSI,NULL,45H,GENÉTICA E BIOLOGIA MOLECULAR DE FUNGOS,RCG-0163
A,15,NULL,P,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=RCG0172&nomdis=,http://disciplinas.stoa.usp.br/course/search.php?search=rcg0172,1,PROF. DR. JOÃO MONTEIRO DE PINA NETO,NULL,45H,CITOGENÉTICA MÉDICA,RCG-0172
A,16,NULL,P,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=rcg0174&nomdis=,http://disciplinas.stoa.usp.br/course/search.php?search=rcg0174,1,PROF. DR. DAVID DE JONG,NULL,45H,INTERPRETAÇÃO DA LITERATURA CIENTÍFICA,RCG-0174
