idEtq,EtqEct,DtaSol,CodUsr,CodSto
1,BI550616624BR,2018-09-25 10:26:27,000010000,71000000
2,OG153239461BR,2018-10-15 17:25:44,000230000,71000000
3,OG155777857BR,2018-10-16 10:24:07,000230000,71000000
4,OG155865812BR,2018-10-16 10:57:38,000010000,71000000
5,OG155945515BR,2018-10-16 11:11:53,000010000,71000000
6,OG162524748BR,2018-10-17 14:18:50,000230000,71000000
7,OG162530023BR,2018-10-17 14:22:45,000230000,71000000
8,OG162541202BR,2018-10-17 14:28:08,000230000,71000000
9,OG220900940BR,2018-11-01 12:39:56,000230000,71000000
10,PS511511556BR,2018-11-08 17:53:12,000010000,71000000
11,PS513441345BR,2018-11-09 08:48:33,000010000,71000000
12,PS513442558BR,2018-11-09 08:50:23,000010000,71000000
13,PS514413147BR,2018-11-09 10:38:39,000010000,71000000
14,OG256185062BR,2018-11-09 13:36:11,000010000,71000000
15,OG256187514BR,2018-11-09 13:37:01,000010000,71000000
16,OG256191071BR,2018-11-09 13:38:55,000010000,71000000
17,OG256191301BR,2018-11-09 13:39:41,000010000,71000000
18,OG471384980BR,2019-01-02 10:01:13,000010000,71000000

