id,id_dvs,obs,data,valor,cod_sto,operacao
1,2,<blank>,2018-08-22,20,71000000,0301001
2,3,<blank>,2018-08-22,20,71000000,0301001
3,4,<blank>,2018-08-22,20,71000000,0301001
4,5,<blank>,2018-08-22,20,71000000,0301001
5,6,<blank>,2018-08-22,20,71000000,0301001
6,7,<blank>,2018-08-22,20,71000000,0301001
7,8,<blank>,2018-08-22,20,71000000,0301001
8,9,<blank>,2018-08-22,20,71000000,0301001
9,10,<blank>,2018-08-22,20,71000000,0301001
10,11,<blank>,2018-08-22,20,71000000,0301001
11,12,<blank>,2018-08-22,20,71000000,0301001
12,13,<blank>,2018-08-22,20,71000000,0301001
13,14,<blank>,2018-08-22,20,71000000,0301001
14,15,<blank>,2018-08-22,20,71000000,0301001
15,16,<blank>,2018-08-22,20,71000000,0301001
16,17,<blank>,2018-08-22,20,71000000,0301001
17,18,<blank>,2018-08-22,20,71000000,0301001
18,19,<blank>,2018-08-22,20,71000000,0301001
19,20,<blank>,2018-08-22,20,71000000,0301001
20,21,<blank>,2018-08-22,20,71000000,0301001
21,22,<blank>,2018-08-22,20,71000000,0301001
22,23,<blank>,2018-08-22,20,71000000,0301001
23,24,<blank>,2018-08-22,20,71000000,0301001
24,25,<blank>,2018-08-22,20,71000000,0301001
25,26,<blank>,2018-08-22,20,71000000,0301001
26,27,<blank>,2018-08-22,20,71000000,0301001
27,28,<blank>,2018-08-22,20,71000000,0301001
28,29,<blank>,2018-08-22,20,71000000,0301001
29,30,<blank>,2018-08-22,20,71000000,0301001
30,31,<blank>,2018-08-22,20,71000000,0301001
31,32,<blank>,2018-08-22,20,71000000,0301001
32,33,<blank>,2018-08-22,20,71000000,0301001

