idxItmPro,idxProCol,CodSto,CodUsr,DtaItmPro,StsItmPro,QtdItmPro,ObsItmPro,VdcItmPro,DscItmPro,QarItmPro
1,1,71000000,000230001,2018-09-21 17:26:12,1,2,NULL,120,SEDEX,1
2,2,71000000,000230000,2018-10-10 10:23:07,1,50,NULL,0,SEDEX A Cobrar,0
3,2,71000000,000230000,2018-10-10 10:23:07,1,0,NULL,0,SEDEX 10,10
4,2,71000000,000230000,2018-10-10 10:23:07,1,20,NULL,0,PAC Grandes Formatos,0
5,3,71000000,000230000,2018-10-10 10:46:34,1,100,NULL,0,SEDEX Hoje,0
6,3,71000000,000230000,2018-10-10 10:46:34,1,1000,NULL,0,e-SEDEX,0
7,4,71000000,000230000,2018-10-10 10:46:46,1,10,NULL,0,Carta Registrada,0
8,4,71000000,000230000,2018-10-10 10:46:46,1,10,NULL,0,Doc. Inter. Econômico,0
9,5,71000000,000230000,2018-10-10 10:47:03,1,1,NULL,0,SEDEX,0
10,5,71000000,000230000,2018-10-10 10:47:03,1,2,NULL,0,SEDEX A Cobrar,0
11,5,71000000,000230000,2018-10-10 10:47:03,1,3,NULL,0,SEDEX 10,0
12,6,71000000,000230000,2018-10-10 10:47:16,1,4,NULL,0,PAC,0
13,6,71000000,000230000,2018-10-10 10:47:16,1,5,NULL,0,PAC Grandes Formatos,0
14,6,71000000,000230000,2018-10-10 10:47:16,1,6,NULL,0,Carta Simples,0
15,7,71000000,000230001,2018-10-10 10:57:18,1,1,NULL,0,SEDEX,0
16,7,71000000,000230001,2018-10-10 10:57:18,1,1,NULL,0,SEDEX A Cobrar,0
17,7,71000000,000230001,2018-10-10 10:57:18,1,1,NULL,0,SEDEX 10,0
18,7,71000000,000230001,2018-10-10 10:57:18,1,1,NULL,0,SEDEX 12,0
19,8,71000000,000230004,2018-10-10 11:49:59,1,10,NULL,0,SEDEX,0
20,8,71000000,000230004,2018-10-10 11:49:59,1,20,NULL,0,SEDEX A Cobrar,0
21,8,71000000,000230004,2018-10-10 11:49:59,1,30,NULL,0,SEDEX 10,0
22,9,71000000,000230004,2018-10-10 11:50:09,1,40,NULL,0,Carta Simples,0
23,9,71000000,000230004,2018-10-10 11:50:09,1,50,NULL,0,Carta Registrada,0
24,9,71000000,000230004,2018-10-10 11:50:09,1,60,NULL,0,Impresso,0
25,10,71000000,000230001,2018-10-10 11:50:50,1,80,NULL,0,MDPB Registrado,0
26,10,71000000,000230001,2018-10-10 11:50:50,1,90,NULL,0,Doc. Inter. Econômico,0
27,10,71000000,000230001,2018-10-10 11:50:50,1,50,NULL,0,Doc. Inter. Prioritário,0
28,11,71000000,000230001,2018-10-10 11:51:00,1,100,NULL,0,SEDEX Hoje,0
29,11,71000000,000230001,2018-10-10 11:51:00,1,200,NULL,0,e-SEDEX,0
30,11,71000000,000230001,2018-10-10 11:51:00,1,300,NULL,0,PAC,0
31,12,71000000,000230000,2018-10-10 11:51:29,1,15,NULL,0,e-SEDEX,0
32,12,71000000,000230000,2018-10-10 11:51:29,1,25,NULL,0,PAC,0
33,12,71000000,000230000,2018-10-10 11:51:29,1,35,NULL,0,PAC Grandes Formatos,0
34,13,71000000,000230000,2018-10-10 11:51:37,1,35,NULL,0,MDPB Registrado,0
35,13,71000000,000230000,2018-10-10 11:51:37,1,45,NULL,0,Doc. Inter. Econômico,0
36,13,71000000,000230000,2018-10-10 11:51:37,1,55,NULL,0,Doc. Inter. Prioritário,0
37,14,71000000,000010000,2018-11-08 15:10:46,1,1,NULL,0,SEDEX,0
38,14,71000000,000010000,2018-11-08 15:10:46,1,1,NULL,0,SEDEX 10,0
39,14,71000000,000010000,2018-11-08 15:10:46,1,1,NULL,0,e-SEDEX,0
40,15,71000000,000010000,2018-11-21 13:45:13,1,50,NULL,0,SEDEX,50

