id,cod_disciplina,cod_prerequisito
2,CD3X2,CD3X1
6,CD3X3,CD3X2
21,CN3XA,CD3X2
20,CN3XA,ED3XA
8,ED3XA,CD3X2
1,FS3X3,CD3X1
7,FS3X4,FS3X3
3,FS3XB,FS3X1
22,FT3XA,FS3XB
5,LT32A,LT31A
10,LT33A,CD3X1
11,LT33B,LT32A
12,LT33C,FS3X3
13,LT34A,CD3X3
16,LT34B,FS3X4
17,LT34C,CD3X3
18,LT34C,LT33A
19,LT34D,PB3XA
23,LT35A,LT34A
24,LT35A,LT34C
26,LT35B,LT34B
27,LT35B,LT34C
28,LT35C,LT34B
29,LT35C,LT34C
30,LT35D,LT34C
31,LT36A,LT35A
35,LT36D,LT35C
36,LT36E,LT35B
37,LT36F,LT33C
38,LT36F,LT35D
39,LT37A,LT35B
40,LT37A,LTC36C
41,LT37B,LTC36B
42,LT37C,LT36A
43,LT37C,LTC36C
44,LT37D,LT33B
45,LT37E,LTC36B
47,LT38A,LT34E
46,LT38A,LT37A
48,LT38B,LT37B
50,LT38C,LT34E
49,LT38C,LT37D
52,LT39A,LT34E
51,LT39A,LT38A
32,LTC36B,LT35A
33,LTC36C,LT35A
34,LTC36C,LT35B
15,MG3XA,FS3X1
14,MG3XA,GA3X1
25,MG3XC,FS3X1
4,MP3XA,IE3X1
9,PB3XA,CD3X2
53,TCC2,TCC1
56,C339O,LT37B
55,CI39O,LT37B
57,LP39O,LT36A
58,BE39O,LTC36C
59,DL39O,LT36D
60,EM39O,LTC36C
61,RB39O,CN3XA
62,RB39O,LT37B
66,CN39O,LT36C

