link,texto
...,"Entrevista com Marcio Borba, pelo JCNEWS, dia  15.12.14"
"<iframe width=""460"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/groups/2382&auto_play=",tested asd asd asd asd asdasd asd
"<iframe width=""490"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/tracks/150306548&color","Ouça a entrevista de Marcio Borba, feita pelo radialista Joffre Melo, em novembro do 2013"
"<iframe width=""490"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/tracks/150306597&color","Ouça a entrevista com Marcio Borba, feita pelo radialista Joffre Melo, em novembro do 2013"
"<iframe width=""490"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/tracks/150306649&color","Ouça a entrevista com Marcio Borba, feita pelo radialista Joffre Melo, em novembro do 2013"
"<iframe width=""490"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/tracks/157986312&color",Confira a entrevista com Marcio Borba sobre a crise energética
"<iframe width=""490"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/tracks/159652177&color","Confira a entrevista com Marcio Borba, feita pelo radialista Joffre Melo, em entrevista no programa de hoje.\n\nQueda da Produção Industrial "
"<iframe width=""490"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/tracks/160957018&color",
"<iframe width=""490"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/tracks/160977299&color",Ouça a entrevista feita no programa de Mário Neto com
"<iframe width=""490"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/tracks/161832276&color","Confira a entrevista de segunda, 4 de agosto, com o economista Márcio Borba, no programa do jornalista Joffre Melo. "
"<iframe width=""490"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/tracks/162978658&color",Confira a entrevista do JCNews: Jofre Melo entrevista o economista Márcio Borba.  (11 - 08 - 14)
"<iframe width=""490"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/tracks/163006124&color",Mário Neto entrevista Marcio Borba (13 - 08 - 14)
"<iframe width=""490"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/tracks/163857198&color",ENTREVISTA 04 JOFFRE MELO (MARCIO BORBA) 18 - 08 - 14
"<iframe width=""490"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/tracks/163857198&color",ENTREVISTA 04 JOFFRE MELO (MARCIO BORBA) 18 - 08 - 14
"<iframe width=""490"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/tracks/164720620&color","Entrevista do Programa de Joffre Melo, com Maarcio Borba, presidente da SPPE - 25 - 08 - 14\n"
"<iframe width=""490"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/tracks/165789959&color","Confira a entrevista com Márcio Borba, no JCNews, feita por  Joffre Melo (01 - 09 - 14)"
"<iframe width=""490"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/tracks/166761550&auto_","Entrevista do Programa de Joffre Melo, com Marcio Borba, presidente da SPPE - 08/09/14"
"<iframe width=""490"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/tracks/168278770&color","Entrevista de Marcio Borba, por Marcelo Araújo - JCNews 15-09-14"
"<iframe width=""490"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/tracks/170021389&color",ENTREVSTA 04 JOFFRE MELO (MARCIO BORBA) 29 - 09 - 14
"<iframe width=""490"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/tracks/171939679&color",ENTREVISTA 04 JOFFRE MELO (MARCIO BORBA) 13 - 10 - 14
"<iframe width=""490"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/tracks/173693542&auto_",ENTREVISTA 02 JOFFRE MELO (MARCIO BORBA) 20 - 10 - 14
"<iframe width=""490"" height=""120"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https://api.soundcloud.com/tracks/174382201&color",ENTREVISTA 03 JOFFRE MELO (MARCIO BORBA) 22 - 09 - 14
