CadIdx,PdtIdx,AgeLib,AgeUrl,UpdUrl,AgeSto,AgeDsc,PdtDsc,DboEng,DboDsc,DboIpx,AgeUsr
1,1,1,acfes.postal.net.br,<blank>,00062045,ACF PRACA DO PAPA,POPP,1,acfes,172.31.37.250,PAPAADMIN
2,1,1,acfsp.postal.net.br,NULL,00234716,RECREIO,POPP,1,acfsp_10012017,172.31.37.250,RECRADMIN
3,1,1,ba.postal.net.br,<blank>,00235633,CAMPINAS DE PIRAJA,POPP,1,acfpb,172.31.37.250,CAPAADMIN
4,3,1,vipp.visualset.com.br,http://vpsrv.visualset.com.br,<blank>,AGF SOMENZARI,VIPP,1,acfspi,172.31.37.250,Alterado Por Ri
5,1,1,pr.postal.net.br,<blank>,00236741,AGF DO LAGO,POPP,1,acfpr,172.31.37.250,LAGOADMIN
6,1,1,rj.postal.net.br,<blank>,00423134,AGF BATURITE BONSUCESSO,POPP,1,acfrj,172.31.37.250,BATUADMIN
7,1,1,es.postal.net.br,<blank>,00423955,AGF BAIRRO VILA RUBIM,POPP,1,acfes,172.31.37.250,VLRBADMIN
8,1,1,spi.postal.net.br,<blank>,00424228,AGF JESUINO MARCONDES,POPP,1,acfspi,172.31.37.250,JESUADMIN
9,1,1,spi.postal.net.br,<blank>,00424256,AGF SENADOR VERGUEIRO,POPP,1,acfspi,172.31.37.250,SNVGADMIN
10,1,1,spi.postal.net.br,<blank>,00424263,MARIA MONTESSORI,POPP,1,acfspi,172.31.37.250,MAMOADMIN
11,1,1,agfshoppingmorumbi.postal.net.br,<blank>,00424298,AGF SHOPPING MORUMBI,POPP,1,acfshoppingmorumbi,172.31.37.250,MORBADMIN
12,1,1,ce.postal.net.br,<blank>,00424360,JOAO XXIII,POPP,1,acfce,172.31.37.250,JOAOADMIN
14,1,1,spi.postal.net.br,<blank>,00424509,AGF GLICERIO,POPP,1,acfspi,172.31.37.250,GLICADMIN
15,1,1,spi.postal.net.br,<blank>,00424512,JARDIM UNIVERSO,POPP,1,acfspi,172.31.37.250,JDUNADMIN
16,1,1,spi.postal.net.br,<blank>,00424514,PRACA 08 DE DEZEMBRO,POPP,1,acfspi,172.31.37.250,P8DDADMIN
17,1,1,rj.postal.net.br,<blank>,00424540,AGF AMARAL PEIXOTO,POPP,1,acfrj,172.31.37.250,AMPEADMIN
18,1,1,rj.postal.net.br,<blank>,00424577,ACF BARREIROS,POPP,1,acfrj,172.31.37.250,BARRADMIN
19,1,1,spi.postal.net.br,<blank>,00424741,SANTA TEREZINHA,POPP,1,acfspi,172.31.37.250,SANTADMIN
20,1,1,spi.postal.net.br,<blank>,00424772,BARAO DE DUPRAT,POPP,1,acfspi,172.31.37.250,BADUADMIN
