ip,datal,datao,icone,cod_sto,usuario,ocorrencia,nr_registro
<blank>,2018-12-27 17:05:48,NULL,NULL,20909331,ABCADMIN,Simulado por ,149608
<blank>,2018-12-27 17:05:48,NULL,NULL,20909331,ABCADMIN,Simulado por ,149608
<blank>,2019-02-08 11:57:48,NULL,NULL,20909331,RAISSA,Simulado por ,151079
<blank>,2019-02-08 11:57:48,NULL,NULL,20909331,RAISSA,Simulado por ,151079
<blank>,2019-02-08 12:13:45,NULL,NULL,20909331,RAISSA,Simulado por ,151103
<blank>,2018-12-27 17:05:48,NULL,NULL,20909331,ABCADMIN,Simulado por ,149608
<blank>,2018-12-27 17:05:48,NULL,NULL,20909331,ABCADMIN,Simulado por ,149608
<blank>,2019-02-19 11:14:26,NULL,NULL,20909331,RAISSA,Simulado por ,151528
138.122.106.50,2019-02-20 08:14:34,2019-02-20 08:14:34,1,20909331,guerraecia,Logon com sucesso,151571
152.238.139.212,2019-02-20 08:03:42,2019-02-20 08:03:42,1,20909331,ergoe,Logon com sucesso,151569
152.238.141.117,2018-12-11 08:19:40,2018-12-11 08:19:40,1,20909331,ergoe,Logon com sucesso,148969
152.238.163.242,2018-12-11 16:14:59,2018-12-11 16:14:59,1,20909331,ergoe,Logon com sucesso,149025
152.238.174.219,2019-03-08 15:50:27,2019-03-08 15:50:27,1,20909331,ergoe,Logon com sucesso,152162
152.238.192.66,2019-02-27 18:43:40,2019-02-27 18:43:40,1,20909331,Hirel,Logon com sucesso,151963
152.238.205.190,2019-02-22 11:36:22,2019-02-22 11:36:22,1,20909331,ergoe,Logon com sucesso,151753
152.238.80.110,2019-02-19 09:55:56,2019-02-19 09:55:56,1,20909331,ergoe,Logon com sucesso,151490
152.238.80.250,2018-12-17 09:57:44,2018-12-17 09:57:44,1,20909331,ergoe,Logon com sucesso,149228
152.238.83.170,2019-02-01 17:24:11,2019-02-01 17:24:11,1,20909331,ergoe,Logon com sucesso,150855
152.238.92.8,2019-02-04 11:34:23,2019-02-04 11:34:23,1,20909331,ergoe,Logon com sucesso,150882
170.78.76.198,2018-12-19 11:28:58,2018-12-19 11:28:58,1,20909331,easyequipa,Logon com sucesso,149373
170.78.76.198,2018-12-13 11:44:21,2018-12-13 11:44:21,1,20909331,easyequipa,Logon com sucesso,149129
170.78.76.198,2019-01-03 10:18:54,2019-01-03 10:18:54,1,20909331,easyequipa,Logon com sucesso,149710
170.78.76.198,2018-12-11 10:00:38,2018-12-11 10:00:38,1,20909331,easyequipa,Logon com sucesso,148980
170.78.76.198,2019-01-03 10:18:54,2019-01-03 10:18:54,1,20909331,easyequipa,Logon com sucesso,149710
170.78.76.198,2018-12-20 14:22:44,2018-12-20 14:22:44,1,20909331,easyequipa,Logon com sucesso,149438
170.78.76.198,2019-01-11 09:47:04,2019-01-11 09:47:04,1,20909331,easyequipa,Logon com sucesso,150006
170.78.76.198,2019-01-11 12:28:59,2019-01-11 12:28:59,1,20909331,easyequipa,Logon com sucesso,150041
170.78.76.198,2018-12-13 11:44:21,2018-12-13 11:44:21,1,20909331,easyequipa,Logon com sucesso,149129
170.78.76.198,2019-01-14 08:33:07,2019-01-14 08:33:07,1,20909331,easyequipa,Logon com sucesso,150078
170.78.76.198,2018-12-13 11:44:21,2018-12-13 11:44:21,1,20909331,easyequipa,Logon com sucesso,149129
170.78.76.198,2019-01-16 15:02:34,2019-01-16 15:02:34,1,20909331,easyequipa,Logon com sucesso,150226
170.78.76.198,2019-01-16 14:39:53,2019-01-16 14:39:53,1,20909331,easyequipa,Logon com sucesso,150222
170.78.76.198,2019-01-16 08:40:17,2019-01-16 08:40:17,1,20909331,easyequipa,Logon com sucesso,150196
170.78.76.198,2019-01-03 10:18:54,2019-01-03 10:18:54,1,20909331,easyequipa,Logon com sucesso,149710
170.78.76.198,2019-01-14 08:33:07,2019-01-14 08:33:07,1,20909331,easyequipa,Logon com sucesso,150078
170.78.76.198,2019-01-16 15:02:34,2019-01-16 15:02:34,1,20909331,easyequipa,Logon com sucesso,150226
170.78.76.198,2019-01-29 09:31:14,2019-01-29 09:31:14,1,20909331,easyequipa,Logon com sucesso,150660
170.78.76.198,2019-01-14 08:33:07,2019-01-14 08:33:07,1,20909331,easyequipa,Logon com sucesso,150078
170.78.76.198,2019-01-17 08:36:17,2019-01-17 08:36:17,1,20909331,easyequipa,Logon com sucesso,150253
170.78.76.198,2019-01-30 11:08:12,2019-01-30 11:08:12,1,20909331,easyequipa,Logon com sucesso,150731
170.78.76.198,2019-01-24 11:01:41,2019-01-24 11:01:41,1,20909331,easyequipa,Logon com sucesso,150532
170.78.76.198,2019-01-02 08:26:38,2019-01-02 08:26:38,1,20909331,easyequipa,Logon com sucesso,149661
170.78.76.198,2019-01-17 09:23:30,2019-01-17 09:23:30,1,20909331,easyequipa,Logon com sucesso,150257
170.78.76.198,2019-01-31 16:49:47,2019-01-31 16:49:47,1,20909331,easyequipa,Logon com sucesso,150809
170.78.76.198,2019-01-28 10:00:37,2019-01-28 10:00:37,1,20909331,easyequipa,Logon com sucesso,150625
170.78.76.198,2018-12-17 09:05:02,2018-12-17 09:05:02,1,20909331,easyequipa,Logon com sucesso,149221
170.78.76.198,2018-12-19 11:50:35,2018-12-19 11:50:35,1,20909331,easyequipa,Logon com sucesso,149380
170.78.76.198,2019-01-11 08:47:34,2019-01-11 08:47:34,1,20909331,easyequipa,Logon com sucesso,149999
170.78.76.198,2019-01-14 08:33:07,2019-01-14 08:33:07,1,20909331,easyequipa,Logon com sucesso,150078
170.78.76.198,2019-01-03 10:18:54,2019-01-03 10:18:54,1,20909331,easyequipa,Logon com sucesso,149710
170.78.76.198,2019-01-03 10:18:54,2019-01-03 10:18:54,1,20909331,easyequipa,Logon com sucesso,149710
170.78.76.198,2019-01-11 13:05:16,2019-01-11 13:05:16,1,20909331,easyequipa,Logon com sucesso,150042
170.78.76.198,2018-12-18 15:38:59,2018-12-18 15:38:59,1,20909331,easyequipa,Logon com sucesso,149339
170.78.76.198,2019-01-30 13:42:05,2019-01-30 13:42:05,1,20909331,easyequipa,Logon com sucesso,150751
170.78.76.198,2019-01-29 15:56:41,2019-01-29 15:56:41,1,20909331,easyequipa,Logon com sucesso,150704
170.78.76.198,2018-12-17 09:05:02,2018-12-17 09:05:02,1,20909331,easyequipa,Logon com sucesso,149221
170.78.76.198,2019-01-16 16:47:56,2019-01-16 16:47:56,1,20909331,easyequipa,Logon com sucesso,150234
170.78.76.198,2019-02-04 13:49:15,2019-02-04 13:49:15,1,20909331,easyequipa,Logon com sucesso,150892
170.78.76.198,2018-12-11 10:00:38,2018-12-11 10:00:38,1,20909331,easyequipa,Logon com sucesso,148980
170.78.76.198,2019-02-11 10:59:34,2019-02-11 10:59:34,1,20909331,easyequipa,Logon com sucesso,151142
170.78.76.198,2019-01-02 09:09:46,2019-01-02 09:09:46,1,20909331,easyequipa,Logon com sucesso,149666
170.78.76.198,2019-01-29 15:56:41,2019-01-29 15:56:41,1,20909331,easyequipa,Logon com sucesso,150704
170.78.76.198,2018-12-14 14:31:12,2018-12-14 14:31:12,1,20909331,easyequipa,Logon com sucesso,149193
170.78.76.198,2019-01-30 11:08:12,2019-01-30 11:08:12,1,20909331,easyequipa,Logon com sucesso,150731
170.78.76.198,2019-01-16 16:47:56,2019-01-16 16:47:56,1,20909331,easyequipa,Logon com sucesso,150234
170.78.76.198,2019-01-11 14:49:26,2019-01-11 14:49:26,1,20909331,easyequipa,Logon com sucesso,150047
170.78.76.198,2019-01-11 14:49:26,2019-01-11 14:49:26,1,20909331,easyequipa,Logon com sucesso,150047
170.78.76.198,2019-01-24 11:01:41,2019-01-24 11:01:41,1,20909331,easyequipa,Logon com sucesso,150532
170.78.76.198,2018-12-21 11:44:15,2018-12-21 11:44:15,1,20909331,easyequipa,Logon com sucesso,149487
170.78.76.198,2019-01-10 12:57:10,2019-01-10 12:57:10,1,20909331,easyequipa,Logon com sucesso,149987
170.78.78.76,2019-02-20 14:45:31,2019-02-20 14:45:31,1,20909331,azevedo,Logon com sucesso,151608
170.78.78.76,2019-02-20 14:45:31,2019-02-20 14:45:31,1,20909331,azevedo,Logon com sucesso,151608
170.78.78.76,2019-02-20 14:45:31,2019-02-20 14:45:31,1,20909331,azevedo,Logon com sucesso,151608
170.78.78.76,2019-01-17 09:48:51,2019-01-17 09:48:51,1,20909331,azevedo,Logon com sucesso,150259
170.78.78.76,2019-01-17 09:48:51,2019-01-17 09:48:51,1,20909331,azevedo,Logon com sucesso,150259
170.78.78.76,2019-02-27 16:04:25,2019-02-27 16:04:25,1,20909331,azevedo,Logon com sucesso,151946
170.78.78.76,2019-01-17 09:48:51,2019-01-17 09:48:51,1,20909331,azevedo,Logon com sucesso,150259
170.78.78.76,2019-02-27 16:04:25,2019-02-27 16:04:25,1,20909331,azevedo,Logon com sucesso,151946
177.10.156.226,2019-01-22 09:44:15,2019-01-22 09:44:15,1,20909331,freebsd,Logon com sucesso,150407
177.10.156.226,2019-01-22 09:44:15,2019-01-22 09:44:15,1,20909331,freebsd,Logon com sucesso,150407
177.10.156.226,2018-12-18 15:06:18,2018-12-18 15:06:18,1,20909331,freebsd,Logon com sucesso,149336
177.10.156.226,2018-12-14 15:07:22,2018-12-14 15:07:22,1,20909331,freebsd,Logon com sucesso,149195
177.10.156.226,2018-12-14 15:07:22,2018-12-14 15:07:22,1,20909331,freebsd,Logon com sucesso,149195
177.10.156.226,2018-12-18 15:06:18,2018-12-18 15:06:18,1,20909331,freebsd,Logon com sucesso,149336
177.134.103.2,2019-03-07 10:05:19,2019-03-07 10:05:19,1,20909331,trippaventura,Logon com sucesso,152092
177.134.103.2,2019-03-07 18:21:47,2019-03-07 18:21:47,1,20909331,trippaventura,Logon com sucesso,152126
177.134.103.2,2019-03-08 10:17:43,2019-03-08 10:17:43,1,20909331,trippaventura,Logon com sucesso,152143
177.134.103.2,2019-03-07 12:53:36,2019-03-07 12:53:36,1,20909331,trippaventura,Logon com sucesso,152115
177.134.113.215,2019-02-18 11:28:49,2019-02-18 11:28:49,1,20909331,Vtecsolucoes,Logon com sucesso,151446
177.134.115.39,2018-12-07 10:13:09,2018-12-07 10:13:09,1,20909331,trippaventura,Logon com sucesso,148855
177.134.120.28,2019-02-21 16:14:10,2019-02-21 16:14:10,1,20909331,trippaventura,Logon com sucesso,151707
177.134.120.28,2019-02-21 15:36:40,2019-02-21 15:36:40,1,20909331,trippaventura,Logon com sucesso,151705
177.157.160.73,2019-02-04 10:53:36,2019-02-04 10:53:36,2,20909331,RAISSA,Executou DELETE FROM SECOES WHERE COD_STO=20909331,150869
177.157.160.73,2019-02-04 10:53:36,2019-02-04 10:53:36,2,20909331,RAISSA,Executou DELETE FROM SECOES WHERE COD_STO=20909331,150869
177.157.160.73,2019-02-04 10:53:45,2019-02-04 10:53:45,2,20909331,RAISSA,Apagou registros delete from dados where data between 2019-02-01 00:00:00 and 2019-02-04 23:59:59 an,150871
