cep_id,localidade,uf,cep,tipo,nome,ch_bai,bairro,ch_loc,prefixo,cxa_pos,endereco,descricao,logradouro,complemento
405,SAO PAULO,SP,1014970,RUA,AGF BOA VISTA,25279,CENTRO,9668,<blank>,1,RUA  BOA VISTA,Unidades dos Correios,BOA VISTA,88 LOJA 2 TERREO
441,SAO PAULO,SP,1017970,AVENIDA,AC SECRETARIA DA FAZENDA,29400,SE,9668,<blank>,1,AVENIDA  RANGEL PESTANA,Unidades dos Correios,RANGEL PESTANA,300 TERREO .
479,SAO PAULO,SP,1022970,RUA,AGF BASILIO JAFET,25279,CENTRO,9668,CAVALHEIRO,1,RUA CAVALHEIRO BASILIO JAFET,Unidades dos Correios,BASILIO JAFET,191
531,SAO PAULO,SP,1029970,RUA,AC FLORENCIO DE ABREU,25279,CENTRO,9668,<blank>,1,RUA  FLORENCIO DE ABREU,Unidades dos Correios,FLORENCIO DE ABREU,591 TERREO .
552,SAO PAULO,SP,1031970,PRACA,AC CENTRAL DE SAO PAULO,25279,CENTRO,9668,DO,1,PRACA DO CORREIO,Unidades dos Correios,CORREIO,S/N
562,SAO PAULO,SP,1032970,PRACA,CDD SE,25279,CENTRO,9668,<blank>,1,PRACA  PEDRO LESSA,Unidades dos Correios,PEDRO LESSA,S/N
602,SAO PAULO,SP,1036970,AVENIDA,REOP SP-01 CENTRO,25279,CENTRO,9668,SAO,1,AVENIDA SAO JOAO,Unidades dos Correios,JOAO,250
866,SAO PAULO,SP,1109970,RUA,AGF PONTE PEQUENA,26449,PONTE PEQUENA,9668,<blank>,1,RUA  PEDRO VICENTE,Unidades dos Correios,PEDRO VICENTE,165
906,SAO PAULO,SP,1125970,RUA,AGF GRACA,25247,BOM RETIRO,9668,DA,1,RUA DA GRACA,Unidades dos Correios,GRACA,866
941,SAO PAULO,SP,1130970,RUA,AGF BARRA DO TIBAJI,25247,BOM RETIRO,9668,<blank>,1,RUA  ANHAIA,Unidades dos Correios,ANHAIA,686
1042,SAO PAULO,SP,1140970,RUA,CEE LAPA,26541,VARZEA DA BARRA FUNDA,9668,TENENTE,1,RUA TENENTE ALBERTO SPICCIATI,Unidades dos Correios,ALBERTO SPICCIATI,144
1126,SAO PAULO,SP,1156970,LARGO,AGF BARRA FUNDA,26439,PERDIZES,9668,PADRE,1,LARGO PADRE PERICLES,Unidades dos Correios,PERICLES,11 LOJAS 2
1152,SAO PAULO,SP,1202970,ALAMEDA,CDD SANTA CECILIA,25263,CAMPOS ELISEOS,9668,BARAO DE,1,ALAMEDA BARAO DE LIMEIRA,Unidades dos Correios,LIMEIRA,871
1168,SAO PAULO,SP,1204970,RUA,AGF EFIGENIA,26485,SANTA EFIGENIA,9668,<blank>,1,RUA  GUAIANASES,Unidades dos Correios,GUAIANASES,495
1169,SAO PAULO,SP,1204971,RUA,CEE CENTRO,25263,CAMPOS ELISEOS,9668,<blank>,1,RUA  GUAIANASES,Unidades dos Correios,GUAIANASES,861
1186,SAO PAULO,SP,1206972,PRACA,CDD ALAMEDA NOTHMANN,25263,CAMPOS ELISEOS,9668,PRINCESA,1,PRACA PRINCESA ISABEL,Unidades dos Correios,ISABEL,84
1237,SAO PAULO,SP,1215970,ALAMEDA,AGF CAMPOS ELISEOS,26484,SANTA CECILIA,9668,<blank>,1,ALAMEDA  GLETE,Unidades dos Correios,GLETE,1045
1242,SAO PAULO,SP,1216970,ALAMEDA,AC BOM RETIRO,25263,CAMPOS ELISEOS,9668,<blank>,1,ALAMEDA  NOTHMANN,Unidades dos Correios,NOTHMANN,73
1243,SAO PAULO,SP,1216971,ALAMEDA,AC NOTHMANN,25263,CAMPOS ELISEOS,9668,<blank>,1,ALAMEDA  NOTHMANN,Unidades dos Correios,NOTHMANN,45
1279,SAO PAULO,SP,1220970,RUA,AGF REPUBLICA,26624,VILA BUARQUE,9668,<blank>,1,RUA  ARAUJO,Unidades dos Correios,ARAUJO,216
1443,SAO PAULO,SP,1234970,AVENIDA,AGF PACAEMBU,26286,PACAEMBU,9668,<blank>,1,AVENIDA  PACAEMBU,Unidades dos Correios,PACAEMBU,1440
1492,SAO PAULO,SP,1239970,RUA,CDD ESTADIO,25455,HIGIENOPOLIS,9668,CORONEL,1,RUA CORONEL JOSE EUSEBIO,Unidades dos Correios,JOSE EUSEBIO,65/67
1805,SAO PAULO,SP,1304971,RUA,CDD JARDIM AMERICA,25422,CONSOLACAO,9668,<blank>,1,RUA  AUGUSTA,Unidades dos Correios,AUGUSTA,1260
1813,SAO PAULO,SP,1305970,RUA,CDD PAULISTA,25280,CERQUEIRA CESAR,9668,<blank>,1,RUA  AUGUSTA,Unidades dos Correios,AUGUSTA,1141
1845,SAO PAULO,SP,1307970,RUA,AC SHOPPING FREI CANECA,25422,CONSOLACAO,9668,FREI,1,RUA FREI CANECA,Unidades dos Correios,CANECA,569 LOJAS S06 E S/07 PISO TERREO
1871,SAO PAULO,SP,1309970,RUA,AC AUGUSTA,25422,CONSOLACAO,9668,<blank>,1,RUA  MATIAS AIRES,Unidades dos Correios,MATIAS AIRES,404
1985,SAO PAULO,SP,1314971,RUA,AGF NOVE DE JULHO,25243,BELA VISTA,9668,SANTO,1,RUA SANTO ANTONIO,Unidades dos Correios,ANTONIO,300
2150,SAO PAULO,SP,1327970,RUA,CDD VERGUEIRO,25243,BELA VISTA,9668,<blank>,1,RUA  TREZE DE MAIO,Unidades dos Correios,TREZE DE MAIO,900

