id_categ,capacidade,peso,index,preco,model,ativo,stock,voltage,dim_gab,dim_cuba,potencia,descricao,image_prod,acabamento,aquecimento,image_thumb
0,21,22000,,"8.519,95",LS-21-WJ-1/X,1,5,110,540x330x340,504x300x150,300,"Lavadora por ultra-som para canulados, 21 litros , 110 Volts, com aquecimento, gabinete em aรงo inox. Incluso cesto em inox, tampa acrĂ­lica e dreno.",<blank>,Inox,Sim,LS21WJX_th.jpg
0,21,22000,,"8.519,95",LS-21-WJ-2/X,1,5,220,540x330x340,504x300x150,300,"Lavadora por ultra-som para canulados, 21 litros , 220 Volts, com aquecimento, gabinete em aรงo inox. Incluso cesto em inox, tampa acrĂ­lica e dreno.",<blank>,Inox,Sim,LS21WJX_th.jpg
1,0.8,4000,,"443,90","LS-0,8D-1",1,5,110,171x180x215,132x145x65,35,"Lavadora por ultra som, 0,8 litros , 110 Volts, sem aquecimento. Leve grรกtis cesto e tampa em inox.",0813detail.jpg,Pintado,Nao,0813acodetail.jpg
1,1.3,0,,0,"LS-1,3D-3/X",0,0,Bivolt,171x180x215,132x145x100,35,<blank>,<blank>,Inox,Nao,<blank>
1,1.3,0,,0,"LS-1,3D-2/X",0,0,220,171x180x215,132x145x100,35,<blank>,<blank>,Inox,Nao,<blank>
1,1.3,0,,0,"LS-1,3D-1/X",0,0,110,171x180x215,132x145x100,35,<blank>,<blank>,Inox,Nao,<blank>
1,0.8,0,,0,"LS-0,8D-3/X",0,0,Bivolt,171x180x215,132x145x65,35,<blank>,<blank>,Inox,Nao,<blank>
1,1.3,0,,0,"LS-1,3D-3",0,0,Bivolt,171x180x215,132x145x100,35,<blank>,<blank>,Pintado,Nao,<blank>
1,1.3,4000,,"530,42","LS-1,3D-2",1,5,220,171x180x215,132x145x100,35,"Lavadora por ultra som, 1,3 litros , 220 Volts, sem aquecimento. Leve grรกtis cesto e tampa em inox.",<blank>,Pintado,Nao,0813acodetail.jpg
1,0.8,4000,,"472,68","LS-0,8D-2",1,5,220,171x180x215,132x145x65,35,"Lavadora por ultra som, 0,8 litros , 220 Volts, sem aquecimento. Leve grรกtis cesto e tampa em inox.",0813acodetail.jpg,Pintado,Nao,0813acodetail.jpg
1,0.8,0,,0,"LS-0,8D-3",0,0,Bivolt,171x180x215,132x145x65,35,<blank>,<blank>,Pintado,Nao,<blank>
1,0.8,0,,0,"LS-0,8D-1/X",0,0,110,171x180x215,132x145x65,35,<blank>,<blank>,Inox,Nao,<blank>
1,0.8,0,,0,"LS-0,8D-2/X",0,0,220,171x180x215,132x145x65,35,<blank>,<blank>,Inox,Nao,<blank>
1,1.3,4000,,"492,95","LS-1,3D-1",1,5,110,171x180x215,132x145x100,35,"Lavadora por ultra som, 1,3 litros , 110 Volts, sem aquecimento. Leve grรกtis cesto e tampa em inox.",<blank>,Pintado,Nao,0813acodetail.jpg
2,2.9,0,,0,LS-3D-3,0,0,Bivolt,171x290x220,140x240x100,70,<blank>,<blank>,Pintado,Nao,<blank>
2,2.9,5000,,"791,05",LS-3D-1/X,1,5,110,171x290x220,140x240x100,70,"Lavadora por ultra som, 2,9 litros , 110 Volts, sem aquecimento, gabinete em aรงo inox. Incluso cesto e tampa em inox.",<blank>,Inox,Nao,1830detail.jpg
2,2.9,5000,,"791,05",LS-3D-2/X,1,5,220,171x290x220,140x240x100,70,"Lavadora por ultra som, 2,9 litros , 220 Volts, sem aquecimento, gabinete em aรงo inox. Incluso cesto e tampa em inox.",<blank>,Inox,Nao,1830detail.jpg
2,2.9,0,,0,LS-3D-3/X,0,0,Bivolt,171x290x220,140x240x100,70,<blank>,<blank>,Inox,Nao,<blank>
