IdxAtu,NomArq,IpxAtu,CpuNom,CodSto,DtaAtu
1,cpn_file.zip,201.42.59.125,WVS013,72901438,2017-04-03 16:56:33
2,hlp_file.zip,201.42.59.125,WVS013,72901438,2017-04-03 16:56:34
3,tar_file.zip,201.42.59.125,WVS013,72901438,2017-04-03 16:56:34
4,dne_file.zip,177.45.172.56,MOISES-PC,00424512,2017-04-05 08:14:27
5,dne_file.zip,189.15.197.167,SERVER,20910053,2017-04-05 08:15:13
6,dne_file.zip,177.40.174.229,PEDROAUGUSTO-PC,50906003,2017-04-05 08:24:35
7,dne_file.zip,177.40.174.229,PEDROAUGUSTO-PC,50906003,2017-04-05 08:26:11
8,dne_file.zip,177.141.55.18,USUARIO-PC,72900806,2017-04-05 08:40:00
9,dne_file.zip,177.8.171.178,COMERCIAL04,72900342,2017-04-05 08:44:37
10,dne_file.zip,189.35.113.94,SERVIDOR,74901681,2017-04-05 08:48:58
11,hlp_file.zip,189.35.113.94,SERVIDOR,74901681,2017-04-05 08:49:01
12,tar_file.zip,189.35.113.94,SERVIDOR,74901681,2017-04-05 08:49:01
13,dne_file.zip,177.177.144.36,SERVIDOR,20900058,2017-04-05 09:17:46
14,dne_file.zip,189.26.218.105,SERVIDOR,20909446,2017-04-05 09:19:19
15,dne_file.zip,189.26.218.105,SERVIDOR,20909446,2017-04-05 09:19:26
16,dne_file.zip,177.177.144.36,SERVIDOR,20900058,2017-04-05 09:19:38
17,dne_file.zip,201.46.248.178,SERVIDOR,72902311,2017-04-05 09:51:31
18,hlp_file.zip,201.46.248.178,SERVIDOR,72902311,2017-04-05 09:51:34
19,tar_file.zip,201.46.248.178,SERVIDOR,72902311,2017-04-05 09:51:35
20,dne_file.zip,201.80.228.108,SERVER,20909519,2017-04-05 10:14:18
21,tar_file.zip,201.80.228.108,SERVER,20909519,2017-04-05 10:14:18
22,dne_file.zip,201.13.213.179,SERVIDOR,72907568,2017-04-05 10:28:12
23,dne_file.zip,186.214.239.160,BMV-01,00424753,2017-04-05 10:41:11
24,dne_file.zip,177.83.75.55,JONATHAN-FUNDO,74902784,2017-04-05 10:51:19
25,dne_file.zip,191.255.227.115,SERVIDOR,00424263,2017-04-05 11:05:58
26,tar_file.zip,191.255.227.115,SERVIDOR,00424263,2017-04-05 11:05:59
27,dne_file.zip,177.141.55.18,USUARIO-PC,72900806,2017-04-05 12:11:24
28,dne_file.zip,201.42.59.125,SPVS007,72902345,2017-04-05 12:13:50
29,hlp_file.zip,201.42.59.125,SPVS007,72902345,2017-04-05 12:13:51
30,tar_file.zip,201.42.59.125,SPVS007,72902345,2017-04-05 12:13:51
31,dne_file.zip,177.141.55.18,USUARIO-PC,72900806,2017-04-05 12:15:24
32,dne_file.zip,201.80.228.108,SERVER,20909519,2017-04-05 12:59:13
33,dne_file.zip,200.170.98.163,SERVIDOR-VM,72901829,2017-04-05 13:45:40
34,dne_file.zip,191.251.181.9,SERVIDOR,72900733,2017-04-05 14:26:12
35,dne_file.zip,187.37.37.204,HERYALDO,72900997,2017-04-05 14:45:46
36,hlp_file.zip,187.37.37.204,HERYALDO,72900997,2017-04-05 14:45:49
37,tar_file.zip,187.37.37.204,HERYALDO,72900997,2017-04-05 14:45:51
38,dne_file.zip,187.37.37.204,HERYALDO,72900997,2017-04-05 14:49:39
39,dne_file.zip,189.62.44.153,ADMINISTRATIVO,72900067,2017-04-05 15:21:25
40,dne_file.zip,189.62.44.153,ADMINISTRATIVO,72900067,2017-04-05 15:54:55
41,cpn_file.zip,201.42.59.125,SPVS014,72906499,2017-04-05 16:36:09
42,dne_file.zip,201.42.59.125,SPVS014,72906499,2017-04-05 16:37:01
43,hlp_file.zip,201.42.59.125,SPVS014,72906499,2017-04-05 16:37:05
44,tar_file.zip,201.42.59.125,SPVS014,72906499,2017-04-05 16:37:08
