NOME,CODIGO,COD_STO,INATIVO,SUBDIVISAO,nr_registro
ARCELORMITTAL BRASIL SA  BACO POLIS,15440,20909756,1,0214,4424488
ARCELORMITTAL BRASIL SA  BACO REST,15440,20909756,0,0211,4424485
ARCELORMITTAL BRASIL SA  BACOAAD91,15440,20909756,1,0005,4424279
ARCELORMITTAL BRASIL SA  BACOAAD92,15440,20909756,1,0169,4424442
ARCELORMITTAL BRASIL SA  BACOAAD94,15440,20909756,1,0013,4424287
ARCELORMITTAL BRASIL SA  BACOBENEF,15440,20909756,1,0213,4424487
ARCELORMITTAL BRASIL SA  BACOC  EX81,15440,20909756,1,0201,4424475
ARCELORMITTAL BRASIL SA  BACOC  UNIPC,15440,20909756,1,0217,4424491
ARCELORMITTAL BRASIL SA  BACOCGC81,15440,20909756,1,0172,4424445
ARCELORMITTAL BRASIL SA  BACOCMI81,15440,20909756,1,0021,4424294
ARCELORMITTAL BRASIL SA  BACOCMI82,15440,20909756,1,0022,4424295
ARCELORMITTAL BRASIL SA  BACOCMI83,15440,20909756,0,0023,4424296
ARCELORMITTAL BRASIL SA  BACOCMI84,15440,20909756,0,0024,4424297
ARCELORMITTAL BRASIL SA  BACOCMI85,15440,20909756,1,0025,4424298
ARCELORMITTAL BRASIL SA  BACOCMI86,15440,20909756,0,0026,4424299
ARCELORMITTAL BRASIL SA  BACOCMKPP,15440,20909756,1,0173,4424446
ARCELORMITTAL BRASIL SA  BACOCNM81,15440,20909756,0,0191,4424464
ARCELORMITTAL BRASIL SA  BACOCPE81,15440,20909756,0,0027,4424300
ARCELORMITTAL BRASIL SA  BACOCUNAP,15440,20909756,1,0189,4424462
ARCELORMITTAL BRASIL SA  BACOCUNCC,15440,20909756,1,0177,4424450
ARCELORMITTAL BRASIL SA  BACOCUNCI,15440,20909756,0,0181,4424454
ARCELORMITTAL BRASIL SA  BACOCUNPC,15440,20909756,1,0182,4424455
ARCELORMITTAL BRASIL SA  BACOCUNPE,15440,20909756,1,0192,4424465
ARCELORMITTAL BRASIL SA  BACOCUNPI,15440,20909756,1,0218,4424492
ARCELORMITTAL BRASIL SA  BACOCVEMK,15440,20909756,0,0017,4424291
ARCELORMITTAL BRASIL SA  BACOCVNPI,15440,20909756,1,0174,4424447
ARCELORMITTAL BRASIL SA  BACOI  AD80,15440,20909756,1,0188,4424461
ARCELORMITTAL BRASIL SA  BACOI  EX81,15440,20909756,0,0196,4424469
ARCELORMITTAL BRASIL SA  BACOI  LG53,15440,20909756,1,0222,4424496
ARCELORMITTAL BRASIL SA  BACOI  OH57,15440,20909756,0,0171,4424444
ARCELORMITTAL BRASIL SA  BACOI  UNPI,15440,20909756,1,0190,4424463
ARCELORMITTAL BRASIL SA  BACOI M 182,15440,20909756,1,0187,4424460
ARCELORMITTAL BRASIL SA  BACOIAD91,15440,20909756,1,0176,4424449
ARCELORMITTAL BRASIL SA  BACOIAD92,15440,20909756,1,0170,4424443
ARCELORMITTAL BRASIL SA  BACOIAP80,15440,20909756,1,0220,4424494
ARCELORMITTAL BRASIL SA  BACOIAT01,15440,20909756,0,0029,4424302
ARCELORMITTAL BRASIL SA  BACOIAT02,15440,20909756,0,0030,4424303
ARCELORMITTAL BRASIL SA  BACOIAT03,15440,20909756,0,0031,4424304
ARCELORMITTAL BRASIL SA  BACOIAT04,15440,20909756,1,0032,4424305
ARCELORMITTAL BRASIL SA  BACOIAT05,15440,20909756,0,0033,4424306
ARCELORMITTAL BRASIL SA  BACOIAT06,15440,20909756,0,0034,4424307
ARCELORMITTAL BRASIL SA  BACOIAT08,15440,20909756,0,0035,4424308
ARCELORMITTAL BRASIL SA  BACOIAT80,15440,20909756,1,0028,4424301
ARCELORMITTAL BRASIL SA  BACOIBASCID80,15440,20909756,0,0207,4424481
ARCELORMITTAL BRASIL SA  BACOIBM51,15440,20909756,1,0215,4424489
ARCELORMITTAL BRASIL SA  BACOIBT01,15440,20909756,0,0044,4424317
ARCELORMITTAL BRASIL SA  BACOIBT02,15440,20909756,0,0045,4424318
ARCELORMITTAL BRASIL SA  BACOIBT03,15440,20909756,0,0046,4424319
ARCELORMITTAL BRASIL SA  BACOIBT04,15440,20909756,0,0047,4424320
ARCELORMITTAL BRASIL SA  BACOIBT06,15440,20909756,0,0048,4424321
ARCELORMITTAL BRASIL SA  BACOIBT07,15440,20909756,0,0049,4424322
ARCELORMITTAL BRASIL SA  BACOIBT08,15440,20909756,1,0050,4424323
ARCELORMITTAL BRASIL SA  BACOIBT09,15440,20909756,0,0051,4424324
ARCELORMITTAL BRASIL SA  BACOIBT51,15440,20909756,0,0204,4424478
ARCELORMITTAL BRASIL SA  BACOIBT80,15440,20909756,1,0043,4424316
ARCELORMITTAL BRASIL SA  BACOICD51,15440,20909756,0,0093,4424366
ARCELORMITTAL BRASIL SA  BACOICD52,15440,20909756,0,0153,4424426
ARCELORMITTAL BRASIL SA  BACOICD53,15440,20909756,0,0154,4424427
ARCELORMITTAL BRASIL SA  BACOICD54,15440,20909756,0,0155,4424428
ARCELORMITTAL BRASIL SA  BACOICD55,15440,20909756,0,0156,4424429
ARCELORMITTAL BRASIL SA  BACOICD56,15440,20909756,0,0157,4424430
ARCELORMITTAL BRASIL SA  BACOICD57,15440,20909756,0,0158,4424431
ARCELORMITTAL BRASIL SA  BACOIDH56,15440,20909756,1,0221,4424495
ARCELORMITTAL BRASIL SA  BACOIDM51,15440,20909756,1,0084,4424357
ARCELORMITTAL BRASIL SA  BACOIDM52,15440,20909756,0,0085,4424358
ARCELORMITTAL BRASIL SA  BACOIDM53,15440,20909756,1,0159,4424432
ARCELORMITTAL BRASIL SA  BACOIDM55,15440,20909756,0,0212,4424486
ARCELORMITTAL BRASIL SA  BACOIDN51,15440,20909756,0,0199,4424473
ARCELORMITTAL BRASIL SA  BACOIDN53,15440,20909756,0,0197,4424471
ARCELORMITTAL BRASIL SA  BACOIDS80,15440,20909756,1,0179,4424452
ARCELORMITTAL BRASIL SA  BACOIDU51,15440,20909756,1,0086,4424359
ARCELORMITTAL BRASIL SA  BACOIDU52,15440,20909756,1,0087,4424360
ARCELORMITTAL BRASIL SA  BACOIDU53,15440,20909756,1,0088,4424361
ARCELORMITTAL BRASIL SA  BACOIDU54,15440,20909756,0,0089,4424362
ARCELORMITTAL BRASIL SA  BACOIDU55,15440,20909756,1,0090,4424363
ARCELORMITTAL BRASIL SA  BACOIDU56,15440,20909756,1,0205,4424479
ARCELORMITTAL BRASIL SA  BACOIEX80,15440,20909756,0,0186,4424459
ARCELORMITTAL BRASIL SA  BACOIFA01,15440,20909756,1,0053,4424326
ARCELORMITTAL BRASIL SA  BACOIFA02,15440,20909756,0,0054,4424327
ARCELORMITTAL BRASIL SA  BACOIFA03,15440,20909756,0,0055,4424328
ARCELORMITTAL BRASIL SA  BACOIFA04,15440,20909756,0,0056,4424329
ARCELORMITTAL BRASIL SA  BACOIFA06,15440,20909756,1,0216,4424490
ARCELORMITTAL BRASIL SA  BACOIFA80,15440,20909756,0,0052,4424325

