id,id_categorias,nome
2,1,Telha Bandeja
3,1,Telha Zipada
4,1,Telha Ondulada BZM 17
5,1,Telha Trapezoidal BZM 25
6,1,Telha Trapezoidal BZM 35
7,1,Telha Trapezoidal BZM 40
8,1,Telha Trapezoidal BZM 100
9,1,Telhas Termoacústicas e Painéis
11,10,Cantoneira de Forro
12,10,Cantoneira de Proteção
13,10,Guia 48-70
14,10,Montante de 48
15,10,Montante de 70
16,10,Perfil J
17,10,Perfil para Forro 17x17
18,10,Perfil para Forro F530
19,10,Perfil Z
20,10,Tabica 40x48 Lisa
22,12,Guia Estrutural 90/140/200
23,12,Montante de 90
24,12,Montante de 140
25,12,Montante de 200
26,1,Ripa Metálica
30,10,Gesso Acartonado
32,1,Estrutura

