id,ipa,log,val,lon,lat
3,187.35.217.113,2017-07-07 13:52:58,1,-46.64218833,-23.54012333
4,187.35.217.113,2017-07-07 13:56:27,1,-46.64204833,-23.54019333
5,187.35.217.113,2017-07-07 13:59:28,1,-46.64204833,-23.54019333
6,187.35.217.113,2017-07-07 14:37:06,1,-46.64204833,-23.54019333
7,187.35.217.113,2017-07-07 14:37:24,1,-46.64215167,-23.54014333
8,187.35.217.113,2017-07-07 14:38:52,1,-46.64215167,-23.54014333
9,187.35.217.113,2017-07-07 14:41:51,1,-46.64215167,-23.54014333
10,187.35.217.113,2017-07-07 14:41:58,1,-46.64215167,-23.54014333
11,187.35.217.113,2017-07-07 14:45:53,1,-46.64213167,-23.54024500
12,177.79.11.61,2017-07-07 14:52:00,1,-46.64214650,-23.54016983
13,177.79.15.238,2017-07-07 14:52:16,1,-46.64225850,-23.54015733
14,177.79.11.61,2017-07-07 14:52:35,1,-46.64214650,-23.54016983
16,187.35.217.113,2017-07-07 14:53:03,1,-46.64213167,-23.54024500
17,187.35.217.113,2017-07-07 14:53:09,1,-46.64213167,-23.54024500
18,177.79.15.238,2017-07-07 14:53:16,1,-46.64227367,-23.54016500
19,177.79.15.238,2017-07-07 14:53:51,1,-46.64214650,-23.54016983
20,177.79.15.238,2017-07-07 14:56:57,1,-46.64167683,-23.54048367
21,177.79.15.238,2017-07-07 14:57:11,1,-46.64214650,-23.54016983
22,177.79.11.61,2017-07-07 14:58:03,1,-46.64183733,-23.54008933
23,177.79.11.61,2017-07-07 14:58:15,1,-46.64214650,-23.54016983
24,177.79.15.238,2017-07-07 14:58:38,1,-46.64147267,-23.54035283
25,177.79.15.238,2017-07-07 14:58:47,1,-46.64214650,-23.54016983
26,177.79.11.61,2017-07-07 14:58:57,1,-46.64200917,-23.54012033
27,177.79.11.61,2017-07-07 14:59:23,1,-46.64214650,-23.54016983
28,177.79.11.61,2017-07-07 15:01:41,1,-46.64238450,-23.54001717
29,177.79.15.238,2017-07-07 15:21:56,1,-46.64214650,-23.54016983
30,177.79.11.61,2017-07-07 15:22:18,1,-46.64220767,-23.54015517
31,177.79.11.61,2017-07-07 15:22:40,1,-46.64214650,-23.54016983
32,177.79.15.238,2017-07-07 15:24:28,1,-46.64222217,-23.54015633
33,177.79.11.61,2017-07-07 15:24:40,1,-46.64214650,-23.54016983
34,177.79.11.61,2017-07-07 15:27:33,1,-46.64241367,-23.54082917
35,177.79.11.61,2017-07-07 15:27:42,1,-46.64214650,-23.54016983
36,177.79.11.61,2017-07-07 15:28:08,1,-46.64212767,-23.54018183
37,177.79.15.238,2017-07-07 15:28:27,1,-46.64214650,-23.54016983
38,177.79.11.61,2017-07-07 15:29:48,1,-46.64197117,-23.53978100
39,177.79.15.238,2017-07-07 15:29:56,1,-46.64214650,-23.54016983
40,177.79.11.61,2017-07-07 15:30:49,1,-46.64201433,-23.54019867
41,177.79.15.238,2017-07-07 15:31:04,1,-46.64214650,-23.54016983
42,177.79.11.16,2017-07-07 15:35:26,1,-46.64219650,-23.54033583
43,177.79.15.238,2017-07-07 15:35:58,1,-46.64214650,-23.54016983
44,177.79.15.238,2017-07-07 15:36:13,1,-46.64186783,-23.54031000
45,177.79.11.16,2017-07-07 15:36:24,1,-46.64214650,-23.54016983
46,177.79.11.16,2017-07-07 15:36:33,1,-46.64195033,-23.54026433
47,177.79.11.16,2017-07-07 15:36:59,1,-46.64214650,-23.54016983
48,177.79.11.16,2017-07-07 15:37:07,1,-46.64224333,-23.54044667
49,177.79.15.238,2017-07-07 15:37:28,1,-46.64214650,-23.54016983
50,177.79.11.16,2017-07-07 15:37:42,1,-46.64220183,-23.54032400

