id,localidade,uf,cep,tipo,nome,ch_bai,bairro,ch_loc,prefixo,endereco,logradouro,complemento
25828036335108096,ACRELANDIA,AC,69945000,NULL,<blank>,NULL,NULL,1,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108115,ASSIS BRASIL,AC,69935000,NULL,<blank>,NULL,NULL,2,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108104,BRASILEIA,AC,69932000,NULL,<blank>,NULL,NULL,3,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108113,BUJARI,AC,69926000,NULL,<blank>,NULL,NULL,4,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108105,CAMPINAS (PLACIDO DE CASTRO),AC,69929000,NULL,<blank>,NULL,NULL,11059,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108098,CAPIXABA,AC,69931000,NULL,<blank>,NULL,NULL,5,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108110,CRUZEIRO DO SUL,AC,69980000,NULL,<blank>,NULL,NULL,6,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108103,EPITACIOLANDIA,AC,69934000,NULL,<blank>,NULL,NULL,7,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108101,FEIJO,AC,69960000,NULL,<blank>,NULL,NULL,8,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108106,JORDAO,AC,69975000,NULL,<blank>,NULL,NULL,9,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108099,MANCIO LIMA,AC,69990000,NULL,<blank>,NULL,NULL,10,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108097,MANOEL URBANO,AC,69950000,NULL,<blank>,NULL,NULL,11,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108102,MARECHAL THAUMATURGO,AC,69983000,NULL,<blank>,NULL,NULL,12,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108109,PLACIDO DE CASTRO,AC,69928000,NULL,<blank>,NULL,NULL,13,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108100,PORTO ACRE,AC,69927000,NULL,<blank>,NULL,NULL,14,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108114,PORTO WALTER,AC,69982000,NULL,<blank>,NULL,NULL,15,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108108,RODRIGUES ALVES,AC,69985000,NULL,<blank>,NULL,NULL,17,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108107,SANTA ROSA DO PURUS,AC,69955000,NULL,<blank>,NULL,NULL,18,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108111,SENA MADUREIRA,AC,69940000,NULL,<blank>,NULL,NULL,19,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108112,SENADOR GUIOMARD,AC,69925000,NULL,<blank>,NULL,NULL,20,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108116,TARAUACA,AC,69970000,NULL,<blank>,NULL,NULL,21,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108117,XAPURI,AC,69930000,NULL,<blank>,NULL,NULL,22,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108134,AGUA BRANCA,AL,57490000,NULL,<blank>,NULL,NULL,23,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108118,ALECRIM (PAO DE ACUCAR),AL,57405000,NULL,<blank>,NULL,NULL,25,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108119,ANADIA,AL,57660000,NULL,<blank>,NULL,NULL,26,NULL,Cidade De CEP Unico,NULL,NULL
