AtaqueId,AtaqueIp,AtaqueVlr,AtaqueDta,BloqueioDta,BloqueioMetodo
1,1.10.186.67,80 or 1=(/**/sE,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
2,1.10.188.112,80 or 1=(/**/sE,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
3,1.10.188.112,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
4,1.10.188.216,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
5,1.2.169.47,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
6,1.20.101.124,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
7,1.20.102.87,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
8,1.20.103.219,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
9,1.20.97.119,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
10,1.20.97.166,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
11,1.20.99.117,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
12,1.20.99.40,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
13,10.1.80.47,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
14,10.1.80.47,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
15,10.1.80.47,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
16,10.1.80.47,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
17,10.1.80.47,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
18,10.10.1.254,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
19,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
20,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
21,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
22,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
23,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
24,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
25,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
26,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
27,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
28,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
29,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
30,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
31,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
32,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
33,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
34,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
35,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
36,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
37,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
38,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
