cep_id,localidade,uf,cep,tipo,nome,ch_bai,bairro,ch_loc,tip_log,prefixo,cxa_pos,endlimpo,endereco,descricao,logradouro,complemento
1,FAZENDINHA,AP,0,<blank>,<blank>,0,<blank>,295,5,<blank>,1,VER>MACAPA,VER > MACAPA,Caixa Postal Comunitária,<blank>,<blank>
2,ABRANTES,BA,0,<blank>,<blank>,0,<blank>,330,5,<blank>,1,VER>CAMACARI,VER > CAMACARI,Caixa Postal Comunitária,<blank>,<blank>
3,AREIAS,BA,0,<blank>,<blank>,0,<blank>,373,5,<blank>,1,VER>CAMACARI,VER > CAMACARI,Caixa Postal Comunitária,<blank>,<blank>
4,AREMBEPE,BA,0,<blank>,<blank>,0,<blank>,374,5,<blank>,1,VER>CAMACARI,VER > CAMACARI,Caixa Postal Comunitária,<blank>,<blank>
5,BARRA DO POJUCA,BA,0,<blank>,<blank>,0,<blank>,399,5,<blank>,1,VER>CAMACARI,VER > CAMACARI,Caixa Postal Comunitária,<blank>,<blank>
6,BURIS DE ABRANTES,BA,0,<blank>,<blank>,0,<blank>,449,5,<blank>,1,VER>CAMACARI,VER > CAMACARI,Caixa Postal Comunitária,<blank>,<blank>
7,CATU DE ABRANTES,BA,0,<blank>,<blank>,0,<blank>,520,5,<blank>,1,VER>CAMACARI,VER > CAMACARI,Caixa Postal Comunitária,<blank>,<blank>
8,ITACIMIRIM,BA,0,<blank>,<blank>,0,<blank>,687,5,<blank>,1,VER>CAMACARI,VER > CAMACARI,Caixa Postal Comunitária,<blank>,<blank>
9,JAUA,BA,0,<blank>,<blank>,0,<blank>,748,5,<blank>,1,VER>CAMACARI,VER > CAMACARI,Caixa Postal Comunitária,<blank>,<blank>
10,FERRADAS,BA,0,<blank>,<blank>,0,<blank>,583,5,<blank>,1,VER>ITABUNA,VER > ITABUNA,Caixa Postal Comunitária,<blank>,<blank>
11,CANTO DO SOL,BA,0,<blank>,<blank>,0,<blank>,494,5,<blank>,1,VER>CAMACARI,VER > CAMACARI,Caixa Postal Comunitária,<blank>,<blank>
12,GUARAJUBA,BA,0,<blank>,<blank>,0,<blank>,608,5,<blank>,1,VER>CAMACARI,VER > CAMACARI,Caixa Postal Comunitária,<blank>,<blank>
13,ILHA DE BOM JESUS DOS PASSOS,BA,0,<blank>,<blank>,0,<blank>,10611,5,<blank>,1,VER>SALVADOR,VER > SALVADOR,Caixa Postal Comunitária,<blank>,<blank>
14,ILHA DE MARE,BA,0,<blank>,<blank>,0,<blank>,658,5,<blank>,1,VER>SALVADOR,VER > SALVADOR,Caixa Postal Comunitária,<blank>,<blank>
15,ILHA DOS FRADES,BA,0,<blank>,<blank>,0,<blank>,10612,5,<blank>,1,VER>SALVADOR,VER > SALVADOR,Caixa Postal Comunitária,<blank>,<blank>
16,MONTE GORDO,BA,0,<blank>,<blank>,0,<blank>,844,5,<blank>,1,VER>CAMACARI,VER > CAMACARI,Caixa Postal Comunitária,<blank>,<blank>
17,POLO PETROQUIMICO DE CAMACARI,BA,0,<blank>,<blank>,0,<blank>,940,5,<blank>,1,VER>CAMACARI,VER > CAMACARI,Caixa Postal Comunitária,<blank>,<blank>
18,ANTONIO BEZERRA,CE,0,<blank>,<blank>,0,<blank>,1150,5,<blank>,1,VER>FORTALEZA,VER > FORTALEZA,Caixa Postal Comunitária,<blank>,<blank>
19,PARAFUSO,BA,0,<blank>,<blank>,0,<blank>,900,5,<blank>,1,VER>CAMACARI,VER > CAMACARI,Caixa Postal Comunitária,<blank>,<blank>
