id_fat_oper,oper,descri,cod_sto,num_fat
49489,0301001,Juros,20909756,NULL
49490,0301002,Multas,20909756,NULL
49491,0301003,Dif. Pgto à Menor de Fatura,20909756,NULL
49492,0301004,Débitos DIVERSOS,20909756,NULL
49493,0301005,Tx. Administrativa,20909756,NULL
49494,0301006,Tx. de Coleta,20909756,NULL
49495,0301007,TX. de Manuseio,20909756,NULL
49496,0301008,Tx. de Impressão,20909756,NULL
49497,0301009,Tx. Faturamento Mínimo,20909756,NULL
49498,0301012,Tx. PostalNet,20909756,NULL
49499,0401001,Desconto,20909756,NULL
49500,0401002,Dif. Pgto à Maior de Fatura,20909756,NULL
49501,0401003,Créditos DIVERSOS,20909756,NULL
49502,0401004,Pgto. Parcial de Fatura,20909756,NULL
49503,0401005,Pagamento de Fatura,20909756,NULL
49504,0401006,Cancelamento de Fatura,20909756,NULL

