NOME,CODIGO,COD_STO,INATIVO,SUBDIVISAO,nr_registro
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  AGAPE,00439,20909331,1,0114,52448396
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ALDEBARAN,00439,20909331,1,0119,52448401
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ALEXANDRE FAZZI,00439,20909331,1,0167,52448449
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ALGARVE,00439,20909331,1,0191,52448473
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ALGIDA RIBAS,00439,20909331,1,0055,52448341
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ALGIDIA RIBAS,00439,20909331,1,0039,52448325
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ALGORVE,00439,20909331,1,0179,52448461
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  AMELIA,00439,20909331,1,0112,52448394
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  AMELIA DE LYRA,00439,20909331,1,0186,52448468
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  AMERICO REIS,00439,20909331,1,0192,52448474
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ANA BARBARA,00439,20909331,1,0145,52448427
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ANA PAULA,00439,20909331,1,0097,52448381
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ANAMELIA,00439,20909331,1,0034,52448320
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ANCHIETA,00439,20909331,1,0188,52448470
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ANDRADE GONTIJO,00439,20909331,1,0030,52448316
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ANGELA MARIA,00439,20909331,1,0057,52448343
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ANTONIO J COUTO,00439,20909331,1,0106,52448390
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ANTONIO JOSE DO COUTO,00439,20909331,1,0209,52448491
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ANTONIO TOBIAS,00439,20909331,1,0208,52448490
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ASSOC CLUBE MILITIR II,00439,20909331,1,0134,52448416
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  AYL MARTINS,00439,20909331,1,0176,52448458
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  BARCELONA R CLUBE,00439,20909331,1,0202,52448484
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  BELGRANO,00439,20909331,1,0064,52448348
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  BLOCO A5,00439,20909331,1,0082,52448366
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  BOM SOLAR,00439,20909331,1,0089,52448373
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  BONINAS,00439,20909331,1,0207,52448489
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  BRAS CUBAS,00439,20909331,1,0069,52448353
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  BUNNIER,00439,20909331,1,0195,52448477
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  CALABRIA,00439,20909331,1,0027,52448313
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  CAMARA,00439,20909331,1,0031,52448317
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  CAPELINHA,00439,20909331,1,0117,52448399
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  CELIA VIEIRA,00439,20909331,1,0063,52448347
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  CHIARA D ASSISI,00439,20909331,1,0129,52448411
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  CLUBE DOS MILITARES,00439,20909331,1,0174,52448456
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND ACACIA,00439,20909331,1,0006,52448292
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND AGAPE,00439,20909331,1,0013,52448299
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND ALVINOPOLIS,00439,20909331,1,0011,52448297
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND CHIARA D ASSISI,00439,20909331,1,0014,52448300
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND CLUBE MILITAR,00439,20909331,1,0025,52448311
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND DEMIEN II,00439,20909331,1,0004,52448290
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND DOM MAURICIO,00439,20909331,1,0001,52448287
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND INIMA,00439,20909331,1,0156,52448438
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND INIMA DE PAULA,00439,20909331,1,0019,52448305
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND JOANA D ARC,00439,20909331,1,0005,52448291
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND JOAO PAULO,00439,20909331,1,0022,52448308
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND MAYFAIR,00439,20909331,1,0002,52448288
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND MICHELANGELO,00439,20909331,1,0007,52448293
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND MOGNO,00439,20909331,1,0016,52448302
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND MORADA PALMEIRA,00439,20909331,1,0020,52448306
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND OLYMPICO,00439,20909331,1,0003,52448289
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND PARQUE VERANO,00439,20909331,1,0021,52448307
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND RACHEL PENA,00439,20909331,1,0018,52448304
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND RENOIR,00439,20909331,1,0023,52448309
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND SAINT ANGELE,00439,20909331,1,0012,52448298
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND SAO RAFAEL,00439,20909331,1,0009,52448295
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND SERRA DO CURRAL,00439,20909331,1,0017,52448303
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND TAPAJOS,00439,20909331,1,0015,52448301
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND VERPER FLEX,00439,20909331,1,0008,52448294
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND VIA FLAMINIA,00439,20909331,1,0024,52448310
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  COND ZELIA V MARTIN,00439,20909331,1,0010,52448296
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  CONDTHE LAND MARK,00439,20909331,1,0047,52448333
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  DIAMANTE,00439,20909331,1,0148,52448430
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  DIVINOPOLIS,00439,20909331,1,0087,52448371
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  DOM CABRAL,00439,20909331,1,0040,52448326
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  DOM JOAQUIM,00439,20909331,1,0042,52448328
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  DOM PEDRO,00439,20909331,1,0110,52448283
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  DOM PEDRO II,00439,20909331,1,0102,52448386
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  DON GIOVANNI,00439,20909331,1,0196,52448478
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  DONA BELLA,00439,20909331,1,0065,52448349
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  DONA NAIR,00439,20909331,1,0187,52448469
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  DONA NENEM,00439,20909331,1,0157,52448439
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ECKHARTE BICALHO,00439,20909331,1,0144,52448426
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ED ZEUS,00439,20909331,1,0154,52448436
