IdDestaques,Img,Pdf,Data,Titulo,TituloEn,Keywords,Descricao,KeywordsEn,ImgInicial,DescricaoEn
16,9294d305620f667f011f773471f49b78.pdf,<blank>,2018-04-12 00:00:00,Disponibilizado o Relatório Anual de 2017,NULL,NULL,Confira o RELATÓRIO ANUAL DOS ATOS E DAS CONTAS DA DI,NULL,6f3b6dd851fde6e2039759d33a4c729d.jpg,NULL
17,77f842d78dca6774939503c47d35a544.pdf,<blank>,2018-01-31 00:00:00,Plano de Equacionamento 2016,NULL,NULL,Confira o  Plano de Equacionamento de Deficit III do Plano de Benefícios Definido – Plano BD.,NULL,35b767424062debf20c1b4f41224af7b.jpg,NULL
18,7d2dcdc07d100a38cb6db67ebff53ee7.pdf,<blank>,2017-12-26 00:00:00,Política de Investimentos do PGA - 2018,NULL,NULL,Confira,NULL,7f0f683251b60507eaece57dd26158a7.jpg,NULL
19,7b90c0c7e1cfce077658fbc86cfc58af.pdf,<blank>,2017-12-26 00:00:00,Política de Investimentos do Plano BD - 2018,NULL,NULL,Confira a  Política de Investimento do Plano BD sob g,NULL,c086310be05a6e76d81be100c77993aa.jpg,NULL
20,e16e96ddb00be153efdf9d41057dd3c7.pdf,<blank>,2018-07-04 00:00:00,CABEC,NULL,NULL,"Clique e saiba mais sobre este código, desenvolvido p",NULL,908da234e6eb41451baea0f384e4e789.jpg,NULL
23,e21549a1f8374bbd6f81616ac9b333b3.pdf,<blank>,2018-10-04 00:00:00,Resultado das Eleições CABEC 2018,NULL,NULL,Divulgado,NULL,2b25a60f263cacf2e88c19c0ebe27634.jpg,NULL
25,22fd5d802d0a5261fcd44661f661768a.pdf,<blank>,2018-12-04 00:00:00,Informativo Cabec Online,NULL,NULL,Saiu,NULL,c78491b1e45dd1971685b5cd22428b4b.png,NULL
28,NULL,<blank>,2019-01-09 00:00:00,Politicas de Investimentos e DIs,NULL,NULL,"As politicas e os DIs podem ser consultados no campo \xe2\x80\x9cINFORMAÇÕES”,",NULL,d2cab8aaa203aa9e4d3895a4d66da8df.png,NULL
31,4a318e2f15c9403f9f6e59e9a03d03c5.pdf,<blank>,2019-01-25 00:00:00,Comunicado CABEC,NULL,NULL,A propósito da Nota de Esclarecimento divulgada pela,NULL,58b9ca0e803b33f0bca4fd762853d749.png,NULL
33,0390d22ab094dc63d2ff5d7b42ecb71a.jpg,<blank>,2019-01-17 00:00:00,A,NULL,NULL,A,NULL,a25b50b668a3d0abf467f1bacd454b09.jpg,NULL
34,NULL,<blank>,2019-02-27 00:00:00,WORKSHOP PROMOVIDO PELA CABEC - CAIXA DE PREVIDÊNCIA,NULL,NULL,Veja aqui vídeo com as imagens do Encontro (Workshop),NULL,2129ceac83904ec422fc8ce96951987c.png,NULL
38,NULL,<blank>,2022-02-01 00:00:00,APRESENTAÇÃO WORKSHOP CABEC - 09.02.2019,NULL,NULL,Encontro promovido pela CABEC em 09.02.2019.,NULL,2773a52a2955f45795e7dc354beb10b9.png,NULL
39,NULL,<blank>,2019-02-25 00:00:00,Relatórios,NULL,NULL,Os,NULL,1789a536536876b2d4b0d4f558c05bbc.png,NULL
40,NULL,<blank>,2019-02-27 00:00:00,DIRPF 2018,NULL,NULL,No,NULL,1c06c20f017db1eee8d335e370b7ec04.png,NULL

