localidade,id_localidades,uf,cep,ibge,tipo,cep2,ch_loc,situacao
ABACATE DA PEDREIRA (MACAPA),326,AP,68912350,1600303,P,68912350,278,N
ABADIA (JANDAIRA),372,BA,48320000,2917904,D,48320000,325,N
ABADIA DE GOIAS,2159,GO,75345000,5200050,M,75345000,2049,N
ABADIA DOS DOURADOS,2992,MG,38540000,3100104,M,38540000,2620,N
ABADIANIA,2160,GO,72940000,5200100,M,72940000,2050,N
ABAETE,2993,MG,35620000,3100203,M,35620000,2621,N
ABAETE DOS MENDES (RIO PARANAIBA),2994,MG,38812000,3155504,D,38812000,2622,N
ABAETETUBA,5137,PA,68440000,1500107,M,68440000,4522,N
ABAIARA,741,CE,63240000,2300101,M,63240000,1122,N
ABAIBA (LEOPOLDINA),2837,MG,36704000,3138401,D,36704000,2623,N
ABAIRA,373,BA,46690000,2900108,M,46690000,326,N
ABAPA (CASTRO),6337,PR,84185000,4104907,D,84185000,5730,N
ABARE,374,BA,48680000,2900207,M,48680000,327,N
ABARRACAMENTO (RIO DAS FLORES),7815,RJ,27670000,3304508,D,27670000,6839,N
ABATIA,6338,PR,86460000,4100103,M,86460000,5731,N
ABDON BATISTA,9170,SC,89636000,4200051,M,89636000,8319,N
ABEL FIGUEIREDO,5138,PA,68527000,1500131,M,68527000,4523,N
ABELARDO LUZ,9171,SC,89830000,4200101,M,89830000,8320,N
ABELHAS (VITORIA DA CONQUISTA),375,BA,45112000,2933307,P,45112000,328,N
ABILIO MARTINS (IPU),1407,CE,62252000,2305803,P,62252000,1123,N
ABOBORA (JUAZEIRO),376,BA,48922700,2918407,D,48922700,329,N
ABRANTES,377,BA,VER > CAMACA,2905701,D,VER > CAMACARI,330,I
ABRE CAMPO,2838,MG,35365000,3100302,M,35365000,2624,N
ABREU E LIMA,5331,PE,<blank>,2600054,M,<blank>,5135,C
ABREULANDIA,10693,TO,77693000,1700251,M,77693000,9791,N
ABREUS (ALTO RIO DOCE),2839,MG,36263000,3102100,D,36263000,2625,N
ABUNA (PORTO VELHO),7767,RO,76843000,1100205,D,76843000,7310,N
ACAIACA,2840,MG,35438000,3100401,M,35438000,2626,N
ACAILANDIA,2694,MA,65930000,2100055,M,65930000,2369,N
ACAJUTIBA,378,BA,48360000,2900306,M,48360000,331,N
ACAMPAMENTO DAS MINAS (TELEMACO BORBA),6339,PR,84277500,4127106,P,84277500,5732,N
ACARA,5139,PA,68690000,1500206,M,68690000,4524,N
ACARAPE,1408,CE,62785000,2300150,M,62785000,1124,N
ACARAU,1409,CE,62580000,2300200,M,62580000,1125,N
ACARI,7524,RN,59370000,2400109,M,59370000,7124,N
ACAUA,5866,PI,64748000,2200053,M,64748000,5508,N
ACEGUA,7885,RS,96445000,4300034,M,96445000,7388,N
ACIOLI (JOAO NEIVA),1944,ES,29687000,3203130,D,29687000,1797,N
ACOITA CAVALO (ESPERANCA DO SUL),7886,RS,98636000,4307450,D,98636000,12560,N
ACOPIARA,1410,CE,63560000,2300309,M,63560000,1126,N
ACORIZAL,4511,MT,78480000,5100102,M,78480000,4272,N
ACRELANDIA,1,AC,69945000,1200013,M,69945000,1,N
ACREUNA,2161,GO,75960000,5200134,M,75960000,2051,N
ACU,7525,RN,59650000,2400208,M,59650000,7125,N
ACU DA TORRE (MATA DE SAO JOAO),379,BA,48288000,2921005,D,48288000,332,N
ACUCENA,2841,MG,35147000,3100500,M,35147000,2627,N
ACUDE DOS PINHEIROS (IBICUITINGA),1411,CE,62957000,2305332,D,62957000,12216,N
ACUDINA (SANTA MARIA DA VITORIA),380,BA,47645000,2928109,D,47645000,333,N
ACUDINHO (TAMBORIL),1412,CE,63779001,2313203,D,63779001,13652,N
ACUDINHO DOS COSTAS (MOMBACA),1413,CE,63619000,2308500,D,63619000,12680,N
ACUNGUI (RIO BRANCO DO SUL),6340,PR,83550000,4122206,D,83550000,5733,N
ACUPE (SANTO AMARO),381,BA,44218000,2928604,D,44218000,334,N
ACURUI (ITABIRITO),2842,MG,35451000,3131901,D,35451000,2628,N
ADAMANTINA,9590,SP,17800000,3500105,M,17800000,8853,N
ADAO COLARES (BOTUMIRIM),2843,MG,39597000,3108503,D,39597000,2629,N
ADELANDIA,2276,GO,76155000,5200159,M,76155000,2052,N
ADHEMAR DE BARROS (TERRA RICA),6341,PR,87895000,4127304,D,87895000,5734,N
ADOLFO,9591,SP,15230000,3500204,M,15230000,8854,N
ADRIANOPOLIS,6342,PR,83490000,4100202,M,83490000,5735,N
ADRIANOPOLIS (GRANJA),1414,CE,62435000,2304707,D,62435000,1127,N
ADRO DE SAO GONCALO (ITIUBA),382,BA,48859000,2917003,P,48859000,12410,N
ADUSTINA,383,BA,48435000,2900355,M,48435000,335,N
AFLIGIDOS (SAO GONCALO DOS CAMPOS),384,BA,44338000,2929305,D,44338000,336,N
AFOGADOS DA INGAZEIRA,5332,PE,56800000,2600104,M,56800000,5136,N
AFONSO ARINOS (COMENDADOR LEVY GASPARIAN),7816,RJ,25875000,3300951,D,25875000,6841,N
AFONSO BEZERRA,7526,RN,59510000,2400307,M,59510000,7126,N
AFONSO CLAUDIO,1945,ES,29600000,3200102,M,29600000,1798,N
AFONSO CUNHA,2695,MA,65505000,2100105,M,65505000,2370,N
AFONSO RODRIGUES (SAO LUIZ GONZAGA),7887,RS,97825000,4318903,D,97825000,7389,N
AFRANIO,5333,PE,56360000,2600203,M,56360000,5137,N
AFRANIO PEIXOTO (LENCOIS),385,BA,46965000,2919306,D,46965000,337,N
AFUA,5140,PA,68890000,1500305,M,68890000,4525,N
AGHA (PIUMA),1946,ES,29287000,3204203,D,29287000,1799,N
AGISSE (RANCHARIA),9592,SP,19610000,3542206,D,19610000,8855,N
AGOSTINHO (CASTRO),6343,PR,84194200,4104907,P,84194200,5736,N
AGRESTINA,5334,PE,55495000,2600302,M,55495000,5138,N
AGRICOLANDIA,5867,PI,64440000,2200103,M,64440000,5509,N
AGROLANDIA,9172,SC,88420000,4200200,M,88420000,8321,N
AGRONOMICA,9173,SC,89188000,4200309,M,89188000,8322,N
AGROPOLIS BELA VISTA (SANTAREM),5141,PA,68111000,1506807,P,68111000,4526,N
AGROVILA SAO SEBASTIAO DO CABURI (PARINTINS),208,AM,69159000,1303403,P,69159000,11095,N
AGUA AZUL (LAPA),6344,PR,83770000,4113205,D,83770000,5737,N
AGUA AZUL DO NORTE,5142,PA,68533000,1500347,M,68533000,4527,N
AGUA BOA,2844,MG,39790000,3100609,M,39790000,2630,N
AGUA BOA,4512,MT,78635000,5100201,M,78635000,4273,N
AGUA BOA (PAICANDU),6345,PR,87145000,4117503,D,87145000,5738,N
AGUA BOA (ROCHEDO),4358,MS,79452000,5007505,D,79452000,4102,N
AGUA BRANCA,24,AL,57490000,2700102,M,57490000,23,N
AGUA BRANCA,5074,PB,58748000,2500106,M,58748000,4848,N
AGUA BRANCA,5868,PI,64460000,2200202,M,64460000,5510,N
AGUA BRANCA DE MINAS (COMERCINHO),2845,MG,39629000,3117009,D,39629000,2631,N
AGUA COMPRIDA,2846,MG,38110000,3100708,M,38110000,2632,N
AGUA DA PRATA (BRASNORTE),4513,MT,78358000,5101902,D,78358000,12068,N

