idxItmPro,idxProCol,CodSto,CodUsr,DtaItmPro,StsItmPro,QtdItmPro,ObsItmPro,VdcItmPro,DscItmPro,QarItmPro
1,1,50904175,001560000,2016-08-10 12:26:13,1,2,NULL,NULL,SEDEX,1
2,1,50904175,001560000,2016-08-10 12:26:13,1,3,NULL,NULL,SEDEX A Cobrar,0
3,1,50904175,001560000,2016-08-10 12:26:13,1,2,NULL,NULL,caixa,0
4,2,50904175,001560000,2016-08-10 12:27:27,1,2,NULL,NULL,SEDEX,0
5,2,50904175,001560000,2016-08-10 12:27:27,1,2,NULL,NULL,SEDEX A Cobrar,0
6,3,50904175,001560000,2016-08-10 12:28:40,1,2,NULL,NULL,SEDEX,0
7,3,50904175,001560000,2016-08-10 12:28:40,1,2,NULL,NULL,SEDEX 10,0
8,3,50904175,001560000,2016-08-10 12:28:40,1,22,NULL,NULL,SEDEX 12,0
9,3,50904175,001560000,2016-08-10 12:28:40,1,2,NULL,NULL,Carta Registrada,0
10,4,50904175,001560000,2016-08-10 12:30:30,1,2,NULL,NULL,SEDEX,0
11,4,50904175,001560000,2016-08-10 12:30:30,1,2,NULL,NULL,SEDEX A Cobrar,0
12,4,50904175,001560000,2016-08-10 12:30:30,1,22,NULL,NULL,SEDEX 12,0
13,4,50904175,001560000,2016-08-10 12:30:30,1,2,NULL,NULL,e-SEDEX,0
14,4,50904175,001560000,2016-08-10 12:30:30,1,2,NULL,NULL,PAC Grandes Formatos,0
15,5,50904175,001560000,2016-08-10 12:32:35,1,2,NULL,NULL,SEDEX,0
16,5,50904175,001560000,2016-08-10 12:32:35,1,2,NULL,NULL,SEDEX A Cobrar,0
17,5,50904175,001560000,2016-08-10 12:32:35,1,2,NULL,NULL,SEDEX 10,0
18,5,50904175,001560000,2016-08-10 12:32:35,1,2,NULL,NULL,SEDEX Hoje,0
19,6,50904175,001560000,2016-08-10 12:37:29,1,1,NULL,NULL,SEDEX,0
20,6,50904175,001560000,2016-08-10 12:37:29,1,2,NULL,NULL,SEDEX A Cobrar,0
21,6,50904175,001560000,2016-08-10 12:37:29,1,2,NULL,NULL,SEDEX 10,0
22,6,50904175,001560000,2016-08-10 12:37:29,1,3,NULL,NULL,SEDEX 12,0
23,7,50904175,001560000,2016-08-10 12:38:29,1,2,NULL,NULL,SEDEX,0
24,7,50904175,001560000,2016-08-10 12:38:29,1,2,NULL,NULL,SEDEX A Cobrar,0
25,7,50904175,001560000,2016-08-10 12:38:29,1,2,NULL,NULL,SEDEX 10,0
26,7,50904175,001560000,2016-08-10 12:38:29,1,2,NULL,NULL,SEDEX 12,0
