id_fat_oper,oper,descri,cod_sto,num_fat
145,0301001,Juros,71000000,NULL
146,0301002,Multas,71000000,NULL
147,0301003,Dif. Pgto à Menor de Fatura,71000000,NULL
148,0301004,Débitos DIVERSOS,71000000,NULL
149,0301005,Tx. Administrativa,71000000,NULL
150,0301006,Tx. de Coleta,71000000,NULL
151,0301007,TX. de Manuseio,71000000,NULL
152,0301008,Tx. de Impressão,71000000,NULL
153,0301009,Tx. Faturamento Mínimo,71000000,NULL
154,0301012,Tx. PostalNet,71000000,NULL
155,0401001,Desconto,71000000,NULL
156,0401002,Dif. Pgto à Maior de Fatura,71000000,NULL
157,0401003,Créditos DIVERSOS,71000000,NULL
158,0401004,Pgto. Parcial de Fatura,71000000,NULL
159,0401005,Pagamento de Fatura,71000000,NULL
160,0401006,Cancelamento de Fatura,71000000,NULL

