id_estado,uf,des_uf,regiao,cep_ini,cep_fim,tab_ser,dat_vig,gru_icms
1,AC,ACRE,N,69900000,69999999,40010,2005-11-03,1
2,AL,ALAGOAS,D,57000000,57999999,40010,2005-11-03,1
3,AM,AMAZONAS,N,69000000,69299999,40010,2005-11-03,1
4,AP,AMAPA,N,68900000,68999999,40010,2005-11-03,1
5,BA,BAHIA,D,40000000,48999999,40010,2005-11-03,2
6,CE,CEARA,D,60000000,63999999,40010,2005-11-03,2
7,DF,DISTRITO FEDERAL,O,70000000,72799999,40010,2005-11-03,1
8,ES,ESPIRITO SANTOS,L,29000000,29999999,40010,2005-11-03,1
9,GO,GOIA\x81S,O,72800000,72999999,40010,2005-11-03,4
10,MA,MARANHAO,D,65000000,65999999,40010,2005-11-03,2
11,MG,MINAS GERAIS,L,30000000,39999999,40010,2005-11-03,1
12,MS,MATO GROSSO DO SUL,O,79000000,79999999,40010,2005-11-03,4
13,MT,MATO GROSSO,O,78000000,78899999,40010,2005-11-03,5
14,PA,PARA,N,66000000,68899999,40010,2005-11-03,5
15,PB,PARAI\x8dBA,D,58000000,58999999,40010,2005-11-03,5
16,PE,PERNAMBUCO,D,50000000,56999999,40010,2005-11-03,3
17,PI,PIAUI,D,64000000,64999999,40010,2005-11-03,1
18,PR,PARANA,S,80000000,87999999,40010,2005-11-03,2
19,RJ,RIO DE JANEIRO,L,20000000,28999999,40010,2005-11-03,5
20,RN,RIO GRANDE DO NORTE,D,59000000,59999999,40010,2005-11-03,2
21,RO,RONDONIA,O,78900000,78999999,40010,2005-11-03,1
22,RR,RORAIMA,N,69300000,69399999,40010,2005-11-03,1
23,RS,RIO GRANDE DO SUL,S,90000000,99999999,40010,2005-11-03,1
24,SC,SANTA CATARINA,S,88000000,89999999,40010,2005-11-03,1
25,SE,SERGIPE,L,49000000,49999999,40010,2005-11-03,2
26,SP,SAO PAULO,L,1000000,19999999,40010,2005-11-03,1
27,TO,TOCANTINS,O,77000000,77999999,40010,2005-11-03,1
55,AM,AMAZONAS,N,69400000,69899999,40010,2005-11-03,1
56,DF,DISTRITO FEDERAL,O,73000000,73699999,40010,2005-11-03,1
57,GO,GOIA\x81S,O,73700000,76799999,40010,2005-11-03,4
58,RO,RONDONIA,O,76800000,76999999,40010,2008-04-09,1

