Id,IdCategory,StrObs,StrUrl,StrName,DtUpdated,BitPublic,StrDescription
1,1,NULL,<blank>,Pasta de m├║sicas I,2018-05-24 10:57:58,\x01,"<p>Pasta de mЩsicas cristсs, parte I.</p>"
2,1,NULL,Pasta - parte 2.doc,Pasta de mЩsicas II,2015-08-28 09:34:40,\x01,"<p>Pasta de mЩsicas cristсs, parte II.а</p>"
3,1,NULL,<blank>,Ficha de Inscriусo Picnicсo - CORRIDA DE REVEZAMEN,2015-12-05 06:56:41,\x00,<p>Ficha de Inscriусo Picnicсo - CORRIDA DE REVEZAMENTOа</p>
5,2,NULL,<blank>,Regulamento - Corrida de Revezamento,2015-12-05 07:03:11,\x00,"<p>Em anexo,аRegulamento - Corrida de Revezamento para o Picnicсo 2016.а</p>"
4,3,NULL,<blank>,Ficha Depto Diocesano 2016,2016-09-29 16:06:45,\x00,"<p>Estр em anexo a Ficha para os Departamentos Diocesanos 2016, que devem ser impressas, preenchidas e assinadas devidamente, e devolvidas para o e-mail da PresidЖncia atж dia 18 e novembro.а</p>"
6,1,NULL,webadmin.php,Regulamento - Imagem e Aусo,2016-10-23 17:28:41,\x00,"<p>Em anexo,аRegulamento - Imagem e Aусo, para o Picnicсo 2016.а</p>"
7,3,NULL,<blank>,Manual de Torneio,2016-09-29 16:06:34,\x00,"<p>Em anexo, oаManual de Torneio, para os grupos paroquiais.а</p>"
8,1,NULL,camd.php,Test,2016-09-19 08:24:35,\x00,<p>Test</p>
9,1,NULL,main.php,Test,2016-06-18 23:19:54,\x00,<p>Test</p>
10,1,NULL,<blank>,test1,2018-05-24 10:58:16,\x00,<p>jhgj</p>
11,3,NULL,REGULAMENTO - Corrida de Revezamento.docx,REGULAMENTO - Corrida de Revezamento,2016-09-29 16:07:15,\x01,<p>Regulamento para a modalidade de Corrida de Revezamento.</p>
12,3,NULL,REGULAMENTO - Fж e aусo.docx,REGULAMENTO - Fж e aусo,2016-09-29 15:22:27,\x01,<p>Regulamento para a modalidade de Fж e aусo.</p>
13,3,NULL,REGULAMENTO - Gincana.docx,REGULAMENTO - Gincana,2016-09-29 15:22:53,\x01,<p>Regulamento para a modalidade de Gincana.</p>
14,3,NULL,REGULAMENTO - Penaltis.docx,REGULAMENTO - Penaltis,2016-09-29 15:23:18,\x01,<p>Regulamento para a modalidade de Penaltis.</p>
15,3,NULL,REGULAMENTO - Volei misto.docx,REGULAMENTO - VЗlei misto,2016-09-29 15:25:54,\x01,<p>Regulamento para a modalidade de VЗlei misto.</p>
16,3,NULL,REGULAMENTO - XBOX 360.docx,REGULAMENTO - XBOX 360,2016-09-29 16:01:40,\x01,<p>Regulamento para a modalidade de XBOX 360.</p>
17,1,NULL,readme.php.jpg,readme.php.3jpG,2016-10-23 17:39:44,\x00,<p>asdsa</p>
18,1,NULL,webadmin.php.jpg,aaa,2019-03-08 13:30:11,\x00,<p>raaa</p>

