descricao,nr_registro
<blank>,314
Aguardando retirada,315
Coletado,316
Conferido,317
Destinatário Ausente,318
Destinatário ausente - nova tentativa,319
Disponível em caixa postal,320
Disponivel na Caixa Postal,321
Documentação não fornecida pelo destinatário,322
Empresa sem Expediente,323
Encaminhado,324
Logradouro com numeração irregular - Em Pesquisa,325
Não Buscado Pelo Sistema,326
Não existe o número indicado,327
Não procurado,328
Passagem interna,329
Postado,330
Saída não efetuada,331
Saiu para entrega,332
Sistema em manutenção,333

