descri,codigo,cod_sto,cod_correio,nr_registro
ENCOMENDA NORMAL CONVENCIONAL,00100,20909756,000041017,2941357
ENCOMENDA NORMAL VAREJO,00101,20909756,000004669,2941358
ENCOMENDA NORMAL INDUSTRIAL,00102,20909756,000004812,2941359
ENCOMENDA NORMAL PAG ENTREGA CONTRAT,00103,20909756,000004685,2941360
ENCOMENDA NORMAL GRANDES FORMATOS,00104,20909756,000004693,2941361
ENCOMENDA NORMAL INDUSTRIAL ML LM,00105,20909756,000004332,2941362
ENCOMENDA NORMAL VAREJO ML LM,00106,20909756,000004367,2941363
SEDEX A VISTA,00200,20909756,000004014,2941364
SEDEX CONTRATO ECT  40096,00201,20909756,000040096,2941377
SEDEX SERVICO INTERNO,00202,20909756,000040843,2941372
SEDEX CNPJ EXPRESSO,00203,20909756,000075353,2941378
SEDEX FATURADO AGENCIA,00204,20909756,000004014,2941379
SEDEX ENCOMENDA,00205,20909756,000040096,2941381
SEDEX SEDEX 3D,00206,20909756,000000000,2941382
SEDEX CONTRATO 40436,00207,20909756,000040436,2941383
SEDEX ESEDEX SIGEP,00208,20909756,<blank>,2941385
SEDEX ESEDEX,00209,20909756,000081019,2941386
SEDEX SEDEX 10,00210,20909756,<blank>,2941373
SEDEX SEDEX 10,00211,20909756,<blank>,2941374
SEDEX SEDEX LOGICO,00212,20909756,000040096,2941387
SEDEX PROT POSTAL CONTRAT,00213,20909756,000040150,2941388
SEDEX ENVELOPE,00214,20909756,000040010,2941389
SEDEX 12 ENVELOPE,00215,20909756,000040169,2941394
SEDEX 12 PACOTE,00216,20909756,000040169,2941395
SEDEX CONTRATO 40444,00217,20909756,000040444,2941396
SEDEX A VISTA,00218,20909756,000040010,2941400
SEDEX SEDEX PAG N ENTREGA,00219,20909756,000040819,2941401
SEDEX 10 PACOTE,00220,20909756,000040215,2941390
SEDEX HOJE PACOTE,00221,20909756,000040290,2941391
SEDEX SEDEX PAG N ENTREGA,00222,20909756,000004065,2941365
SEDEX A COBRAR ECT,00223,20909756,000040126,2941369
SEDEX A COBRAR FATURADO,00224,20909756,000040045,2941384
SEDEX 10 PACOTE,00225,20909756,000040886,2941392
SEDEX HOJE PACOTE,00226,20909756,000040878,2941393
SEDEX SEDEX VAREJO,00227,20909756,000004162,2941397
SEDEX SEDEX INDUSTRIAL,00228,20909756,000004316,2941398
SEDEX SEDEX PG NA ENTREGA,00229,20909756,000004189,2941399
SEDEX PROT POSTAL A VISTA,00230,20909756,000040053,2941402
SEDEX VAREJO ML LM,00231,20909756,000004154,2941403
SEDEX INDUSTRIAL ML LM,00232,20909756,000004278,2941404
SEDEX HOJE,00233,20909756,000040290,2941367
SEDEX HOJE ENC,00234,20909756,000040100,2941370
SEDEX CONTRATO 20,00235,20909756,000004553,2941405
SEDEX VIP DOC,00244,20909756,000040037,2941368
SEDEX VIP ENC,00245,20909756,000040118,2941371
SEDEX ESPECIAL VIDEO,00255,20909756,000040304,2941375
SEDEX COMPACT,00266,20909756,000040959,2941376
SEDEX PROT POSTAL A VISTA,00277,20909756,000004073,2941380
SEDEX PRE FRANQUEADO,00299,20909756,000040053,2941366
TELEGRAMA INTERNAC TELEG INTERNACIONAL,00300,20909756,000061018,2941982
TELEGRAMA INTERNAC TELEGRAMA INTERNAC,00301,20909756,000061018,2941983
TELEGRAMA INTERNAC TELEG INTER COMPROV,00302,20909756,000061018,2941984
ACF COMISSAO REGULAR ACF COMISSAO ENEM07,00400,20909756,000002631,2941985
CARTA REGISTRADA JURIDICA,00500,20909756,000010014,2941406
CARTA REGISTRADA COMERCIAL SIMPLES,00501,20909756,000010014,2941409
CARTA REGISTRADA COM AVISTA SFRANQ,00502,20909756,000012483,2941411
CARTA REGISTRADA NAO COM AVISTA SF,00503,20909756,000012505,2941412
CARTA REGISTRADA COM FATURAR CHANCELA,00504,20909756,000010065,2941413
CARTA REGISTRADA COM FATURAR SELOSE,00505,20909756,000012556,2941414
CARTA REGISTRADA COM FAT SIMPLES,00506,20909756,000012556,2941415
CARTA REGISTRADA FISICA,00511,20909756,000010030,2941407
CARTA REGISTRADA FISICA SIMPLES,00512,20909756,000010030,2941410
CARTA REGISTRADA SERVICO INTERNO,00599,20909756,<blank>,2941408
SELOS COMERCIAL,00601,20909756,<blank>,2941416
SELOS FISICA,00602,20909756,<blank>,2941417
IMPRESSO REGISTRADO COMUM,00700,20909756,<blank>,2941418
IMPRESSO REGISTRADO NORMAL A VISTA,00701,20909756,000020419,2941422
IMPRESSO REGISTRADO MODICO,00711,20909756,000020010,2941419
IMPRESSO REGISTRADO ESPECIAL,00715,20909756,<blank>,2941421
IMPRESSO REGISTRADO CATEGORIA 2,00722,20909756,<blank>,2941420
IMPRESSO SIMPLES,00800,20909756,000020010,2941423
IMPRESSO COM DEV GARANTIDA,00801,20909756,<blank>,2941426
IMPRESSO CATEGORIA 1,00811,20909756,<blank>,2941424
IMPRESSO CATEGORIA 2,00822,20909756,<blank>,2941425
CARNE DO BAU PRESTACAO DO BAU,00901,20909756,000005460,2941427
CARNE DO BAU VENDA CARNE DO BAU,00902,20909756,000055484,2941428
CPF CADASTRAMENTO,01002,20909756,000075477,2941429
COUPON REPONSE VENDA A,01100,20909756,000021067,2941430
CUPON REPONSE TROCA A,01200,20909756,000030000,2941431
TELEGRAMA NACIONAL TELEGRAMA,01300,20909756,000060020,2941433
TELEGRAMA NACIONAL PRETAXADO,01301,20909756,000060020,2941434
TELEGRAMA NACIONAL TELEGRAMA,01302,20909756,000060020,2941438
TELEGRAMA NACIONAL CONFIRMACAO,01303,20909756,000055212,2941435
TELEGRAMA NACIONAL COPIA,01304,20909756,000055212,2941436
TELEGRAMA NACIONAL TELEGRAMA,01305,20909756,000060020,2941437
TELEGRAMA NACIONAL URGENTE,01311,20909756,000060011,2941432
RECEB DIVERSOS TAXA MILITAR,01400,20909756,000005495,2941441
RECEB DIVERSOS INCRA TAXA CADCCIR,01401,20909756,000005460,2941447
RECEB DIVERSOS REGULARIZACAO CHEQ,01402,20909756,000000213,2941448
RECEB DIVERSOS DECLARACAO ITR 2008,01403,20909756,000075400,2941442
RECEB DIVERSOS DPVAT,01404,20909756,000005762,2941473
RECEB DIVERSOS CCIR INCRA 030405,01405,20909756,000005460,2941449
RECEB DIVERSOS INSC EXPCEX 2003,01406,20909756,000005347,2941452
RECEB DIVERSOS FETAGRI MS 2006,01407,20909756,000005495,2941461
RECEB DIVERSOS INSC FAMUC AGENTE,01408,20909756,000005100,2941474
RECEB DIVERSOS TEC MED FAMUC,01409,20909756,000005100,2941475
RECEB DIVERSOS MULTA MILITAR,01411,20909756,000005509,2941446
RECEB DIVERSOS INSC PUC 2SEM03,01419,20909756,000005452,2941440
RECEB DIVERSOS INSC UNIBH 2SEM03,01420,20909756,000005452,2941439
RECEB DIVERSOS ITAUNA 2 SEM 2006,01421,20909756,000005347,2941443
RECEB DIVERSOS INSC VEST UEMG 2002,01422,20909756,000005452,2941444
RECEB DIVERSOS CADASTRO ESCOLAR,01423,20909756,000002002,2941445
RECEB DIVERSOS TAXA ENEM2005,01424,20909756,000005495,2941450
RECEB DIVERSOS REC TAXA ENEM 2006,01425,20909756,000005495,2941451
RECEB DIVERSOS INSC UFMG04 PAGAS,01426,20909756,000005452,2941453
RECEB DIVERSOS INSC UFMG04 ISENT,01427,20909756,000005452,2941454
RECEB DIVERSOS INSC PUC MINAS04,01428,20909756,000005347,2941455
RECEB DIVERSOS INSC ITAUNA 2008,01429,20909756,000005347,2941456
RECEB DIVERSOS INSC NOV HORIZONTES,01430,20909756,000005347,2941457
RECEB DIVERSOS INSC FAMINAS,01431,20909756,000005347,2941459
RECEB DIVERSOS KIT ISENTO UFMG 09,01432,20909756,000005347,2941460
RECEB DIVERSOS TAXA ENEM04,01433,20909756,000005495,2941462
RECEB DIVERSOS INSC ENEM2005 EG,01434,20909756,000005347,2941463
RECEB DIVERSOS INSC ENEM2005 ISEN,01435,20909756,000005347,2941464
RECEB DIVERSOS INSC PAGA ENEM 2006,01436,20909756,000005347,2941465
RECEB DIVERSOS INSC ISENTA ENEM 06,01437,20909756,000005347,2941466
RECEB DIVERSOS TAXA ISENTO UFMG 08,01438,20909756,000005347,2941467
RECEB DIVERSOS HOSP CANCER BARRETO,01450,20909756,000005460,2941458
RECEB DIVERSOS ENEM RED PUB ISENTO,01451,20909756,000005347,2941468
RECEB DIVERSOS ENEM REDE PRIV PAGA,01452,20909756,000005347,2941469
RECEB DIVERSOS ENEM R PRIV ISENTO,01453,20909756,000005347,2941470
RECEB DIVERSOS ENEM EGRESSO PAGO,01454,20909756,000005347,2941471
RECEB DIVERSOS ENEM EGRESSO ISENTO,01455,20909756,000005347,2941472
RECEB DIVERSOS ENEM RED PUB ISENTO,01456,20909756,000005347,2941476
RECEB DIVERSOS ENEM REDE PRIV PAGA,01457,20909756,000005347,2941477
RECEB DIVERSOS ENEM R PRIV ISENTO,01458,20909756,000005347,2941478
RECEB DIVERSOS ENEM EGRESSO PAGO,01459,20909756,000005347,2941479
RECEB DIVERSOS ENEM EGRESSO ISENTO,01460,20909756,000005347,2941480
VALE POSTAL EMISSAO,01500,20909756,000049042,2941482
VALE POSTAL AVON,01501,20909756,000005711,2941484
VALE POSTAL NAC ACIMA 20000,01503,20909756,000049050,2941485
VALE POSTAL PAGAMENTO,01511,20909756,000091456,2941483
VALE POSTAL PERMISSAO PGTO,01512,20909756,000091456,2941481
REEMBOLSO POSTAL PAGAMENTO,01700,20909756,000005029,2941486
REEMBOLSO POSTAL DEVOLUCAO,01701,20909756,000091448,2941487
REEMBOLSO POSTAL EMISSAO,01702,20909756,000043036,2941488
PREMIO INSTANTANEO TROC TEL PASCOA 08,01800,20909756,000001473,2942072
PREMIO INSTANTANEO TROCA EM DINHEIRO,01801,20909756,000001406,2942073
SEED LOCAL,01901,20909756,000024023,2941490
SEED COM COMPROVANTE,01902,20909756,000024023,2941491
SEED REGISTRADO NACIONAL,01912,20909756,000024031,2941489
