embId,codCli,embDsc,embMod,embCom,embAlt,embLar,codSto,embPeso
1,154560000,Caixa,1,40,20,30,20909756,500
2,154560000,Caixa,1,50,30,40,20909756,5000
3,154560000,Caixa,1,16,4,11,20909756,1850
4,154560000,Caixa,1,16,4,11,20909756,1850
5,154560000,Caixa,1,16,4,11,20909756,3700
6,154560000,Caixa padrao,1,16,4,11,20909756,0
10,003230000,Caixa padrao,1,30,20,20,20909756,1000
11,003230000,Caixa 44L,1,44,37,46,20909756,13000
12,003230000,Caixa 60L,1,68,38,44,20909756,20000
13,003100000,Caixa padrão,1,16,4,11,20909756,100
14,003230000,Caixa n°1,1,22,25,22,20909756,0
15,003230000,Caixa 26L,1,42,43,26,20909756,0
16,003230000,Caixa N°3,1,36,41,35,20909756,0
17,003230000,Caixa 08L,1,25,21,29,20909756,0
18,003230000,Caixa 21L,1,37,45,25,20909756,0
19,003230000,Caixa 12L,1,32,34,23,20909756,0
20,003230000,Caixa 17L,1,32,38,25,20909756,0
24,003230000,Caixa 50L,1,34,41,58,20909756,0
25,003230000,Caixa 05L,1,18,29,18,20909756,0
26,003230000,Caixa 03L,1,16,19,23,20909756,1000
27,003230000,Caixa 28L,1,30,41,40,20909756,0
28,003230000,Caixa 80L,1,56,71,38,20909756,25000
29,003230000,Caixa 36L,1,39,44,36,20909756,11000
30,154750000,Citerol,1,50,10,40,20909756,830
31,154750001,Citerol,1,50,10,40,20909756,9450
32,003100000,Padrao Esab,1,16,4,11,20909756,100
33,154750003,Citerol,1,50,10,40,20909756,800
34,003230000,Caixa 100L,1,41,79,58,20909756,30000
35,154750004,Citerol,1,50,10,40,20909756,800
36,154750005,Citerol,1,50,10,40,20909756,880
37,154710000,Caixa,1,16,4,11,20909756,100
38,154710000,Padrão,1,16,4,11,20909756,100
39,003230000,Caixa 02L,1,20,13,15,20909756,0

