Idf_Pessoa,Cod,Dta_Fim,Cod_Grupo,Cod_Pessoa
L,1,NULL,7,63
L,2,NULL,7,11
T,4,NULL,7,34
T,5,NULL,7,57
T,6,NULL,7,49
T,7,NULL,7,61
U,300,NULL,2,980
U,304,NULL,17,987
U,260,NULL,7,903
U,308,NULL,2,1000
U,17,NULL,17,937
L,22,NULL,2,4
L,23,NULL,2,14
L,24,NULL,2,24
T,25,NULL,2,47
T,27,NULL,2,48
T,28,NULL,2,56
T,29,NULL,2,9
T,30,NULL,2,46
L,173,NULL,4,771
L,33,NULL,10,12
T,34,NULL,10,43
T,35,NULL,10,44
L,41,NULL,1,16
L,42,NULL,1,25
U,306,NULL,7,1095
U,264,NULL,14,908
U,307,NULL,1,995
T,49,NULL,1,60
T,50,NULL,1,42
T,51,NULL,1,768
U,271,NULL,17,915
U,265,NULL,17,909
U,266,NULL,2,910
L,61,NULL,9,29
L,63,NULL,9,149
T,301,NULL,9,54
T,65,NULL,9,39
U,243,NULL,7,971
U,242,NULL,9,988
U,378,NULL,6,1102
U,70,NULL,9,857
U,355,NULL,17,1066
U,240,NULL,9,1011
L,73,NULL,8,19
T,74,NULL,8,737
T,75,NULL,9,52
U,256,NULL,8,871
T,79,NULL,8,764
T,80,NULL,8,763
L,81,NULL,6,18
U,335,NULL,11,1036
U,291,2014-02-04,15,958
L,236,NULL,19,861
L,98,NULL,8,22
L,99,NULL,12,16
U,262,NULL,11,906
U,305,NULL,15,991
T,106,NULL,12,38
T,107,NULL,12,40
U,338,NULL,8,1038
U,336,NULL,1,1037
L,112,NULL,14,20
L,113,NULL,17,21
L,114,NULL,15,30
P,115,NULL,15,162
L,116,NULL,16,17
L,117,NULL,16,70
U,118,NULL,16,821
U,261,NULL,9,905
T,120,NULL,16,50
L,121,NULL,10,15
U,272,NULL,17,916
P,216,NULL,15,854
L,127,NULL,11,31
L,128,NULL,11,26
T,129,NULL,11,9
U,311,NULL,12,1005
U,351,NULL,17,1057
U,132,NULL,11,725
U,289,NULL,9,953
U,229,NULL,1,824
U,293,2014-02-04,10,960
T,141,NULL,15,734
T,142,NULL,15,736
T,144,NULL,15,38
T,145,NULL,15,40
L,148,NULL,11,23
U,453,NULL,8,1190
U,150,NULL,11,831
U,254,NULL,14,888
U,232,NULL,11,838
U,295,2014-02-04,14,965
U,297,NULL,16,969
U,296,2014-02-04,6,966
U,253,NULL,17,897
T,231,NULL,17,58
T,161,NULL,11,46
U,340,NULL,7,1040
T,166,NULL,17,3
U,208,NULL,2,832
U,310,NULL,17,957
U,226,NULL,6,933
U,287,NULL,10,950
U,290,2016-02-04,9,956
U,177,NULL,10,0
U,294,2014-02-04,7,961
U,179,NULL,15,774
U,398,NULL,17,1080
U,181,NULL,6,858
U,270,NULL,19,914
U,302,NULL,11,942
U,184,NULL,10,860
U,399,NULL,17,1127
U,186,NULL,11,1053
U,188,NULL,17,1055
U,189,NULL,10,865
U,237,NULL,14,864
U,326,NULL,1,1029
U,258,NULL,9,1052
U,193,NULL,4,899
U,194,NULL,11,898
U,195,NULL,6,948
U,368,NULL,14,965
U,274,NULL,9,918
U,284,NULL,12,932
U,199,NULL,10,901
U,298,NULL,1,972
U,201,NULL,6,806
U,263,NULL,9,907
U,286,NULL,19,949
U,204,NULL,14,809
U,283,NULL,9,930
U,206,NULL,9,812
U,337,NULL,8,909
U,209,NULL,17,833
U,210,NULL,15,834
U,211,NULL,2,0
U,212,NULL,4,835
U,285,NULL,15,938
U,318,NULL,8,1020
U,215,NULL,10,931
P,217,NULL,15,855
P,218,NULL,15,856
U,259,NULL,17,902
U,292,2014-01-05,12,959
U,221,NULL,15,840
U,222,NULL,12,904
U,223,NULL,12,853
U,224,NULL,12,839
U,225,NULL,2,842
U,227,NULL,8,928
U,228,NULL,1,927
U,230,NULL,16,813
U,233,NULL,11,841
U,234,NULL,11,934
U,238,NULL,14,776
U,239,NULL,6,893
U,245,NULL,10,984
U,246,NULL,10,883
U,247,NULL,10,884
U,503,NULL,11,1245
U,249,NULL,16,890
U,250,NULL,16,877
U,303,NULL,9,986
U,252,NULL,12,875
U,255,NULL,14,873
U,329,NULL,4,951
U,370,NULL,2,1061
U,277,NULL,15,921
U,278,NULL,19,922
U,279,NULL,11,923
U,280,NULL,11,924
U,281,NULL,17,925
U,282,NULL,11,868
U,312,NULL,7,1096
U,313,NULL,10,1008
U,314,NULL,10,1012
U,315,NULL,14,952
U,316,NULL,16,1016
U,317,NULL,9,1017
U,319,NULL,8,1021
U,320,NULL,15,955
U,321,NULL,15,1022
U,322,NULL,2,1023
U,323,NULL,15,999
U,379,NULL,7,1047
U,325,NULL,10,1028
U,457,NULL,3,1125
T,332,NULL,2,1032
P,334,NULL,17,1015
U,476,NULL,11,1213
U,341,NULL,6,1041
U,342,NULL,16,1042
L,343,NULL,20,967
U,369,NULL,8,1045
L,345,NULL,21,1015
U,419,NULL,1,1154
U,347,NULL,8,1050
U,348,NULL,11,1051
U,349,NULL,16,1046
U,350,NULL,11,1054
U,352,NULL,15,1058
U,353,NULL,17,1062
U,354,NULL,17,1063
U,356,NULL,1,1067
T,401,NULL,9,51
U,359,NULL,11,1071
U,360,NULL,12,1072
U,361,NULL,17,1073
U,400,NULL,17,983
U,363,NULL,11,1082
U,364,NULL,11,1085
U,366,NULL,10,1086
U,367,NULL,17,1087
U,371,NULL,2,1064
U,372,NULL,2,1060
U,373,NULL,11,1089
L,374,NULL,22,967
U,375,NULL,9,1035
L,376,NULL,3,1101
P,377,NULL,23,1101
U,380,NULL,17,1104
U,381,NULL,17,1105
U,382,NULL,12,1106
U,383,NULL,7,1107
U,384,NULL,6,1108
U,385,NULL,14,1109
U,386,NULL,17,1111
U,387,NULL,14,1112
U,388,NULL,2,1113
U,389,NULL,15,1114
U,390,NULL,22,975
U,391,NULL,22,1116
U,392,NULL,22,973
U,445,NULL,8,1117
U,394,NULL,12,1118
P,395,NULL,11,1122
U,396,NULL,17,1123
U,397,NULL,17,985
U,404,NULL,6,1133
U,405,NULL,17,1134
U,406,NULL,11,1135
U,407,NULL,10,1137
U,418,NULL,15,1153
U,409,NULL,22,1139
U,410,NULL,22,1140
U,411,NULL,11,1141
U,448,NULL,9,1142
U,413,NULL,8,1143
U,414,NULL,4,1145
U,415,NULL,7,1147
U,416,NULL,11,1148
U,417,NULL,1,1149
U,420,NULL,17,1155
U,421,NULL,9,1156
U,422,NULL,11,1157
U,450,NULL,21,1165
U,425,NULL,21,1111
U,426,NULL,21,983
U,427,NULL,7,1162
U,428,NULL,12,1163
U,429,NULL,17,1164
U,430,NULL,11,1167
U,431,NULL,9,1168
U,432,NULL,17,1132
U,433,NULL,17,1165
U,434,NULL,17,1171
U,435,NULL,17,1172
U,436,NULL,6,1176
U,437,NULL,6,1177
U,438,NULL,16,1178
U,439,NULL,14,1179
U,440,NULL,7,1181
U,441,NULL,12,1182
U,442,NULL,12,1183
U,443,NULL,1,1184
U,444,NULL,6,1185
P,446,NULL,2,1014
U,447,NULL,2,1119
U,449,NULL,21,1132
U,451,NULL,21,1104
U,452,NULL,21,1105
U,454,NULL,14,1191
U,455,NULL,17,1192
U,456,NULL,21,1192
U,458,NULL,3,1115
U,459,NULL,3,1170
U,460,NULL,3,1110
U,461,NULL,3,1186
U,462,NULL,14,1193
U,463,NULL,11,1194
U,464,NULL,11,1195
U,465,NULL,10,1196
U,466,NULL,9,1197
U,467,NULL,10,1198
U,468,NULL,12,1199
U,513,NULL,17,1256
U,470,NULL,10,1203
U,471,NULL,6,1204
U,472,NULL,8,1205
U,502,NULL,12,1206
U,474,NULL,15,1209
U,475,NULL,17,1124
U,477,NULL,14,1214
U,478,NULL,16,1217
U,498,NULL,11,1218
U,480,NULL,6,1219
U,481,NULL,9,1221
U,482,NULL,11,1222
U,483,NULL,11,1223
U,484,NULL,7,1225
U,485,NULL,22,1227
U,486,NULL,6,1228
U,487,NULL,12,1229
U,488,NULL,17,1230
U,489,NULL,3,1231
U,490,NULL,12,1232
U,491,NULL,17,1233
U,492,NULL,11,1234
U,493,NULL,7,1235
U,494,NULL,11,1236
U,495,NULL,17,1237
U,496,NULL,15,1238
U,497,NULL,14,1239
U,499,NULL,3,1241
U,500,NULL,8,1242
U,501,NULL,15,1243
U,504,NULL,6,1247
U,505,NULL,12,1248
U,506,NULL,9,1249
U,507,NULL,11,1250
U,508,NULL,7,1251
U,510,NULL,16,1254
L,511,NULL,1,1158
U,512,NULL,1,1130
U,514,NULL,9,1257
U,515,NULL,9,1258
U,516,NULL,6,1259
U,517,NULL,3,1260
U,518,NULL,7,1261
U,519,NULL,8,1262
U,520,NULL,8,1263
U,521,NULL,12,1264
U,522,NULL,12,1265
U,523,NULL,6,1269
U,524,NULL,14,1270
U,525,NULL,17,1271
U,526,NULL,12,1272

