IdNoticias,Img,Data,Titulo,TituloEn,Keywords,Descricao,KeywordsEn,ImgInicial,DescricaoEn
11,NULL,2018-04-27 00:00:00,Fortaleza receberá mais 63 mil doses da vacina contra,NULL,NULL,"Fortaleza recebe, na noite de hoje, mais um lote da vacina contra a Influenza e o vírus H1N1, com 63 mil do",NULL,8b643662194dce319de4f53486faf8c2.jpg,NULL
12,NULL,2018-04-27 00:00:00,Atividade econômica no Estado sobe 1% no trimestre,NULL,NULL,Comprovando que a economia cearense continua a dar indícios,NULL,1411be34f03fb40ef0221fb2cdad936a.jpg,NULL
13,NULL,2018-04-27 00:00:00,Benefícios do treinamento resistido para terceira ida,NULL,NULL,O,NULL,e8b3e0524e683b33fe5f45dd40779395.jpg,NULL
15,NULL,2018-05-02 00:00:00,Ceará entra maio com mais chuvas,NULL,NULL,A,NULL,63fc49d49dc58de8066ac3e5d73ae672.jpg,NULL
16,NULL,2018-05-02 00:00:00,Cinco,NULL,NULL,"Idade,",NULL,f97121c44e27e9821bbdae909138910c.jpg,NULL
17,NULL,2018-05-02 00:00:00,Reajuste no Farmácia Popular garante medicamentos gra,NULL,NULL,"Desde segunda-feira (30/04), as unidades credenciadas ao Farmácia Popular recebem valores reajustados para",NULL,e42e2b029e270a3d7d1a2b4936063b74.jpg,NULL
18,NULL,2018-05-04 00:00:00,"Alceu, Elba e Geraldo: reencontro com Fortaleza",NULL,NULL,Mais,NULL,d7f3734b1f255277968c8e0aab30afd9.jpg,NULL
19,NULL,2018-05-04 00:00:00,Vacinação:,NULL,NULL,"A Prefeitura de Fortaleza, por meio da Secretaria Municipal da Saúde (SMS), informa que durante este fim de",NULL,03167df6e6857898bac04f0251b80590.jpeg,NULL
20,NULL,2018-05-04 00:00:00,Fumacê,NULL,NULL,O,NULL,5d6fffcb8ff729869968305e6085563d.jpg,NULL
21,NULL,2018-05-07 00:00:00,Cadastro,NULL,NULL,Os eleitores do Ceará que perderam o prazo para o cad,NULL,013449887e3764afe4ca27f7a1c2e79b.jpg,NULL
22,NULL,2018-05-07 00:00:00,Audiência,NULL,NULL,(Brasília),NULL,b51214ad87dc59f7116a2aafb75d093a.jpg,NULL
24,NULL,2018-05-07 00:00:00,5,NULL,NULL,"Muita gente sabe que, se adotar novos hábitos, pode l",NULL,c8954158fa1dfc31b40e95a37af27802.jpg,NULL
25,NULL,2018-05-08 00:00:00,Avenida,NULL,NULL,A,NULL,4510fc6903f00438d54a0f8a0689e059.jpg,NULL
26,NULL,2018-05-08 00:00:00,Estado anuncia investimento de R$ 561 milhões em rodo,NULL,NULL,A,NULL,870b4a59f6ee379234078d07c972b3b3.jpg,NULL
27,NULL,2018-05-10 00:00:00,550 mil painéis solares devem chegar ao Pecém,NULL,NULL,"Do total da carga, 478 contêineres, contendo as placa",NULL,119c744b28abc31b3553a0ae05f28098.jpg,NULL
28,NULL,2018-05-10 00:00:00,Cura,NULL,NULL,A,NULL,b69c157af774ed27441c0b885cc04c8a.jpg,NULL
29,NULL,2018-05-10 00:00:00,Ganho,NULL,NULL,"Mesmo com apenas 8,7% da capacidade de armazenamento, o",NULL,f32fe8831438e94c96d2a4fa27813855.jpg,NULL
30,NULL,2018-05-10 00:00:00,"Dólar sobe para R$ 3,59; maior valor desde 2016",NULL,NULL,O,NULL,1479c853a20aa35d8be05413c5f34bc1.jpg,NULL
31,NULL,2018-05-09 00:00:00,Dia,NULL,NULL,Próximo,NULL,a6f60beb527a381975f60e4bfea40ac1.jpg,NULL
32,NULL,2018-05-09 00:00:00,Lojas,NULL,NULL,As lojas do Centro de Fortaleza vão funcionar em hor\xc3\xa1rio,NULL,c9a792c076b4f73db6cdd7c843dcd9e0.jpg,NULL
33,NULL,2018-05-12 00:00:00,Estado,NULL,NULL,"Através do Programa Juntos por Fortaleza, uma parceri",NULL,57573269cb703870dd91723fff04d9ec.jpg,NULL
34,NULL,2018-05-14 00:00:00,Caixa,NULL,NULL,"A Secretaria de Acompanhamento Fiscal, Energia e Loteria do Ministério da Fazenda instituiu uma nova loteri",NULL,446820f441e0ba36ef8759532cf69619.jpg,NULL
35,NULL,2018-05-11 00:00:00,Chega a 27 o número de mortes por H1N1 no Ceará,NULL,NULL,Chega,NULL,af869c098fb83024e7460ffb671ed474.jpg,NULL
36,NULL,2018-05-13 00:00:00,Melanoma tem mais de 90% de chances de cura quando tratado em suas fases iniciais,NULL,NULL,Um,NULL,<blank>,NULL
37,NULL,2018-05-16 00:00:00,Eventos em Fortaleza reúnem profissionais de investim,NULL,NULL,O,NULL,833f3fc8e48b7323dfb617dd592ad256.jpg,NULL
38,NULL,2018-05-18 00:00:00,EPINNE EPB mostra a força das associadas do norte e n,NULL,NULL,O primeiro dia do Encontro dos Profissionais de Investimentos,NULL,64232ea29684aeb950932eb4160b6601.jpg,NULL
39,NULL,2018-05-21 00:00:00,Lesões,NULL,NULL,"Em maio, mês de combate ao melanoma, especialistas al",NULL,98aa884139023cea196c69f423e0330d.jpg,NULL
40,NULL,2018-05-22 00:00:00,Síndrome,NULL,NULL,Apesar de sentir-se realizada ao ver a única filha ca,NULL,3f160e540652415e5c509584ac0fb4fd.jpg,NULL
41,NULL,2018-05-22 00:00:00,Conscientização é a chave contra a hanseníase,NULL,NULL,Embora,NULL,99d7b3919997fbb31e88c2db5e5eff35.jpg,NULL
42,NULL,2018-05-22 00:00:00,Efeitos do dólar caro inflacionam a vida do consumido,NULL,NULL,A,NULL,1a1f0209567031bfc654464da3351008.jpg,NULL
43,NULL,2018-05-21 00:00:00,Cagece,NULL,NULL,Duas lojas de atendimento e um núcleo da Companhia de,NULL,8aa70531155d29736425ea2fdadff499.jpg,NULL
44,NULL,2018-05-23 00:00:00,INSS passa a receber só por telefone e internet pedid,NULL,NULL,Modelo de agendamento para atendimento presencial deixa,NULL,b431c1b09fd3a305f6bc658c94d51e50.jpg,NULL
45,NULL,2018-05-23 00:00:00,Estratégia,NULL,NULL,Faltando dez dias para o termino da campanha nacional de,NULL,5f0c558447fc59fafd11c89262368eb1.jpg,NULL
46,NULL,2018-05-23 00:00:00,Caminhoneiros bloqueiam trechos da BR-116 no 3º dia s,NULL,NULL,"Pelo terceiro dia consecutivo, caminhoneiros protestamcontra",NULL,6ff4e29edcc51c9a59647f5d9fc1b22d.jpg,NULL
47,NULL,2018-05-24 00:00:00,Sem,NULL,NULL,Sem,NULL,140c2a51ca7e1570cb2c4b137e1fb8f4.jpg,NULL
48,NULL,2018-05-24 00:00:00,Lojas de Fortaleza terão desconto de até 80% nesta,NULL,NULL,Mais de 50 lojas de shoppings e de rua vão participar,NULL,f1753f3ba4fb521eb3c8ab379b615914.jpg,NULL
49,NULL,2018-05-24 00:00:00,Pesquisa mostra que 80% dos brasileiros buscam alimentação saudável,NULL,NULL,A maioria dos brasileiros se esforça para manter uma,NULL,a936a5548d2fa97e39463d24e70ac3e7.jpg,NULL
50,NULL,2018-05-25 00:00:00,Mesmo,NULL,NULL,Quinto,NULL,1cb2cb0a8d2efb820bffe08e4731ba98.jpg,NULL
51,NULL,2018-05-25 00:00:00,Frutas e hortaliças ficam escassas e sobem até 220%,NULL,NULL,O,NULL,732200672615fb70cb03bce7230a855c.jpg,NULL
52,NULL,2018-05-24 00:00:00,Irauçuba registra terremoto de magnitude 2.7,NULL,NULL,Um,NULL,c7387dfca6e4eb5813cec0f61aef031d.png,NULL
53,NULL,2018-05-28 00:00:00,Como,NULL,NULL,"Após sete dias de greve dos caminhoneiros, os efeitos",NULL,8085cad1954fb353678c95489aa97409.jpg,NULL
