id_fat,cod_sto,dat_vnc,dat_fat,num_fat,sts_fat,val_fat,cod_cli
208432,20909331,2018-07-10,2018-07-09,70544,1,21.3,006150000
208433,20909331,2018-07-10,2018-07-09,70545,1,298.2,006130000
208434,20909331,2018-07-10,2018-07-09,70546,1,2046,006140000
208435,20909331,2018-07-10,2018-07-09,70547,1,215.15,006160000
208436,20909331,2018-07-11,2018-07-09,70548,1,145.2,006130000
208437,20909331,2018-07-11,2018-07-09,70549,1,21.3,006140000
208438,20909331,2018-07-09,2018-07-09,70550,1,198.98,303210000
208439,20909331,2018-07-09,2018-07-09,70551,1,17.4,000530000
208445,20909331,2018-07-12,2018-07-10,70552,1,57.3,006150000
208446,20909331,2018-07-12,2018-07-10,70553,1,1119,006130000
208447,20909331,2018-07-12,2018-07-10,70554,1,1742.1,006140000
208448,20909331,2018-07-12,2018-07-10,70555,1,146.1,006160000
208449,20909331,2018-07-11,2018-07-10,70556,1,199.36,303210000
208455,20909331,2018-07-13,2018-07-11,70557,1,21.3,006150000
208456,20909331,2018-07-13,2018-07-11,70558,1,276.9,006130000
208457,20909331,2018-07-13,2018-07-11,70559,1,2866.5,006140000
208458,20909331,2018-07-13,2018-07-11,70560,1,75.3,006160000
208459,20909331,2018-07-11,2018-07-11,70561,1,85.82,303210000
208464,20909331,2018-07-16,2018-07-12,70562,1,81.3,006150000
208465,20909331,2018-07-16,2018-07-12,70563,1,486,006130000
208466,20909331,2018-07-16,2018-07-12,70564,1,1956.6,006140000
208467,20909331,2018-07-13,2018-07-12,70565,1,107,303210000
208473,20909331,2018-07-17,2018-07-13,70566,1,38.7,006150000
208474,20909331,2018-07-17,2018-07-13,70567,1,462.3,006130000
208475,20909331,2018-07-17,2018-07-13,70568,1,1556.4,006140000
208476,20909331,2018-07-17,2018-07-13,70569,1,12.55,006160000
208477,20909331,2018-07-13,2018-07-13,70570,1,37,303210000
208697,20909331,2018-07-13,2018-07-16,70571,1,398.7,303800000
208698,20909331,2018-07-18,2018-07-16,70572,1,21.3,006150000
208699,20909331,2018-07-18,2018-07-16,70573,1,418.2,006130000
208700,20909331,2018-07-18,2018-07-16,70574,1,911.7,006140000
208701,20909331,2018-07-16,2018-07-16,70575,1,238.58,303210000
208702,20909331,2018-07-30,2018-07-16,70576,0,20.4,302860000
208703,20909331,2018-07-30,2018-07-16,70577,1,68,303190000
208704,20909331,2018-07-30,2018-07-16,70578,1,287.3,004390000
208705,20909331,2018-07-30,2018-07-16,70579,1,43.9,004310000
208706,20909331,2018-07-30,2018-07-16,70580,1,2.55,001470000
208707,20909331,2018-07-30,2018-07-16,70581,1,164.45,302760000
208708,20909331,2018-07-30,2018-07-16,70582,1,184.6,000840000
208709,20909331,2018-07-30,2018-07-16,70583,1,10334.1,302500000
208710,20909331,2018-07-30,2018-07-16,70584,1,64.55,303090000
208711,20909331,2018-07-30,2018-07-16,70585,1,423.6,303360000
208712,20909331,2018-07-30,2018-07-16,70586,1,44.6,006270000
208713,20909331,2018-07-30,2018-07-16,70587,1,257.15,302420000
208714,20909331,2018-07-30,2018-07-16,70588,1,179.7,002780000
208715,20909331,2018-07-30,2018-07-16,70589,1,991.6,302720000
208716,20909331,2018-07-30,2018-07-16,70590,1,580.4,004370000
208717,20909331,2018-07-30,2018-07-16,70591,1,122,000110000
208718,20909331,2018-07-30,2018-07-16,70592,1,58.75,004920000
208719,20909331,2018-07-30,2018-07-16,70593,1,15.1,303650000
208720,20909331,2018-07-30,2018-07-16,70594,1,551.3,303300000
208721,20909331,2018-07-30,2018-07-16,70595,1,204.35,005860000
208722,20909331,2018-07-30,2018-07-16,70596,1,103.45,302410000
208723,20909331,2018-07-30,2018-07-16,70597,1,109.3,000570000
208724,20909331,2018-07-30,2018-07-16,70598,1,2225.71,302970000
208725,20909331,2018-07-30,2018-07-16,70599,1,59.35,003840000
208726,20909331,2018-07-30,2018-07-16,70600,1,32.3,303670000
208727,20909331,2018-07-30,2018-07-16,70601,1,607.3,004020000
208728,20909331,2018-07-30,2018-07-16,70603,1,418.5,002320000
208729,20909331,2018-07-30,2018-07-16,70604,1,118.6,303430000
208730,20909331,2018-07-30,2018-07-16,70605,1,89.85,303410000
208731,20909331,2018-07-30,2018-07-16,70606,1,1.85,004640000
208732,20909331,2018-07-30,2018-07-16,70607,1,1960.3,004830000
208733,20909331,2018-07-30,2018-07-16,70608,1,117.4,000490000
208734,20909331,2018-07-30,2018-07-16,70609,1,567.4,005930000
208735,20909331,2018-07-30,2018-07-16,70610,1,935.8,003250000
208736,20909331,2018-07-30,2018-07-16,70611,1,412,302940000
208737,20909331,2018-07-30,2018-07-16,70612,1,36.55,000120000
208738,20909331,2018-07-30,2018-07-16,70613,1,230.4,303480000
208739,20909331,2018-07-30,2018-07-16,70614,1,77.5,302160000
208740,20909331,2018-07-30,2018-07-16,70615,1,79.3,302470000
208741,20909331,2018-07-30,2018-07-16,70616,1,19.6,002420000
208742,20909331,2018-07-30,2018-07-16,70617,1,1269,303970000
208743,20909331,2018-07-30,2018-07-16,70618,1,60.3,004650000
208744,20909331,2018-07-30,2018-07-16,70619,1,174.2,302330000
208745,20909331,2018-07-30,2018-07-16,70620,1,4.35,002520000
208746,20909331,2018-07-30,2018-07-16,70621,1,1144.35,005050000
208747,20909331,2018-07-30,2018-07-16,70622,1,19.2,302620000
208749,20909331,2018-07-30,2018-07-16,70624,1,139.79,002100000
208750,20909331,2018-07-30,2018-07-16,70625,1,22.8,005640000

