id,video,idCategoria,nome,ativo,atalho,website,detalhes,referencia,paginasDouradas
1,<blank>,,ArmazÃ©m do Construtor,1,armazem,NULL,<blank>,<blank>,0
,,,,1,despachante em nova friburgo,,despachante em nova friburgo- rua almirante barroso n1,,
,"<iframe width=""560"" height=""315"" src=""https://www.yout",,,1,materiais de limpeza,,,,
,<blank>,4,Odete Festas,1,<blank>,,"Rua Alan kardeck,03 OLARIA-NOVA FRIBURGO/RJ (EM FRENTE",,
,<blank>,,,1,NULL,NULL,,<blank>,0
,,5,,,,NULL,,,
7,<blank>,,,,,,,,
,<blank>,,,,,,,,
9,<blank>,7,Thuler Tatoo,,,NULL,,<blank>,0
10,<blank>,8,Tipografia Paradise,1,,NULL,<blank>,<blank>,0
11,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/vCgQ1K7GKM4"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></i",1,VarejÃ£o do Quica,1,VarejÃ£o do Quica,www.frimagazine.com.br,"Eletro,","Ferramentas, Ferragens, Eletro e Hidralica",0
12,<blank>,5,ConsultÃ³rio OdontolÃ³gico MaringÃ¡,1,NULL,NULL,<blank>,<blank>,0
13,<blank>,12,CaldeirÃ£o de Ofertas,1,NULL,NULL,<blank>,<blank>,0
14,<blank>,44,Casa Dumarti,1,<blank>,<blank>,Rua Farinha Filho 25 L08 Centro Nova Friburgo\r\nTel:(22)2523-8334,<blank>,0
15,<blank>,1,Salvan de Friburgo,1,NULL,NULL,<blank>,<blank>,0
16,<blank>,10,Energia Solar,1,NULL,NULL,<blank>,<blank>,0
17,<blank>,9,Maria Paula,1,NULL,NULL,<blank>,<blank>,0
18,<blank>,10,rs motores friburgo,1,rs motores friburgo,<blank>,"Rua Benjamin Constant,249-loja 3-Duas Pedras-Nova Friburgo/RJ CEP:28633-000-CNPJ:13.770.138/0001-11 (22)2528-9188/98137-7482/98131-3082  rsmotores@gmail.com",<blank>,0
19,<blank>,13,FLASH BOYS,1,<blank>,NULL,<blank>,<blank>,1
20,<blank>,14,EletrÃ´nica do Neco,1,<blank>,NULL,Rua:Jaciara dos Santos Borges-474- Rio Grandina- Nova Friburgo  RJ       (22)2540-1253,<blank>,0
21,<blank>,14,EletrÃ´nica Conselheiro,1,<blank>,NULL,"Rua JosÃ© Ernesto Knust,571-loja-c  Cons.Paulino- Nova Friburgo-RJ\r\n\r\n(22) 2527-2335    e-mail: eletronica.conselheiro@hotmail.com",<blank>,0
22,<blank>,1,Materiais de ConstruÃ§Ã£o Santo AntÃ´nio,1,<blank>,NULL,"Rua Jacira dos Santos Borge,40 Riograndina-NOVA FRIBURGO/RJ (22)2540-1125/2540-2142",<blank>,0
23,<blank>,15,Fabrica de Telas,1,<blank>,NULL,Contato:(22)9819-1969 Vivo\r\n(22)9289-4976 Claro\r\nbetega2010@hotmail.com,<blank>,0
24,,16,Mercado Novo Amanhecer,1,<blank>,NULL,<blank>,<blank>,
25,<blank>,17,PNEUTEC LOJA DA FÃ\x81BRICA,1,<blank>,NULL,EndereÃ§o:,<blank>,0
26,<blank>,18,Metal Art,1,<blank>,NULL,"EndereÃ§o:Alameda Campomar,27-loja 1e2 Trevo jd.Camopomar Rio das Ostras\r\n(22)2760-5133 /(22)8844-6298\r\nc\r\n",,0
27,,24,ki-braseiro,1,ki-braseiro,www.frimagazine.com.br,"R Roberto SabÃ³ia Medeiros,Pe, 23, Lj 2, Centro, Nova",,0
28,,21,CHAVEIRO SKY NOVA FRIBURGO,1,CHAVEIRO SKY NOVA FRIBURGO,www.frimagazine.com.br,CHAVEIRO SKY NOVA FRIBURGO- CHAVES CODIFICADAS ABERTURA DE COFRES E TROCA DE SEGREDO. PRAÃ\x87A LAFAYETE BRAVO,CHAVEIRO,
29,"<iframe width=""420"" height=""315"" src=""https://www.youtube.com/embed/7t72hOtTK6I"" frameborder=""0"" allowfullscreen></iframe>",19,CaldeirÃ£o Mix restaurante,1,CaldeirÃ£o Mix restaurante,www.facebook.com/caldeiraomixrestaurante/timeline,"CaldeirÃ£o Mix Restaurante em Nova Friburgo.Rua Augusto Cardoso, 43-Centro -Nova Friburgo/RJ .Restaurante Ca",,0
30,<blank>,73,frimagazine,1,frimagazine,<blank>,,frimagazine,0
31,<blank>,28,Auto TÃ©cnica,1,,,"Nacionais e Importados\r\n (22)9957-3544/7816-4014/ID:981*11918\r\nAlameda Campomar 31,L1-Campomar Rio das Ostras-RJ",<blank>,
32,,22,ComÃ©rcio de PeÃ§as Usadas,,<blank>,,,<blank>,0
33,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/kxI1Clq6wMI"" frameborder=""0"" allowfullscreen></iframe>",29,AÃ§ougue Maravilha,,<blank>,<blank>,"Rua Leuenroth,20 Loja 03 Nova Friburgo-RJ\r\n(22)2523-5603.",,0
,<blank>,31,SUPER VET,,<blank>,NULL,,<blank>,0
35,<blank>,5,Centro OdontolÃ³gico de Olaria,1,,<blank>,"Juliana Ribeiro.Odontologia Especializada.endereÃ§o?AV.Julio Antonio Thurler,173 sala 102-Olaria-Nova Friburgo/RJ  \r\n(22)99255-3590/99736-4959/9972-7475 odontoribeiro@hotmail.com",<blank>,0
36,<blank>,12,Os Olhos da Arte,1,<blank>,NULL,(22)2519-3645 (22)9850-8201 - www.facebook.com/osolhosdaarte - msn:osolhosdaarte@hotmail.com - www.osolhosdaarte.loja2.com.br,<blank>,0
37,<blank>,8,Inove Artes,1,<blank>,NULL,(22) 2526-8539\r\n\r\nWWW.INOVEARTES.COM,<blank>,0
38,<blank>,20,Drogaria do Campo,1,<blank>,NULL,<blank>,<blank>,0
39,<blank>,16,Doce Mania Atacado,1,<blank>,NULL,"MERENDA ESCOLAR , DOCES NO ATACADO E VAREJO , FESTAS INFANTIS. A MAIOR LOJA DA CIDADE COM OS MELHORES PREÃ‡OS E VARIEDADE . LOJA COM ESTACIONAMENTO PRÃ“PRIO .",,0
40,<blank>,1,RD Artefatos de Concreto,1,<blank>,NULL,"Av.Antonio Mario de Azevedo,km21- 2000-Conquista - Nova Friburgo -RJ  \r\n (22)2543-4138 (22)9251-3978 (22)9271-7989",<blank>,0
,<blank>,32,ICE RefrigeraÃ§Ã£o,1,<blank>,NULL,"(22)2764-2402/27641022/9717-5657  \r\nAV Amaral Peixoto,lote 1 e 2,Quadra 46,loja 6 Jardim Campo Mar-Rio das O",<blank>,0
42,<blank>,19,AtlÃ¢nticoÂ´s Bar e Restaurante,1,<blank>,NULL,\r\n(22)9802-9693   das11:30 as 16:00hrs\r\ne-mail bismaeckpedra@hotmail.com,<blank>,0
43,<blank>,12,100 % Japa,1,100% japa,www.frimagazine.com.br,100%,<blank>,0
44,<blank>,12,Alarme Show,1,<blank>,,Rua,<blank>,0
45,<blank>,,ARITEKA ASSISTÃ\x8aNCIA TÃ\x89CNICA,1,<blank>,,"(22)2523-0923 (22)9832-5129\r\nRua Augusto Cardoso,24-loja C- Centro Nova friburgo ",,0
46,<blank>,52,Ã\x93TICA VIRTUAL,1,<blank>,,"RUA JOÃ\x83O AMÃ\x82NCIO,109 LOJA 03,CENTRO SUMIDOURO",<blank>,0
47,,5,sumidouro dentista,1,e-dente sumidouro,www.frimagazine.com.br,"   RUA FRANCISCO PEREIRA DOS SANTOS,06-CENTRO SUMIDOUR",,0
48,,1,SCHNAIDER Materias de ConctruÃ§Ã£o,1,<blank>,NULL,,,0
,<blank>,1,,,<blank>,NULL,"AV.JULIO ANTONIO THURLER,271 LOJA 5 - OLARIA NOVA FRIBURGO-RJ  (22) 2523-9021",<blank>,
50,<blank>,1,,,<blank>,NULL,RUA 10 OUTUBRO (ao lado do Campo de Futebol) AMPARO-NOVA FRIBURGO-RJ,,
51,<blank>,,RAIAR ,1,<blank>,,(VENDO,,
,,33,CICLO BIKE,1,<blank>,NULL,"RUA SANTA CATARINA,63-RIO das OSTRAS\r\n(22) 2777-2069  (22)9799-8168",<blank>,0
53,<blank>,,TEC.SOM,1,<blank>,NULL,"RUA MAYER,555-ESQUINA RUA BANGÃš RIO das OSTRAS-RJ  (22)2771-7980 (22)9843-0242\r\n Conserto de TV-Monitores Convencional-LCD e Microondas.",<blank>,0
54,<blank>,26,,,,,,,
,"<iframe width=""560"" height=""315"" src=""https://www.yout",17,Ricardo Pneus,1,Junior,<blank>,,,
,,20,Drogaria Mercantil,,,NULL,,<blank>,0
57,<blank>,34,Serralheria do LuizÃ£o,1,<blank>,NULL,"Rua Celso Carrilho de Faria,342-S.Geraldo-Carmo-RJ (22",,
58,<blank>,35,,1,<blank>,NULL,,<blank>,0
