id_pagfat,obs,oper,cod_sto,dat_pgt,num_fat,cod_cli,dat_comp,val_lanc
846,<blank>,0401005,20909331,2009-08-17,42766,003820000,2009-11-16,-33.5
847,<blank>,0401005,20909331,2009-09-16,42970,003820000,2009-11-16,-1.85
848,<blank>,0401005,20909331,2009-09-16,42977,003220000,2009-11-10,-320.86
849,<blank>,0401005,20909331,2009-10-01,43046,001190000,2009-11-10,-3979.3
850,<blank>,0401005,20909331,2009-10-01,43050,003070000,2009-11-24,-83
851,<blank>,0401005,20909331,2009-10-01,43057,001910000,2009-11-11,-101.85
852,<blank>,0401005,20909331,2009-10-01,43092,003220000,2009-11-10,-240.1
853,<blank>,0401005,20909331,2009-10-01,43114,001620000,2009-11-10,-14.25
854,<blank>,0401005,20909331,2009-10-16,43152,004390000,2009-11-10,-194.5
855,<blank>,0401005,20909331,2009-10-16,43153,004310000,2009-11-10,-37.55
856,<blank>,0401005,20909331,2009-10-16,43154,004200000,2009-11-10,-62.2
857,<blank>,0401005,20909331,2009-10-16,43155,001470000,2009-11-10,-57
858,<blank>,0401005,20909331,2009-10-16,43157,002410000,2009-11-10,-144.55
859,<blank>,0401005,20909331,2009-10-16,43158,002780000,2009-11-10,-327.4
860,<blank>,0401005,20909331,2009-10-16,43159,003640000,2009-11-10,-350
861,<blank>,0401005,20909331,2009-10-16,43160,004370000,2009-11-10,-158.1
862,<blank>,0401005,20909331,2009-10-16,43161,004410000,2009-11-10,-946.15
863,<blank>,0401005,20909331,2009-10-16,43164,004190000,2009-11-10,-310.8
864,<blank>,0401005,20909331,2009-10-16,43165,000570000,2009-11-10,-251.25
865,<blank>,0401005,20909331,2009-10-16,43167,000340000,2009-11-10,-1191.55
866,<blank>,0401005,20909331,2009-10-16,43168,000220000,2009-11-10,-382.4
867,<blank>,0401005,20909331,2009-10-16,43169,004420000,2009-11-10,-16.5
868,<blank>,0401005,20909331,2009-10-16,43170,003800000,2009-11-10,-23.4
869,<blank>,0401005,20909331,2009-10-16,43171,004020000,2009-11-10,-655.05
870,<blank>,0401005,20909331,2009-10-16,43172,003200000,2009-11-10,-540.2
871,<blank>,0401005,20909331,2009-10-16,43173,003820000,2009-11-16,-14.3
872,<blank>,0401005,20909331,2009-10-16,43174,004740000,2009-11-10,-313.2
873,<blank>,0401005,20909331,2009-10-16,43175,002320000,2009-11-10,-290.3
874,<blank>,0401005,20909331,2009-10-16,43176,003180000,2009-11-10,-213.7
875,<blank>,0401005,20909331,2009-10-16,43177,001450000,2009-11-10,-56.25
876,<blank>,0401005,20909331,2009-10-16,43178,003600000,2009-11-24,-584.1
877,<blank>,0401005,20909331,2009-10-16,43180,004640000,2009-11-10,-31.9
878,<blank>,0401005,20909331,2009-10-16,43182,000440000,2009-11-10,-1089.2
879,<blank>,0401005,20909331,2009-10-16,43184,000470000,2009-11-10,-321.53
880,<blank>,0401005,20909331,2009-10-16,43185,000490000,2009-11-10,-183.2
881,<blank>,0401005,20909331,2009-10-16,43186,002010000,2009-11-10,-115.25
882,<blank>,0401005,20909331,2009-10-16,43190,004270000,2009-11-10,-1481.4
883,<blank>,0401005,20909331,2009-10-16,43191,003440000,2009-11-10,-442.1
884,<blank>,0401005,20909331,2009-10-16,43193,000560000,2009-11-10,-213
885,<blank>,0401005,20909331,2009-10-16,43194,000710000,2009-11-10,-687.35
886,<blank>,0401005,20909331,2009-10-16,43195,004260000,2009-11-10,-62.2
887,<blank>,0401005,20909331,2009-10-16,43196,002040000,2009-11-10,-159.3
888,<blank>,0401005,20909331,2009-10-16,43199,002420000,2009-11-10,-94.4
889,<blank>,0401005,20909331,2009-10-16,43200,000680000,2009-11-10,-148.25
890,<blank>,0401005,20909331,2009-10-16,43201,004650000,2009-11-10,-181.4
891,<blank>,0401005,20909331,2009-10-16,43202,002820000,2009-11-10,-256.5
892,<blank>,0401005,20909331,2009-10-16,43204,001020000,2009-11-10,-84.3
893,<blank>,0401005,20909331,2009-10-16,43205,003250000,2009-11-10,-758.55
894,<blank>,0401005,20909331,2009-10-16,43206,004770000,2009-11-10,-166.7
895,<blank>,0401005,20909331,2009-10-16,43209,002020000,2009-11-10,-40.4
896,<blank>,0401005,20909331,2009-10-16,43210,001750000,2009-11-10,-41
897,<blank>,0401005,20909331,2009-10-16,43211,002100000,2009-11-10,-199.74
898,<blank>,0401005,20909331,2009-10-16,43212,004610000,2009-11-10,-46.1
899,<blank>,0401005,20909331,2009-10-16,43213,003740000,2009-11-10,-365.5
900,<blank>,0401005,20909331,2009-10-16,43214,004580000,2009-11-10,-78.2
901,<blank>,0401005,20909331,2009-10-16,43215,001060000,2009-11-10,-1892.79
902,<blank>,0401005,20909331,2009-10-16,43216,000690000,2009-11-10,-140.25
903,<blank>,0401005,20909331,2009-10-16,43217,002240000,2009-11-10,-53.9
904,<blank>,0401005,20909331,2009-10-16,43218,001300000,2009-11-10,-753.3
905,<blank>,0401005,20909331,2009-10-16,43220,002760000,2009-11-10,-68.5
906,<blank>,0401005,20909331,2009-10-16,43222,001950000,2009-11-10,-158.4
907,<blank>,0401005,20909331,2009-10-16,43223,001410000,2009-11-10,-62.25
908,<blank>,0401005,20909331,2009-10-16,43224,000960000,2009-11-10,-150.95
909,<blank>,0401005,20909331,2009-10-16,43225,000970000,2009-11-10,-739.65
910,<blank>,0401005,20909331,2009-10-16,43226,003240000,2009-11-16,-116.98
911,<blank>,0401005,20909331,2009-10-16,43229,000070000,2009-11-10,-865.5
912,<blank>,0401005,20909331,2009-10-16,43230,003580000,2009-11-10,-240.25
913,<blank>,0401005,20909331,2009-10-16,43231,001530000,2009-11-10,-425.1
914,<blank>,0401005,20909331,2009-10-16,43233,001380000,2009-11-10,-857.2
915,<blank>,0401005,20909331,2009-10-16,43234,001110000,2009-11-10,-914.65
916,<blank>,0401005,20909331,2009-10-16,43237,001430000,2009-11-10,-490.55
917,<blank>,0401005,20909331,2009-10-16,43238,001990000,2009-11-10,-797.1
918,<blank>,0401005,20909331,2009-10-16,43239,002850000,2009-11-10,-1890.95
919,<blank>,0401005,20909331,2009-10-16,43240,003770000,2009-11-10,-902.2
