id_cad_com,com,sync,item,porte,tabela,ajuste
1,37,1,1,30000,10,0
2,24,1,2,60000,10,3900
3,20,1,3,72000,10,6300
4,17.24,1,4,82000,10,8287
5,15.24,1,5,96000,10,9927
6,13.56,1,6,112000,10,11540
7,12.44,1,7,126000,10,12794
8,10.4,1,8,164000,10,15364
9,8.81,1,9,216000,10,17972
10,7.69,1,10,282000,10,20391
11,6.81,1,11,374000,10,22873
12,6.02,1,12,NULL,10,25828
13,29,1,1,247000,11,0
14,22.36,1,2,319000,11,16401
15,19.95,1,3,376000,11,24089
16,18.09,1,4,437000,11,31083
17,16.98,1,5,493000,11,35934
18,15.54,1,6,558000,11,43033
19,13.55,1,7,680000,11,54137
20,12.39,1,8,828000,11,62025
21,8.81,1,9,NULL,11,91667

