nivel,secao,codigo,perfil
A,28,274,1
A,27,273,1
A,22,272,1
A,23,271,1
A,25,270,1
A,26,269,1
A,29,268,1
A,24,267,1
A,21,266,1
A,20,265,1
B,1,15,3
B,2,16,3
B,3,17,3
B,4,18,3
B,5,19,3
B,7,20,3
B,6,21,3
B,9,22,3
B,12,23,3
B,13,24,3
B,10,25,3
B,8,26,3
B,11,27,3
B,15,28,3
C,1,29,5
C,2,30,5
C,3,31,5
C,4,32,5
C,5,33,5
C,7,34,5
C,6,35,5
C,9,36,5
C,12,37,5
C,13,38,5
C,10,39,5
C,8,40,5
C,11,41,5
C,15,42,5
A,19,264,1
A,18,263,1
A,27,258,8
A,22,257,8
A,23,256,8
A,30,255,8
A,25,254,8
A,26,253,8
A,29,252,8
A,24,251,8
A,21,250,8
A,20,249,8
A,19,248,8
A,18,247,8
A,3,246,8
A,3,262,1
A,2,245,8
A,2,261,1
A,1,244,8
A,1,260,1
A,28,259,8
A,30,275,1

